Trading Date,Interval Number,Trading Interval,Operational Demand (MW),Extracted At
"2019-01-01",1,2019-01-01 08:00:00,1532.67,"2021-11-03 15:09:13"
"2019-01-01",2,2019-01-01 08:30:00,1511.694,
"2019-01-01",3,2019-01-01 09:00:00,1511.596,
"2019-01-01",4,2019-01-01 09:30:00,1528.38,
"2019-01-01",5,2019-01-01 10:00:00,1556.796,
"2019-01-01",6,2019-01-01 10:30:00,1590.896,
"2019-01-01",7,2019-01-01 11:00:00,1638.12,
"2019-01-01",8,2019-01-01 11:30:00,1682.472,
"2019-01-01",9,2019-01-01 12:00:00,1735.222,
"2019-01-01",10,2019-01-01 12:30:00,1787.894,
"2019-01-01",11,2019-01-01 13:00:00,1817.046,
"2019-01-01",12,2019-01-01 13:30:00,1844.562,
"2019-01-01",13,2019-01-01 14:00:00,1891.472,
"2019-01-01",14,2019-01-01 14:30:00,1936.668,
"2019-01-01",15,2019-01-01 15:00:00,1992.64,
"2019-01-01",16,2019-01-01 15:30:00,2055.68,
"2019-01-01",17,2019-01-01 16:00:00,2125.006,
"2019-01-01",18,2019-01-01 16:30:00,2208.188,
"2019-01-01",19,2019-01-01 17:00:00,2261.766,
"2019-01-01",20,2019-01-01 17:30:00,2305.864,
"2019-01-01",21,2019-01-01 18:00:00,2313.838,
"2019-01-01",22,2019-01-01 18:30:00,2286.586,
"2019-01-01",23,2019-01-01 19:00:00,2234.482,
"2019-01-01",24,2019-01-01 19:30:00,2225.91,
"2019-01-01",25,2019-01-01 20:00:00,2193.18,
"2019-01-01",26,2019-01-01 20:30:00,2157.842,
"2019-01-01",27,2019-01-01 21:00:00,2125.048,
"2019-01-01",28,2019-01-01 21:30:00,2069.996,
"2019-01-01",29,2019-01-01 22:00:00,2011.022,
"2019-01-01",30,2019-01-01 22:30:00,1937.438,
"2019-01-01",31,2019-01-01 23:00:00,1902.904,
"2019-01-01",32,2019-01-01 23:30:00,1853.378,
"2019-01-01",33,2019-01-02 00:00:00,1806.342,
"2019-01-01",34,2019-01-02 00:30:00,1767.522,
"2019-01-01",35,2019-01-02 01:00:00,1747.646,
"2019-01-01",36,2019-01-02 01:30:00,1727.022,
"2019-01-01",37,2019-01-02 02:00:00,1722.28,
"2019-01-01",38,2019-01-02 02:30:00,1714.206,
"2019-01-01",39,2019-01-02 03:00:00,1713.436,
"2019-01-01",40,2019-01-02 03:30:00,1710.42,
"2019-01-01",41,2019-01-02 04:00:00,1722.228,
"2019-01-01",42,2019-01-02 04:30:00,1734.006,
"2019-01-01",43,2019-01-02 05:00:00,1771.986,
"2019-01-01",44,2019-01-02 05:30:00,1787.904,
"2019-01-01",45,2019-01-02 06:00:00,1860.298,
"2019-01-01",46,2019-01-02 06:30:00,1919.204,
"2019-01-01",47,2019-01-02 07:00:00,1976.44,
