'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBANY AIRPORT Western Australia for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBANY AIRPORT,01/04/2016,2.7,1.6,5.8,20.8,13.0,98,53,3.97,11.39
ALBANY AIRPORT,02/04/2016,2.7,0.0, ,22.4,8.2,99,51,2.27,14.41
ALBANY AIRPORT,03/04/2016,4.2,0.2,6.0,30.0,12.5,99,33,2.57,18.36
ALBANY AIRPORT,04/04/2016,2.6,0.0,3.4,22.1,15.1,98,52,5.05,5.38
ALBANY AIRPORT,05/04/2016,2.9,1.0,4.6,17.2,12.6,75,45,4.33,8.91
ALBANY AIRPORT,06/04/2016,2.2,0.0,4.0,19.2,10.8,92,43,2.13,9.60
ALBANY AIRPORT,07/04/2016,2.5,0.0,3.2,20.5,9.2,99,45,2.07,14.20
ALBANY AIRPORT,08/04/2016,2.7,0.0,1.8,21.0,7.2,100,58,2.77,17.89
ALBANY AIRPORT,09/04/2016,2.4,0.0,3.8,20.7,11.7,97,63,3.64,13.74
ALBANY AIRPORT,10/04/2016,2.9,0.0,4.0,21.2,10.9,91,57,4.77,13.98
ALBANY AIRPORT,11/04/2016,1.4,15.4,3.2,18.8,16.9,98,79,5.26,4.22
ALBANY AIRPORT,12/04/2016,1.5,27.6,1.8,21.1,16.6,98,81,3.47,7.19
ALBANY AIRPORT,13/04/2016,3.1,7.8,1.2,25.0,14.5,100,52,3.07,16.21
ALBANY AIRPORT,14/04/2016,2.0,0.2,4.2,20.5,14.2,99,60,3.06,8.73
ALBANY AIRPORT,15/04/2016,2.3,2.2,5.0,19.5,12.7,98,54,3.93,10.35
ALBANY AIRPORT,16/04/2016,2.4,0.0,3.0,22.3,14.5,92,67,4.59,9.45
ALBANY AIRPORT,17/04/2016,2.7,1.2,2.0,23.9,17.3,94,58,4.16,10.50
ALBANY AIRPORT,18/04/2016,1.6,0.2,3.0,20.2,14.7,99,72,3.00,7.62
ALBANY AIRPORT,19/04/2016,2.1,2.8, ,21.2,12.3,100,68,2.38,14.09
ALBANY AIRPORT,20/04/2016,1.7,0.4,3.4,19.8,9.8,100,65,2.68,8.07
ALBANY AIRPORT,21/04/2016,2.1,1.0, ,20.5,11.8,100,62,2.18,14.62
ALBANY AIRPORT,22/04/2016,2.6,0.0, ,21.7,9.7,97,54,3.64,13.58
ALBANY AIRPORT,23/04/2016,3.5,0.0,12.4,25.3,12.0,97,42,3.93,15.94
ALBANY AIRPORT,24/04/2016,3.3,0.0,3.2,24.7,12.4,85,44,4.87,6.33
ALBANY AIRPORT,25/04/2016,2.3,2.6,2.8,22.2,16.2,98,60,4.03,10.70
ALBANY AIRPORT,26/04/2016,2.2,0.2, ,18.3,12.4,97,61,6.33,8.61
ALBANY AIRPORT,27/04/2016,1.8,12.6, ,15.6,8.3,97,65,4.25,10.94
ALBANY AIRPORT,28/04/2016,2.2,1.6, ,16.3,9.2,96,56,6.96,6.12
ALBANY AIRPORT,29/04/2016,2.2,13.2, ,19.1,11.0,97,64,6.59,9.37
ALBANY AIRPORT,30/04/2016,2.2,16.2, ,16.4,7.7,95,49,4.38,9.01
Totals:,,73,108,81.8,,,,,, 
