'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBANY AIRPORT Western Australia for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBANY AIRPORT,01/03/2022,3.5,0.0, ,25.8,18.4,97,57,5.12,12.15
ALBANY AIRPORT,02/03/2022,3.4,2.6, ,19.2,14.3,95,49,5.93,13.86
ALBANY AIRPORT,03/03/2022,3.5,1.8, ,20.9,11.1,93,48,3.78,17.16
ALBANY AIRPORT,04/03/2022,3.2,0.0, ,23.5,14.5,94,52,2.30,15.17
ALBANY AIRPORT,05/03/2022,2.9,0.0, ,23.0,12.1,93,61,3.77,12.19
ALBANY AIRPORT,06/03/2022,4.7,0.0, ,26.7,16.2,94,53,4.81,22.02
ALBANY AIRPORT,07/03/2022,3.1,1.4, ,22.5,16.7,99,64,5.69,13.99
ALBANY AIRPORT,08/03/2022,4.6,0.0, ,25.7,16.2,89,52,5.81,19.31
ALBANY AIRPORT,09/03/2022,5.6,0.0, ,29.1,15.9,93,39,5.19,20.37
ALBANY AIRPORT,10/03/2022,5.6,0.0, ,29.6,16.3,97,40,4.79,22.23
ALBANY AIRPORT,11/03/2022,5.2,0.0, ,28.8,16.9,99,50,5.48,22.82
ALBANY AIRPORT,12/03/2022,2.7,2.6, ,24.3,18.0,96,58,4.92,6.52
ALBANY AIRPORT,13/03/2022,2.9,0.8, ,23.3,15.9,98,66,4.92,12.55
ALBANY AIRPORT,14/03/2022,3.6,0.0, ,26.1,18.3,94,60,4.60,14.56
ALBANY AIRPORT,15/03/2022,4.0,0.0, ,26.3,16.3,94,51,4.46,15.63
ALBANY AIRPORT,16/03/2022,4.8,0.0, ,28.2,16.3,93,48,6.19,15.40
ALBANY AIRPORT,17/03/2022,3.2,0.6, ,24.6,16.0,99,66,3.73,16.61
ALBANY AIRPORT,18/03/2022,7.4,0.0, ,36.6,16.7,96,19,4.93,17.66
ALBANY AIRPORT,19/03/2022,2.4,0.8, ,18.3,15.9,96,55,5.68,6.37
ALBANY AIRPORT,20/03/2022,1.8,7.0, ,20.2,15.3,98,72,3.82,6.62
ALBANY AIRPORT,21/03/2022,3.0,3.4, ,21.3,15.8,98,58,4.42,13.90
ALBANY AIRPORT,22/03/2022,2.8,0.2, ,19.8,14.0,74,47,3.18,8.59
ALBANY AIRPORT,23/03/2022,2.5,0.0, ,20.2,14.3,87,54,2.85,10.17
ALBANY AIRPORT,24/03/2022,3.2,0.0, ,23.1,12.5,91,52,3.89,13.26
ALBANY AIRPORT,25/03/2022,5.8,0.0, ,29.7,12.9,94,29,4.92,19.77
ALBANY AIRPORT,26/03/2022,1.4,5.0, ,21.6,17.1,99,80,3.20,4.75
ALBANY AIRPORT,27/03/2022,2.8,7.8, ,19.2,16.0,94,57,5.64,11.64
ALBANY AIRPORT,28/03/2022,3.1,0.0, ,20.5,15.1,83,56,4.56,12.38
ALBANY AIRPORT,29/03/2022,1.9,0.0, ,19.1,15.8,94,72,5.59,5.43
ALBANY AIRPORT,30/03/2022,2.6,0.0, ,21.8,16.3,92,64,6.34,7.81
ALBANY AIRPORT,31/03/2022,2.6,0.2, ,22.6,15.1,92,66,6.50,7.05
Totals:,,109.8,34.2, ,,,,,, 
