'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARGYLE AERODROME Western Australia for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARGYLE AERODROME,01/01/2010,8.0,0.0, ,41.3,27.6,74,26,2.84,25.60
ARGYLE AERODROME,02/01/2010,7.9,0.6, ,40.6,27.9,79,24,3.21,23.75
ARGYLE AERODROME,03/01/2010,8.2,0.0, ,39.5,28.0,100,24,4.24,24.32
ARGYLE AERODROME,04/01/2010,6.2,0.0, ,35.2,27.2,100,36,4.83,17.65
ARGYLE AERODROME,05/01/2010,2.9,10.0, ,29.3,24.6,96,76,4.73,10.47
ARGYLE AERODROME,06/01/2010,6.9,13.6, ,34.0,23.7,83,41,4.18,24.41
ARGYLE AERODROME,07/01/2010,9.0,0.0, ,39.7,25.6,85,21,3.99,28.34
ARGYLE AERODROME,08/01/2010,8.8,0.0, ,39.2,30.4,86,29,4.53,26.87
ARGYLE AERODROME,09/01/2010,5.5,5.8, ,36.7,27.1,91,42,2.36,19.23
ARGYLE AERODROME,10/01/2010,6.8,0.0, ,36.9,26.4,98,42,2.95,25.48
ARGYLE AERODROME,11/01/2010,4.8,24.6, ,32.0,24.9,98,60,2.24,20.58
ARGYLE AERODROME,12/01/2010,5.1,32.8, ,32.7,23.5,98,55,2.22,21.55
ARGYLE AERODROME,13/01/2010,5.1,8.8, ,32.7,24.2,98,58,2.96,21.02
ARGYLE AERODROME,14/01/2010,6.4,0.0, ,34.5,25.6,92,49,2.48,26.59
ARGYLE AERODROME,15/01/2010,7.6,0.0, ,37.2,26.2,93,35,2.55,29.94
ARGYLE AERODROME,16/01/2010,7.1,0.0, ,38.7,26.3,83,25,1.66,28.74
ARGYLE AERODROME,17/01/2010,8.4,0.0, ,39.8,27.3,81,25,2.94,29.52
ARGYLE AERODROME,18/01/2010,8.4,0.0, ,38.5,26.7,73,26,3.04,30.09
ARGYLE AERODROME,19/01/2010,8.0,0.0, ,37.7,25.3,78,27,2.75,30.29
ARGYLE AERODROME,20/01/2010,9.0,0.0, ,38.3,27.0,80,18,3.71,30.31
ARGYLE AERODROME,21/01/2010,8.7,0.0, ,37.7,27.7,78,27,4.20,27.61
ARGYLE AERODROME,22/01/2010,6.8,0.0, ,35.6,26.0,90,48,3.36,25.98
ARGYLE AERODROME,23/01/2010,8.3,0.8, ,37.7,25.8,89,35,3.77,30.09
ARGYLE AERODROME,24/01/2010,8.9,0.0, ,38.7,27.4,74,27,3.62,30.37
ARGYLE AERODROME,25/01/2010,7.1,40.0, ,37.4,23.0,99,42,3.06,27.47
ARGYLE AERODROME,26/01/2010,8.7,0.0, ,38.7,28.5,94,32,4.08,29.88
ARGYLE AERODROME,27/01/2010,8.1,5.0, ,39.5,24.5,89,31,3.79,26.46
ARGYLE AERODROME,28/01/2010,8.8,0.0, ,39.2,27.6,81,34,5.21,25.22
ARGYLE AERODROME,29/01/2010,7.4,2.2, ,37.9,25.1,99,35,3.94,24.97
ARGYLE AERODROME,30/01/2010,7.5,24.4, ,36.0,23.5,96,40,3.54,29.29
ARGYLE AERODROME,31/01/2010,7.3,0.0, ,37.1,25.3,91,36,3.20,26.76
Totals:,,227.7,168.6, ,,,,,, 
