'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARGYLE AERODROME Western Australia for October 2016,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 November 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARGYLE AERODROME,01/10/2016,9.2,0.0, ,39.6,28.3,56,17,4.80,21.08
ARGYLE AERODROME,02/10/2016,7.1,0.0, ,38.1,27.1,71,21,3.00,21.87
ARGYLE AERODROME,03/10/2016,7.8,2.2, ,35.5,24.7,82,14,3.73,25.63
ARGYLE AERODROME,04/10/2016,8.0,0.0, ,37.3,23.3,45,17,3.14,26.85
ARGYLE AERODROME,05/10/2016,8.4,0.0, ,37.5,23.0,33,6,3.25,26.89
ARGYLE AERODROME,06/10/2016,8.7,0.0, ,38.5,21.0,21,4,3.29,26.95
ARGYLE AERODROME,07/10/2016,8.1,0.0, ,38.7,22.3,67,11,3.04,27.00
ARGYLE AERODROME,08/10/2016, ,0.0, , ,24.5,33,14,2.86,26.75
ARGYLE AERODROME,09/10/2016, , , ,40.1, ,40,10,2.93,27.14
ARGYLE AERODROME,10/10/2016,8.8,0.0, ,40.4,26.6,50,11,3.21,27.22
ARGYLE AERODROME,11/10/2016,8.1,0.0, ,39.6,26.7,54,11,3.08,23.59
ARGYLE AERODROME,12/10/2016,8.8,0.0, ,38.7,25.5,56,10,3.47,27.36
ARGYLE AERODROME,13/10/2016,8.0,0.0, ,38.1,23.8,85,5,2.94,27.43
ARGYLE AERODROME,14/10/2016, ,0.0, , ,22.7,100,4,3.09,27.48
ARGYLE AERODROME,15/10/2016, , , ,38.0, ,26,5,2.80,27.55
ARGYLE AERODROME,16/10/2016,9.3,0.0, ,39.7,23.0,36,8,3.62,27.68
ARGYLE AERODROME,17/10/2016,7.9,0.0, ,39.1,25.5,100,20,3.08,27.47
ARGYLE AERODROME,18/10/2016,6.8,0.0, ,37.9,28.0,66,29,3.41,17.81
ARGYLE AERODROME,19/10/2016,5.9,17.2, ,35.2,22.4,96,36,2.82,21.91
ARGYLE AERODROME,20/10/2016,7.8,0.2, ,38.0,26.7,72,25,2.84,27.62
ARGYLE AERODROME,21/10/2016, ,0.0, , ,28.0,80,31,3.90,23.37
ARGYLE AERODROME,22/10/2016, , , ,34.1, ,88,33,3.86,22.96
ARGYLE AERODROME,23/10/2016,8.0,0.0, ,34.5,22.8,73,18,3.71,27.69
ARGYLE AERODROME,24/10/2016, ,0.0, ,35.1,21.6, , , ,28.21
ARGYLE AERODROME,25/10/2016,7.9,0.0, ,37.1,21.8,39,7,2.66,28.28
ARGYLE AERODROME,26/10/2016,8.4,0.0, ,39.8,24.2,41,7,2.77,28.34
ARGYLE AERODROME,27/10/2016,9.5,0.0, ,41.3,25.8,49,8,3.46,28.38
ARGYLE AERODROME,28/10/2016,9.5,0.0, ,41.7,27.3,59,9,3.52,28.41
ARGYLE AERODROME,29/10/2016, ,0.0, , ,28.3,62,13,3.47,24.58
ARGYLE AERODROME,30/10/2016, , , ,43.1, ,54,12,3.59,27.79
ARGYLE AERODROME,31/10/2016,9.0,0.0, ,42.4,31.2,100,21,4.13,25.95
Totals:,,181,19.6, ,,,,,, 
