'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARGYLE AERODROME Western Australia for October 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARGYLE AERODROME,01/10/2019,8.3,0.0, ,39.6,25.4,40,15,3.02,26.59
ARGYLE AERODROME,02/10/2019,8.7,0.0, ,40.5,26.1,31,9,3.14,26.69
ARGYLE AERODROME,03/10/2019,11.0,0.0, ,41.2,24.6,19,6,4.77,26.74
ARGYLE AERODROME,04/10/2019,7.7,0.0, ,38.3,21.9,49,10,2.68,26.77
ARGYLE AERODROME,05/10/2019,8.4,0.0, ,38.0,25.4,38,16,3.32,26.78
ARGYLE AERODROME,06/10/2019,8.0,0.0, ,38.5,24.6,45,14,2.91,26.30
ARGYLE AERODROME,07/10/2019,7.7,0.0, ,39.2,26.0,58,16,2.75,25.67
ARGYLE AERODROME,08/10/2019,8.2,0.0, ,40.6,23.7,56,9,2.79,27.03
ARGYLE AERODROME,09/10/2019, ,0.0, , ,26.1,42,9,4.58,27.14
ARGYLE AERODROME,10/10/2019, , , ,40.0, ,15,5,3.67,27.18
ARGYLE AERODROME,11/10/2019,8.9,0.0, ,40.4,23.4,13,3,3.20,27.23
ARGYLE AERODROME,12/10/2019, ,0.0, , ,24.2,28,6,3.12,27.36
ARGYLE AERODROME,13/10/2019,8.1, , ,41.8,25.1,34,8,2.50,27.46
ARGYLE AERODROME,14/10/2019,9.1,0.0, ,42.3,25.7,35,10,3.13,27.51
ARGYLE AERODROME,15/10/2019,9.9,0.0, ,41.5,27.1,47,12,3.98,27.59
ARGYLE AERODROME,16/10/2019,9.7,0.0, ,41.9,27.3,32,9,3.60,27.66
ARGYLE AERODROME,17/10/2019,9.1,0.0, ,41.9,25.7,39,9,3.19,27.73
ARGYLE AERODROME,18/10/2019,8.5,0.0, ,41.6,26.2,43,13,2.79,27.80
ARGYLE AERODROME,19/10/2019,8.0,0.0, ,41.5,28.5,32,14,2.46,25.85
ARGYLE AERODROME,20/10/2019, ,0.0, , ,29.2,33,13,3.07,24.55
ARGYLE AERODROME,21/10/2019, , , ,40.2, ,57,16,3.38,27.89
ARGYLE AERODROME,22/10/2019,9.0,0.0, ,40.3,26.3,26,6,3.12,27.97
ARGYLE AERODROME,23/10/2019,8.7,0.0, ,39.9,23.4,35,12,3.14,27.16
ARGYLE AERODROME,24/10/2019,8.9,0.0, ,40.4,26.4,74,16,3.60,27.29
ARGYLE AERODROME,25/10/2019,8.5,1.2, ,40.7,26.1,62,17,3.47,23.78
ARGYLE AERODROME,26/10/2019,6.9,1.4, ,38.9,26.7,73,26,2.85,20.86
ARGYLE AERODROME,27/10/2019,8.2,0.0, ,37.0,24.5,87,25,4.38,26.25
ARGYLE AERODROME,28/10/2019, ,1.6, , ,21.9,85,23,2.81,28.16
ARGYLE AERODROME,29/10/2019, , , , , , , , ,28.52
ARGYLE AERODROME,30/10/2019, , , ,40.0, ,31,6,2.42,28.56
ARGYLE AERODROME,31/10/2019,8.9,0.0, ,40.3,24.6,41,10,3.05,28.60
Totals:,,198.4,4.2, ,,,,,, 
