'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGINGARRA RESEARCH STN Western Australia for September 2010,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 October 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGINGARRA RESEARCH STN,01/09/2010,2.6,16.0, ,16.1,9.1,93,64,6.20,17.02
BADGINGARRA RESEARCH STN,02/09/2010,3.0,0.0, ,15.4,5.0,88,49,4.96,20.60
BADGINGARRA RESEARCH STN,03/09/2010,2.9,0.0, ,16.8,3.4,90,48,3.07,20.92
BADGINGARRA RESEARCH STN,04/09/2010,2.6,0.0, ,19.3,4.2,93,48,2.11,16.80
BADGINGARRA RESEARCH STN,05/09/2010,3.5,0.0, ,20.8,5.4,94,37,3.00,20.98
BADGINGARRA RESEARCH STN,06/09/2010,4.2,0.2, ,21.9,7.9,81,31,3.63,20.82
BADGINGARRA RESEARCH STN,07/09/2010,2.8,0.0, ,19.3,3.8,93,56,3.98,15.93
BADGINGARRA RESEARCH STN,08/09/2010,3.0,6.6, ,16.4,5.8,93,47,4.57,17.79
BADGINGARRA RESEARCH STN,09/09/2010,2.8,2.8, ,18.0,8.7,94,58,3.54,17.72
BADGINGARRA RESEARCH STN,10/09/2010,3.3,0.6, ,18.3,5.0,88,42,3.37,20.52
BADGINGARRA RESEARCH STN,11/09/2010,3.1,0.0, ,18.9,4.3,90,48,3.27,19.03
BADGINGARRA RESEARCH STN,12/09/2010,3.0,2.8, ,16.1,8.3,93,51,5.22,16.97
BADGINGARRA RESEARCH STN,13/09/2010,3.6,0.2, ,16.7,3.8,89,38,4.40,23.33
BADGINGARRA RESEARCH STN,14/09/2010,4.4,0.0, ,20.6,4.3,87,29,4.09,23.42
BADGINGARRA RESEARCH STN,15/09/2010,3.6,0.0, ,22.8,6.2,79,22,4.09,1.00
BADGINGARRA RESEARCH STN,16/09/2010,6.0,0.0, ,24.6,8.9,66,23,5.61,22.97
BADGINGARRA RESEARCH STN,17/09/2010, ,0.0, ,21.9,8.1,85,31,6.56, 
BADGINGARRA RESEARCH STN,18/09/2010,4.8,0.0, ,19.9,7.0,68,34,6.31,19.65
BADGINGARRA RESEARCH STN,19/09/2010,6.5,0.0, ,22.3,8.9,57,23,7.65,24.33
BADGINGARRA RESEARCH STN,20/09/2010,6.0,0.0, ,24.1,7.3,64,25,5.75,23.40
BADGINGARRA RESEARCH STN,21/09/2010,5.7,0.0, ,25.4,8.4,59,17,3.75,24.46
BADGINGARRA RESEARCH STN,22/09/2010,6.0,0.0, ,26.3,9.0,53,17,3.83,24.90
BADGINGARRA RESEARCH STN,23/09/2010,6.5,0.0, ,28.3,9.8,63,13,3.95,25.02
BADGINGARRA RESEARCH STN,24/09/2010,5.9,0.0, ,27.4,6.7,90,15,3.82,24.57
BADGINGARRA RESEARCH STN,25/09/2010,6.2,0.2, ,28.3,11.0,94,17,4.19,24.95
BADGINGARRA RESEARCH STN,26/09/2010,5.5,0.0, ,23.8,10.1,95,34,6.59,25.01
BADGINGARRA RESEARCH STN,27/09/2010,6.0,0.0, ,26.2,10.7,91,27,5.45,24.76
BADGINGARRA RESEARCH STN,28/09/2010,7.1,0.0, ,29.4,11.5,76,22,5.38,25.45
BADGINGARRA RESEARCH STN,29/09/2010,8.5,0.0, ,32.0,15.4,49,18,5.94,23.83
BADGINGARRA RESEARCH STN,30/09/2010,8.2,0.0, ,29.8,17.3,48,17,6.33,20.00
Totals:,,137.3,29.4, ,,,,,, 
