'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGINGARRA RESEARCH STN Western Australia for February 2012,,,,,,,,,,
Issued at 22:33 GMT on Thursday 01 March 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGINGARRA RESEARCH STN,01/02/2012,8.0,0.0, ,38.8,25.2,88,25,5.00,19.12
BADGINGARRA RESEARCH STN,02/02/2012,4.2,1.0, ,32.6,21.9,91,38,3.10,10.00
BADGINGARRA RESEARCH STN,03/02/2012,2.8,36.2, ,24.1,18.9,94,70,6.47,9.22
BADGINGARRA RESEARCH STN,04/02/2012,6.9,0.0, ,26.2,14.2,86,32,6.73,28.81
BADGINGARRA RESEARCH STN,05/02/2012,8.2,0.0, ,27.3,12.3,68,22,6.98,30.10
BADGINGARRA RESEARCH STN,06/02/2012,9.4,0.0, ,31.8,14.9,59,15,5.98,29.79
BADGINGARRA RESEARCH STN,07/02/2012,10.9,0.0, ,37.0,18.7,35,11,5.80,27.13
BADGINGARRA RESEARCH STN,08/02/2012,9.3,0.0, ,36.0,20.5,55,19,5.15,25.80
BADGINGARRA RESEARCH STN,09/02/2012,8.4,0.0, ,36.9,20.8,66,22,4.29,24.35
BADGINGARRA RESEARCH STN,10/02/2012,9.5,0.0, ,38.5,23.6,89,14,4.80,28.04
BADGINGARRA RESEARCH STN,11/02/2012,6.0,0.0, ,30.4,17.8,93,41,3.55,25.43
BADGINGARRA RESEARCH STN,12/02/2012,5.2,0.0, ,29.2,17.6,88,46,4.41,19.23
BADGINGARRA RESEARCH STN,13/02/2012,6.2,0.0, ,30.7,13.8,95,35,3.76,25.56
BADGINGARRA RESEARCH STN,14/02/2012,6.9,0.0, ,31.0,18.1,93,43,6.49,26.37
BADGINGARRA RESEARCH STN,15/02/2012,9.8,0.0, ,35.6,18.4,93,11,6.51,25.88
BADGINGARRA RESEARCH STN,16/02/2012,7.5,0.0, ,31.9,18.7,92,36,6.45,26.29
BADGINGARRA RESEARCH STN,17/02/2012,7.5,0.0, ,30.8,18.2,91,36,7.12,26.70
BADGINGARRA RESEARCH STN,18/02/2012,6.6,0.0, ,31.4,18.8,85,32,6.24,16.23
BADGINGARRA RESEARCH STN,19/02/2012,9.3,0.0, ,35.4,20.2,71,24,6.40,25.26
BADGINGARRA RESEARCH STN,20/02/2012,10.4,0.0, ,39.6,22.4,59,23,6.26,24.65
BADGINGARRA RESEARCH STN,21/02/2012,9.2,0.0, ,37.6,21.4,78,23,5.25,27.00
BADGINGARRA RESEARCH STN,22/02/2012,7.0,0.0, ,35.0,19.3,92,30,3.64,25.71
BADGINGARRA RESEARCH STN,23/02/2012,6.4,0.0, ,32.3,18.6,93,34,3.98,24.28
BADGINGARRA RESEARCH STN,24/02/2012,6.8,0.2, ,29.0,15.0,87,29,5.58,25.02
BADGINGARRA RESEARCH STN,25/02/2012,5.9,0.2, ,26.6,15.1,83,37,6.15,20.97
BADGINGARRA RESEARCH STN,26/02/2012,7.1,0.0, ,27.5,14.2,86,24,6.37,25.48
BADGINGARRA RESEARCH STN,27/02/2012,8.5,0.0, ,30.8,14.6,80,24,7.59,26.20
BADGINGARRA RESEARCH STN,28/02/2012,8.5,0.0, ,33.0,16.5,83,30,7.55,25.10
BADGINGARRA RESEARCH STN,29/02/2012,10.0,0.0, ,31.7,18.4,65,21,9.56,25.39
Totals:,,222.4,37.6, ,,,,,, 
