'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGINGARRA RESEARCH STN Western Australia for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGINGARRA RESEARCH STN,01/01/2020,11.0,0.0, ,36.2,15.1,91,18,7.84,30.43
BADGINGARRA RESEARCH STN,02/01/2020,6.7,0.0, ,27.4,15.5,94,41,7.71,26.97
BADGINGARRA RESEARCH STN,03/01/2020,6.4,0.8, ,23.9,11.7,93,27,7.54,24.76
BADGINGARRA RESEARCH STN,04/01/2020,8.8,0.0, ,28.4,12.1,73,17,6.98,30.64
BADGINGARRA RESEARCH STN,05/01/2020,11.2,0.0, ,36.4,15.6,55,14,6.38,30.53
BADGINGARRA RESEARCH STN,06/01/2020,12.1,0.0, ,38.9,18.7,53,14,6.62,30.56
BADGINGARRA RESEARCH STN,07/01/2020,10.0,0.0, ,36.3,18.0,83,19,5.86,30.52
BADGINGARRA RESEARCH STN,08/01/2020,9.0,0.0, ,32.5,16.5,100,30,8.70,30.36
BADGINGARRA RESEARCH STN,09/01/2020,9.0,0.0, ,30.5,15.9,91,30,9.97,30.12
BADGINGARRA RESEARCH STN,10/01/2020,11.4,0.0, ,33.5,15.5,74,11,8.75,30.03
BADGINGARRA RESEARCH STN,11/01/2020,10.7,0.0, ,36.0,18.6,37,18,5.75,29.86
BADGINGARRA RESEARCH STN,12/01/2020,10.0,0.0, ,36.9,20.8,88,23,6.33,29.83
BADGINGARRA RESEARCH STN,13/01/2020,12.1,0.0, ,39.5,17.6,88,17,7.81,29.67
BADGINGARRA RESEARCH STN,14/01/2020,10.6,0.0, ,39.5,19.2,81,27,6.36,29.62
BADGINGARRA RESEARCH STN,15/01/2020,10.4,0.0, ,39.1,19.9,73,29,6.63,27.53
BADGINGARRA RESEARCH STN,16/01/2020,9.8,0.0, ,38.3,23.3,63,34,6.09,27.30
BADGINGARRA RESEARCH STN,17/01/2020,7.7,0.0, ,32.9,19.5,93,33,7.51,21.16
BADGINGARRA RESEARCH STN,18/01/2020,9.0,0.0, ,32.9,18.1,93,24,6.97,29.29
BADGINGARRA RESEARCH STN,19/01/2020,10.4,0.0, ,33.8,17.3,73,22,8.26,29.02
BADGINGARRA RESEARCH STN,20/01/2020,9.8,0.0, ,34.7,16.7,95,24,7.88,29.03
BADGINGARRA RESEARCH STN,21/01/2020,7.1,0.0, ,27.8,15.6,86,44,9.49,27.73
BADGINGARRA RESEARCH STN,22/01/2020,7.5,0.0, ,27.8,13.6,82,36,8.20,28.86
BADGINGARRA RESEARCH STN,23/01/2020,9.5,0.0, ,33.8,15.4,89,26,7.79,28.83
BADGINGARRA RESEARCH STN,24/01/2020,10.9,0.0, ,37.4,15.6,94,11,6.56,28.88
BADGINGARRA RESEARCH STN,25/01/2020, ,0.0, , ,16.3,82,10,6.36,28.77
BADGINGARRA RESEARCH STN,26/01/2020,11.8, , ,41.2,17.3,100,10,6.40,28.24
BADGINGARRA RESEARCH STN,27/01/2020,13.0,0.0, ,43.8,23.3,55,10,6.18,28.45
BADGINGARRA RESEARCH STN,28/01/2020,10.7,0.0, ,40.3,25.4,91,19,6.22,28.42
BADGINGARRA RESEARCH STN,29/01/2020,7.9,0.0, ,32.5,16.1,91,31,5.65,27.89
BADGINGARRA RESEARCH STN,30/01/2020,5.8,0.2, ,25.5,15.5,100,35,6.70,22.71
BADGINGARRA RESEARCH STN,31/01/2020,7.4,0.0, ,26.9,10.3,86,23,6.63,28.21
Totals:,,287.7,1, ,,,,,, 
