'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGINGARRA RESEARCH STN Western Australia for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGINGARRA RESEARCH STN,01/10/2021,1.7,0.0, ,17.4,12.1,100,83,4.98,10.42
BADGINGARRA RESEARCH STN,02/10/2021,2.9,0.0, ,18.1,7.6,96,57,4.62,15.99
BADGINGARRA RESEARCH STN,03/10/2021,3.4,0.0, ,19.5,10.4,100,50,4.03,18.30
BADGINGARRA RESEARCH STN,04/10/2021,3.5,0.0, ,19.4,6.2,93,46,3.15,20.87
BADGINGARRA RESEARCH STN,05/10/2021,2.6,0.0, ,17.8,7.3,100,58,3.25,14.69
BADGINGARRA RESEARCH STN,06/10/2021,4.1,0.0, ,18.5,4.4,92,35,3.92,24.19
BADGINGARRA RESEARCH STN,07/10/2021,4.5,0.0, ,21.7,4.8,94,32,3.39,24.29
BADGINGARRA RESEARCH STN,08/10/2021,4.0,0.0, ,20.9,9.4,100,45,4.66,20.83
BADGINGARRA RESEARCH STN,09/10/2021,4.5,0.0, ,20.7,5.7,94,38,5.12,23.88
BADGINGARRA RESEARCH STN,10/10/2021,5.3,0.0, ,23.7,7.2,88,23,4.32,23.07
BADGINGARRA RESEARCH STN,11/10/2021,3.7,0.0, ,20.9,8.0,94,51,5.44,17.79
BADGINGARRA RESEARCH STN,12/10/2021,3.3,0.0, ,18.1,2.9,91,51,4.08,18.93
BADGINGARRA RESEARCH STN,13/10/2021,5.5,0.0, ,23.0,6.3,91,27,5.14,24.95
BADGINGARRA RESEARCH STN,14/10/2021,6.8,0.0, ,27.6,9.8,92,22,5.75,25.08
BADGINGARRA RESEARCH STN,15/10/2021,7.5,0.0, ,34.1,14.3,100,12,4.66,19.71
BADGINGARRA RESEARCH STN,16/10/2021,4.1,0.0, ,22.7,12.4,100,52,4.25,21.45
BADGINGARRA RESEARCH STN,17/10/2021,3.6,0.0, ,22.1,9.1,96,48,2.47,19.45
BADGINGARRA RESEARCH STN,18/10/2021,5.0,0.0, ,26.3,4.7,100,29,2.71,25.15
BADGINGARRA RESEARCH STN,19/10/2021,2.8,0.0, ,18.6,14.1,100,62,7.58,12.09
BADGINGARRA RESEARCH STN,20/10/2021,3.1,0.0, ,19.3,11.4,100,56,5.88,14.34
BADGINGARRA RESEARCH STN,21/10/2021,3.2,0.0, ,19.6,11.4,100,56,4.37,16.12
BADGINGARRA RESEARCH STN,22/10/2021,3.7,0.0, ,22.3,8.8,100,47,3.19,18.02
BADGINGARRA RESEARCH STN,23/10/2021,6.2,0.0, ,27.3,9.6,88,25,4.27,26.10
BADGINGARRA RESEARCH STN,24/10/2021,7.7,0.0, ,31.7,14.0,94,22,5.49,26.04
BADGINGARRA RESEARCH STN,25/10/2021,2.4,0.0, ,16.3,11.2,100,59,3.97,11.70
BADGINGARRA RESEARCH STN,26/10/2021,3.8,0.0, ,18.3,5.9,100,39,3.96,21.04
BADGINGARRA RESEARCH STN,27/10/2021,2.7,0.0, ,16.3,9.1,100,64,6.03,16.12
BADGINGARRA RESEARCH STN,28/10/2021,3.4,0.0, ,18.0,6.8,100,42,3.51,17.85
BADGINGARRA RESEARCH STN,29/10/2021,5.3,0.0, ,21.6,7.5,89,33,5.01,26.99
BADGINGARRA RESEARCH STN,30/10/2021,6.7,0.0, ,26.2,10.1,78,23,5.17,27.03
BADGINGARRA RESEARCH STN,31/10/2021,6.7,0.0, ,28.6,9.8,89,26,4.73,26.43
Totals:,,133.7,0, ,,,,,, 
