'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/09/2009,6.0,0.0, ,25.5,18.4,78,45,8.56,23.26
BARROW ISLAND AIRPORT,02/09/2009,6.6,0.0, ,25.4,17.9,72,41,8.97,24.02
BARROW ISLAND AIRPORT,03/09/2009,5.9,0.0, ,26.0,18.8,85,34,5.67,24.22
BARROW ISLAND AIRPORT,04/09/2009,5.6,0.0, ,28.1,17.0,91,32,4.19,23.77
BARROW ISLAND AIRPORT,05/09/2009,5.3,0.0, ,24.1,18.8,82,55,8.99,23.44
BARROW ISLAND AIRPORT,06/09/2009,6.8,0.0, ,25.1,18.2,73,32,8.28,23.66
BARROW ISLAND AIRPORT,07/09/2009,5.5,0.0, ,24.8,19.7,84,44,6.14,24.14
BARROW ISLAND AIRPORT,08/09/2009,5.5,0.0, ,27.5,18.0,89,28,3.63,23.92
BARROW ISLAND AIRPORT,09/09/2009,5.3,0.0, ,27.2,20.9,90,44,4.64,22.92
BARROW ISLAND AIRPORT,10/09/2009,4.9,0.0, ,23.9,19.9,84,61,7.38,23.77
BARROW ISLAND AIRPORT,11/09/2009,5.7,0.0, ,24.3,19.1,76,53,8.67,23.67
BARROW ISLAND AIRPORT,12/09/2009,6.3,0.0, ,25.5,20.1,73,50,8.88,24.15
BARROW ISLAND AIRPORT,13/09/2009,7.5,0.0, ,28.5,20.2,76,31,7.89,24.67
BARROW ISLAND AIRPORT,14/09/2009,6.6,0.0, ,27.6,19.9,81,35,6.41,24.81
BARROW ISLAND AIRPORT,15/09/2009,5.7,0.0, ,23.7,19.7,80,52,9.05,25.03
BARROW ISLAND AIRPORT,16/09/2009,6.8,0.0, ,24.5,18.9,76,36,9.39,25.23
BARROW ISLAND AIRPORT,17/09/2009,6.2,0.0, ,26.1,19.7,75,44,6.10,25.77
BARROW ISLAND AIRPORT,18/09/2009,6.5,0.0, ,25.5,19.1,77,45,8.73,25.81
BARROW ISLAND AIRPORT,19/09/2009,7.0,0.0, ,27.6,20.2,79,35,6.78,26.35
BARROW ISLAND AIRPORT,20/09/2009,6.1,0.0, ,23.9,18.3,76,53,11.21,25.92
BARROW ISLAND AIRPORT,21/09/2009,6.5,0.0, ,24.5,17.8,77,45,10.59,25.36
BARROW ISLAND AIRPORT,22/09/2009,7.7,0.0, ,28.6,18.6,77,30,7.83,26.23
BARROW ISLAND AIRPORT,23/09/2009,7.1,0.0, ,29.7,19.6,87,26,5.14,27.10
BARROW ISLAND AIRPORT,24/09/2009,7.4,0.0, ,29.7,17.0,84,11,4.63,26.86
BARROW ISLAND AIRPORT,25/09/2009,7.9,0.0, ,32.9,19.8,82,26,5.33,27.01
BARROW ISLAND AIRPORT,26/09/2009,8.2,0.0, ,29.5,20.8,78,23,7.27,26.68
BARROW ISLAND AIRPORT,27/09/2009,7.7,0.0, ,30.3,20.5,86,14,5.22,26.76
BARROW ISLAND AIRPORT,28/09/2009,8.0,0.0, ,31.5,19.0,82,24,6.00,26.83
BARROW ISLAND AIRPORT,29/09/2009,6.8,0.0, ,25.4,20.4,75,48,10.93,26.07
BARROW ISLAND AIRPORT,30/09/2009,7.2,0.0, ,22.6,16.9,63,37,10.63,26.62
Totals:,,196.3,0, ,,,,,, 
