'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/03/2015,6.5,0.0, ,32.1,26.0,78,56,5.88,22.47
BARROW ISLAND AIRPORT,02/03/2015,7.1,0.0, ,32.4,25.9,78,46,5.67,24.42
BARROW ISLAND AIRPORT,03/03/2015,7.1,0.0, ,32.9,25.8,78,49,5.49,25.41
BARROW ISLAND AIRPORT,04/03/2015,5.8,0.0, ,32.3,26.2,84,60,5.34,20.70
BARROW ISLAND AIRPORT,05/03/2015,3.9,20.0, ,29.2,23.8,89,70,7.21,11.89
BARROW ISLAND AIRPORT,06/03/2015,5.2,0.6, ,32.1,25.5,90,65,5.35,19.58
BARROW ISLAND AIRPORT,07/03/2015,5.6,0.0, ,31.4,27.0,87,64,4.84,22.68
BARROW ISLAND AIRPORT,08/03/2015,6.5,0.0, ,33.7,27.5,85,47,3.57,24.89
BARROW ISLAND AIRPORT,09/03/2015,7.5,0.0, ,35.7,27.1,80,48,5.23,25.26
BARROW ISLAND AIRPORT,10/03/2015,6.5,0.0, ,33.8,27.6,84,44,3.27,25.27
BARROW ISLAND AIRPORT,11/03/2015,5.6,0.0, ,31.0,28.1,84,65,7.67,19.02
BARROW ISLAND AIRPORT,12/03/2015,3.2,40.4, ,28.7,24.6,94,74,16.68,3.57
BARROW ISLAND AIRPORT,13/03/2015,6.4,101.2, ,32.9,23.9,91,59,8.70,22.69
BARROW ISLAND AIRPORT,14/03/2015,4.6,0.0, ,31.2,25.1,92,66,3.35,19.53
BARROW ISLAND AIRPORT,15/03/2015,5.8,0.0, ,31.8,26.7,87,66,5.53,23.84
BARROW ISLAND AIRPORT,16/03/2015,6.5,0.0, ,32.1,27.5,84,62,7.77,23.89
BARROW ISLAND AIRPORT,17/03/2015,6.4,0.0, ,30.8,26.4,79,61,7.84,22.84
BARROW ISLAND AIRPORT,18/03/2015,6.9,0.0, ,30.9,25.2,79,49,6.11,25.26
BARROW ISLAND AIRPORT,19/03/2015,6.7,0.0, ,30.9,25.4,79,51,6.06,24.95
BARROW ISLAND AIRPORT,20/03/2015,6.3,0.0, ,31.5,24.1,86,49,5.13,24.63
BARROW ISLAND AIRPORT,21/03/2015,7.1,0.0, ,32.1,26.6,86,54,9.22,24.15
BARROW ISLAND AIRPORT,22/03/2015,7.8,0.0, ,32.1,27.4,74,52,8.86,24.05
BARROW ISLAND AIRPORT,23/03/2015,7.3,0.0, ,35.2,27.9,85,45,5.74,23.45
BARROW ISLAND AIRPORT,24/03/2015,6.2,0.0, ,31.5,27.1,85,58,6.88,22.49
BARROW ISLAND AIRPORT,25/03/2015,7.0,0.0, ,32.2,27.0,84,45,6.44,23.43
BARROW ISLAND AIRPORT,26/03/2015,6.4,0.0, ,33.0,25.6,78,36,4.49,19.45
BARROW ISLAND AIRPORT,27/03/2015,7.1,0.0, ,34.0,28.1,76,43,5.07,23.15
BARROW ISLAND AIRPORT,28/03/2015,6.1,0.0, ,33.2,26.4,84,46,3.63,23.00
BARROW ISLAND AIRPORT,29/03/2015,5.6,0.0, ,32.9,25.5,86,51,4.48,19.69
BARROW ISLAND AIRPORT,30/03/2015,2.9,28.0, ,30.1,24.2,93,75,8.03,6.78
BARROW ISLAND AIRPORT,31/03/2015,5.2,20.8, ,32.7,23.2,91,63,5.55,20.22
Totals:,,188.8,211, ,,,,,, 
