'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/02/2016,7.3,0.0, ,29.8,24.1,79,53,8.26,27.22
BARROW ISLAND AIRPORT,02/02/2016,8.7,0.0, ,33.4,23.7,75,39,7.09,28.61
BARROW ISLAND AIRPORT,03/02/2016,7.1,0.0, ,33.6,24.3,80,50,4.06,27.77
BARROW ISLAND AIRPORT,04/02/2016,7.9,0.0, ,35.2,26.2,84,35,4.45,27.48
BARROW ISLAND AIRPORT,05/02/2016,8.3,0.0, ,35.3,25.8,89,34,5.43,27.68
BARROW ISLAND AIRPORT,06/02/2016,7.9,0.0, ,34.0,25.9,89,45,6.14,28.68
BARROW ISLAND AIRPORT,07/02/2016,8.5,0.0, ,37.5,25.2,91,30,4.56,28.44
BARROW ISLAND AIRPORT,08/02/2016,8.0,0.0, ,35.6,25.0,90,41,5.16,28.50
BARROW ISLAND AIRPORT,09/02/2016,9.4,0.0, ,40.2,26.7,87,27,4.73,28.65
BARROW ISLAND AIRPORT,10/02/2016,8.3,0.0, ,36.7,25.6,90,38,4.92,28.86
BARROW ISLAND AIRPORT,11/02/2016,9.4,0.0, ,40.1,25.2,87,25,4.63,28.82
BARROW ISLAND AIRPORT,12/02/2016,9.2,0.0, ,39.2,26.4,90,32,5.25,28.70
BARROW ISLAND AIRPORT,13/02/2016,8.0,0.2, ,36.6,26.4,92,50,6.10,28.19
BARROW ISLAND AIRPORT,14/02/2016,7.0,0.0, ,34.1,27.0,85,52,4.62,25.97
BARROW ISLAND AIRPORT,15/02/2016,6.5,0.0, ,34.1,26.0,83,59,3.52,26.21
BARROW ISLAND AIRPORT,16/02/2016,7.4,0.0, ,34.2,26.5,88,51,5.66,27.18
BARROW ISLAND AIRPORT,17/02/2016,8.6,0.0, ,36.3,28.0,82,41,7.42,23.99
BARROW ISLAND AIRPORT,18/02/2016,8.5,0.0, ,38.8,27.4,82,37,5.19,24.77
BARROW ISLAND AIRPORT,19/02/2016,10.7,0.0, ,40.6,28.9,72,30,6.61,27.47
BARROW ISLAND AIRPORT,20/02/2016,9.5,0.0, ,38.1,30.1,85,37,7.06,26.97
BARROW ISLAND AIRPORT,21/02/2016,8.0,0.0, ,35.0,28.2,83,51,7.32,26.47
BARROW ISLAND AIRPORT,22/02/2016,7.7,0.0, ,35.1,25.9,85,45,5.42,26.69
BARROW ISLAND AIRPORT,23/02/2016,7.2,0.0, ,32.2,26.0,82,53,6.42,26.46
BARROW ISLAND AIRPORT,24/02/2016,6.9,0.0, ,30.0,25.7,75,52,7.24,23.32
BARROW ISLAND AIRPORT,25/02/2016,7.0,0.0, ,30.3,25.2,79,56,6.96,26.98
BARROW ISLAND AIRPORT,26/02/2016,6.9,0.0, ,31.2,25.6,83,58,8.01,25.53
BARROW ISLAND AIRPORT,27/02/2016,7.8,0.0, ,33.9,26.4,83,52,7.80,26.33
BARROW ISLAND AIRPORT,28/02/2016,7.9,0.0, ,36.0,28.0,84,46,6.02,25.75
BARROW ISLAND AIRPORT,29/02/2016,6.7,0.0, ,35.3,27.8,85,56,4.01,25.21
Totals:,,232.3,0.2, ,,,,,, 
