'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/02/2018,8.7,0.0, ,31.8,25.8,76,42,8.22,29.35
BARROW ISLAND AIRPORT,02/02/2018,9.4,0.0, ,30.9,25.3,73,39,10.40,29.30
BARROW ISLAND AIRPORT,03/02/2018,8.1,0.0, ,31.5,24.6,77,46,7.34,29.09
BARROW ISLAND AIRPORT,04/02/2018,8.5,0.0, ,31.8,24.9,79,43,8.09,29.18
BARROW ISLAND AIRPORT,05/02/2018,7.5,0.0, ,32.6,25.6,80,50,5.07,29.07
BARROW ISLAND AIRPORT,06/02/2018,7.1,0.0, ,32.4,23.5,84,46,4.14,28.91
BARROW ISLAND AIRPORT,07/02/2018,7.3,0.0, ,33.7,24.2,81,46,4.06,28.95
BARROW ISLAND AIRPORT,08/02/2018,7.5,0.0, ,32.8,26.4,81,56,6.41,28.27
BARROW ISLAND AIRPORT,09/02/2018,7.2,0.4, ,32.0,25.1,86,55,6.96,28.14
BARROW ISLAND AIRPORT,10/02/2018,7.3,0.0, ,35.3,26.4,86,54,4.91,27.38
BARROW ISLAND AIRPORT,11/02/2018,6.7,0.0, ,33.3,26.2,86,57,4.78,26.52
BARROW ISLAND AIRPORT,12/02/2018,7.3,0.0, ,34.5,25.3,84,53,5.06,27.71
BARROW ISLAND AIRPORT,13/02/2018,7.3,0.0, ,32.8,26.5,83,59,6.96,28.38
BARROW ISLAND AIRPORT,14/02/2018,8.1,1.0, ,34.9,25.9,87,46,6.35,28.46
BARROW ISLAND AIRPORT,15/02/2018,7.7,0.2, ,37.6,27.9,88,50,4.56,27.47
BARROW ISLAND AIRPORT,16/02/2018,8.2,0.0, ,36.7,28.5,82,48,5.40,27.89
BARROW ISLAND AIRPORT,17/02/2018,7.0,0.0, ,33.9,28.0,79,56,6.25,23.20
BARROW ISLAND AIRPORT,18/02/2018,8.7,0.0, ,31.7,27.0,78,49,11.12,27.89
BARROW ISLAND AIRPORT,19/02/2018,8.2,0.0, ,30.0,23.9,79,48,11.80,27.48
BARROW ISLAND AIRPORT,20/02/2018,7.3,0.0, ,30.7,25.0,81,57,9.19,27.27
BARROW ISLAND AIRPORT,21/02/2018,7.0,0.0, ,30.9,25.4,81,59,9.28,25.03
BARROW ISLAND AIRPORT,22/02/2018,6.4,0.0, ,31.0,25.7,79,61,6.96,23.18
BARROW ISLAND AIRPORT,23/02/2018,7.0,0.0, ,31.0,25.8,80,57,7.09,26.66
BARROW ISLAND AIRPORT,24/02/2018,7.2,0.0, ,32.2,25.6,80,53,6.50,26.13
BARROW ISLAND AIRPORT,25/02/2018,7.1,0.0, ,32.1,25.4,81,45,6.39,23.20
BARROW ISLAND AIRPORT,26/02/2018,7.5,0.0, ,30.6,25.3,78,49,8.60,24.71
BARROW ISLAND AIRPORT,27/02/2018,7.9,0.0, ,30.7,25.2,77,54,10.76,26.97
BARROW ISLAND AIRPORT,28/02/2018,8.0,0.0, ,34.3,24.7,82,43,6.41,26.87
Totals:,,213.2,1.6, ,,,,,, 
