'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BARROW ISLAND AIRPORT Western Australia for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BARROW ISLAND AIRPORT,01/01/2020,8.4,0.0, ,36.4,26.9,88,41,5.64,28.20
BARROW ISLAND AIRPORT,02/01/2020,6.4,0.0, ,32.2,25.6,88,63,5.78,26.31
BARROW ISLAND AIRPORT,03/01/2020,9.4,0.0, ,33.7,27.0,78,45,10.44,28.46
BARROW ISLAND AIRPORT,04/01/2020,8.2,0.0, ,33.8,27.3,80,46,6.28,28.15
BARROW ISLAND AIRPORT,05/01/2020,8.1,0.0, ,34.1,27.3,82,45,5.83,27.87
BARROW ISLAND AIRPORT,06/01/2020,8.5,0.0, ,34.8,26.7,88,42,6.44,29.54
BARROW ISLAND AIRPORT,07/01/2020,8.3,0.0, ,34.0,26.8,79,55,7.29,30.04
BARROW ISLAND AIRPORT,08/01/2020,8.5,0.0, ,33.5,27.4,78,51,9.81,25.84
BARROW ISLAND AIRPORT,09/01/2020,8.3,0.0, ,32.1,25.6,81,57,12.17,29.77
BARROW ISLAND AIRPORT,10/01/2020,8.7,0.0, ,35.9,25.5,84,49,7.52,29.38
BARROW ISLAND AIRPORT,11/01/2020,7.6,0.0, ,35.0,27.4,90,54,6.25,27.99
BARROW ISLAND AIRPORT,12/01/2020,7.9,0.0, ,36.2,27.4,88,49,5.92,26.60
BARROW ISLAND AIRPORT,13/01/2020,7.7,0.0, ,35.0,28.3,88,57,9.27,25.14
BARROW ISLAND AIRPORT,14/01/2020,6.3,3.6, ,31.5,27.5,92,72,9.28,28.09
BARROW ISLAND AIRPORT,15/01/2020,6.7,1.4, ,34.5,26.9,94,55,4.18,26.57
BARROW ISLAND AIRPORT,16/01/2020,8.0,0.2, ,34.9,27.7,84,55,6.93,28.65
BARROW ISLAND AIRPORT,17/01/2020,8.7,0.0, ,34.2,27.6,85,53,9.99,29.76
BARROW ISLAND AIRPORT,18/01/2020,7.2,0.0, ,32.5,27.2,91,65,9.71,29.69
BARROW ISLAND AIRPORT,19/01/2020,7.8,0.2, ,34.2,26.8,86,56,6.76,29.75
BARROW ISLAND AIRPORT,20/01/2020,7.8,0.0, ,35.6,28.1,85,62,6.89,29.22
BARROW ISLAND AIRPORT,21/01/2020,7.4,0.0, ,31.8,26.2,87,60,8.53,29.63
BARROW ISLAND AIRPORT,22/01/2020,7.6,0.0, ,31.5,25.8,86,55,8.69,29.55
BARROW ISLAND AIRPORT,23/01/2020,8.3,0.0, ,34.0,25.7,85,47,6.95,29.52
BARROW ISLAND AIRPORT,24/01/2020,7.9,0.0, ,36.0,25.5,88,51,5.36,29.37
BARROW ISLAND AIRPORT,25/01/2020,7.3,0.0, ,35.3,25.0,94,53,4.82,28.84
BARROW ISLAND AIRPORT,26/01/2020,8.1,0.0, ,36.9,26.0,92,48,5.35,29.36
BARROW ISLAND AIRPORT,27/01/2020,8.2,0.0, ,37.2,24.7,94,46,5.37,29.30
BARROW ISLAND AIRPORT,28/01/2020,8.2,0.0, ,34.5,27.0,87,50,7.01,29.18
BARROW ISLAND AIRPORT,29/01/2020,7.1,0.0, ,33.5,26.3,88,58,8.50,24.69
BARROW ISLAND AIRPORT,30/01/2020,8.3,0.0, ,31.3,27.0,80,55,11.34,29.09
BARROW ISLAND AIRPORT,31/01/2020,8.1,0.0, ,28.9,23.5,74,49,11.94,26.95
Totals:,,245,5.4, ,,,,,, 
