'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEDOUT ISLAND Western Australia for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEDOUT ISLAND,01/04/2016,6.2, , ,34.3,28.1,100,52,5.39,23.28
BEDOUT ISLAND,02/04/2016,5.2, , ,34.0,27.6,100,74,5.02,23.18
BEDOUT ISLAND,03/04/2016,5.3, , ,34.4,26.2,100,67,4.12,23.01
BEDOUT ISLAND,04/04/2016,5.4, , ,34.5,28.7,100,71,5.12,23.18
BEDOUT ISLAND,05/04/2016,4.9, , ,33.9,27.3,100,79,4.92,22.70
BEDOUT ISLAND,06/04/2016,4.7, , ,34.1,27.9,100,77,4.64,20.77
BEDOUT ISLAND,07/04/2016,5.9, , ,33.5,27.3,100,53,5.25,22.91
BEDOUT ISLAND,08/04/2016,5.8, , ,34.6,27.9,98,55,4.16,22.99
BEDOUT ISLAND,09/04/2016,5.1, , ,33.5,27.3,100,68,3.01,22.75
BEDOUT ISLAND,10/04/2016,5.7, , ,36.3,27.2,100,40,2.48,22.61
BEDOUT ISLAND,11/04/2016,6.1, , ,35.1,28.6,98,55,5.39,22.51
BEDOUT ISLAND,12/04/2016,6.0, , ,33.5,27.9,100,51,6.19,21.50
BEDOUT ISLAND,13/04/2016,7.1, , ,33.8,27.4,96,44,8.20,22.41
BEDOUT ISLAND,14/04/2016,7.5, , ,34.5,27.2,83,42,7.10,22.14
BEDOUT ISLAND,15/04/2016,7.5, , ,34.2,27.5,82,37,6.34,22.41
BEDOUT ISLAND,16/04/2016,6.9, , ,34.2,27.1,90,37,5.42,22.31
BEDOUT ISLAND,17/04/2016,6.8, , ,34.9,26.4,86,38,5.03,22.43
BEDOUT ISLAND,18/04/2016,6.5, , ,34.5,28.0,91,40,4.85,22.27
BEDOUT ISLAND,19/04/2016, , , , ,28.0,96,63,6.60,21.62
BEDOUT ISLAND,20/04/2016, , , ,33.2, ,100,63,5.00,21.63
BEDOUT ISLAND,21/04/2016,6.9, , ,34.7,27.7,96,41,6.86,21.59
BEDOUT ISLAND,22/04/2016,8.3, , ,33.3,26.7,81,34,9.05,21.34
BEDOUT ISLAND,23/04/2016,6.5, , ,34.4,27.2,87,39,4.83,21.32
BEDOUT ISLAND,24/04/2016,5.4, , ,34.2,27.8,91,56,3.87,21.09
BEDOUT ISLAND,25/04/2016,5.5, , ,34.0,26.2,100,48,4.25,21.17
BEDOUT ISLAND,26/04/2016, , , , ,26.0,93,44,5.42,20.94
BEDOUT ISLAND,27/04/2016, , , ,33.1, ,90,66,4.74,20.81
BEDOUT ISLAND,28/04/2016,5.5, , ,33.1,27.1,89,60,5.42,20.65
BEDOUT ISLAND,29/04/2016,5.6, , ,32.7,27.1,83,54,4.81,20.52
BEDOUT ISLAND,30/04/2016,4.9, , ,32.0,26.2,81,61,3.43,20.53
Totals:,,157.2, , ,,,,,, 
