'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEDOUT ISLAND Western Australia for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEDOUT ISLAND,01/09/2017,4.4, , ,28.6,22.5,100,67,4.86,22.34
BEDOUT ISLAND,02/09/2017,5.2, , ,28.4,22.6,84,60,5.20,22.80
BEDOUT ISLAND,03/09/2017,5.9, , ,28.2,21.6,88,39,5.71,22.78
BEDOUT ISLAND,04/09/2017,7.1, , ,28.5,22.4,84,36,8.74,22.95
BEDOUT ISLAND,05/09/2017,6.7, , ,28.7,22.2,85,40,7.82,23.11
BEDOUT ISLAND,06/09/2017,6.0, , ,28.3,22.2,91,45,6.83,23.22
BEDOUT ISLAND,07/09/2017,2.3, , ,26.7,22.5,100,86,3.45,11.52
BEDOUT ISLAND,08/09/2017,4.7, , ,29.8,22.1,100,65,3.47,23.52
BEDOUT ISLAND,09/09/2017,4.8, , ,28.6,22.4,100,61,4.03,23.63
BEDOUT ISLAND,10/09/2017,4.5, , ,28.6,21.6,100,71,4.10,23.79
BEDOUT ISLAND,11/09/2017,5.0, , ,29.4,22.5,100,64,6.43,23.85
BEDOUT ISLAND,12/09/2017,4.6, , ,28.0,22.0,98,69,4.92,23.95
BEDOUT ISLAND,13/09/2017,6.1, , ,30.7,21.3,100,42,5.64,24.09
BEDOUT ISLAND,14/09/2017,6.4, , ,30.1,23.8,96,45,7.61,24.17
BEDOUT ISLAND,15/09/2017,5.7, , ,29.7,23.9,100,51,5.97,24.34
BEDOUT ISLAND,16/09/2017,6.2, , ,30.0,23.2,100,21,3.88,24.49
BEDOUT ISLAND,17/09/2017,5.6, , ,31.3,22.8,100,51,4.12,24.63
BEDOUT ISLAND,18/09/2017,6.3, , ,32.4,22.8,100,38,4.50,24.75
BEDOUT ISLAND,19/09/2017,5.7, , ,31.1,23.1,100,49,4.09,24.87
BEDOUT ISLAND,20/09/2017,6.2, , ,31.5,23.5,100,40,4.42,24.97
BEDOUT ISLAND,21/09/2017,4.9, , ,30.1,24.2,100,75,5.17,25.08
BEDOUT ISLAND,22/09/2017,5.2, , ,30.1,23.9,100,68,6.23,25.22
BEDOUT ISLAND,23/09/2017,6.1, , ,29.8,23.9,89,59,8.06,25.33
BEDOUT ISLAND,24/09/2017,6.4, , ,26.6,22.5,80,57,11.37,25.38
BEDOUT ISLAND,25/09/2017,6.8, , ,28.0,22.4,75,55,9.53,25.52
BEDOUT ISLAND,26/09/2017,6.6, , ,27.9,22.6,77,51,8.96,22.88
BEDOUT ISLAND,27/09/2017,6.6, , ,27.9,22.8,74,43,7.87,19.51
BEDOUT ISLAND,28/09/2017,6.9, , ,29.4,22.8,68,53,7.25,24.74
BEDOUT ISLAND,29/09/2017,9.2, , ,30.7,23.4,75,25,9.25,25.86
BEDOUT ISLAND,30/09/2017,8.0, , ,29.8,22.9,82,29,7.80,26.00
Totals:,,176.1, , ,,,,,, 
