'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEDOUT ISLAND Western Australia for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEDOUT ISLAND,01/10/2018,5.5, , ,29.5,23.3,94,63,5.79,25.16
BEDOUT ISLAND,02/10/2018,5.6, , ,29.8,23.4,94,62,5.94,25.56
BEDOUT ISLAND,03/10/2018,6.5, , ,30.4,24.1,85,59,8.03,26.05
BEDOUT ISLAND,04/10/2018,5.6, , ,29.8,24.4,90,71,7.78,25.70
BEDOUT ISLAND,05/10/2018,5.6, , ,30.2,23.9,92,68,5.01,26.44
BEDOUT ISLAND,06/10/2018,6.1, , ,30.5,24.3,92,61,6.67,26.48
BEDOUT ISLAND,07/10/2018,6.4, , ,30.5,24.3,85,62,7.74,26.58
BEDOUT ISLAND,08/10/2018,5.7, , ,30.6,24.1,93,69,7.43,26.65
BEDOUT ISLAND,09/10/2018,5.8, , ,30.2,24.4,87,72,7.43,26.48
BEDOUT ISLAND,10/10/2018,6.3, , ,30.6,25.3,84,68,8.66,26.82
BEDOUT ISLAND,11/10/2018,6.0, , ,31.7,24.8,100,54,5.25,25.01
BEDOUT ISLAND,12/10/2018,5.4, , ,29.7,24.0,100,70,6.75,27.23
BEDOUT ISLAND,13/10/2018,5.9, , ,29.2,24.5,87,71,9.32,27.25
BEDOUT ISLAND,14/10/2018,5.8, , ,28.3,23.9,93,66,11.22,27.13
BEDOUT ISLAND,15/10/2018,6.9, , ,30.9,23.3,90,49,6.80,27.38
BEDOUT ISLAND,16/10/2018,7.8, , ,31.5,24.3,86,38,6.79,27.53
BEDOUT ISLAND,17/10/2018,8.0, , ,33.1,23.3,90,34,6.25,27.68
BEDOUT ISLAND,18/10/2018,5.9, , ,28.6,23.2,92,66,10.70,27.23
BEDOUT ISLAND,19/10/2018,6.4, , ,30.1,23.4,91,56,6.07,27.75
BEDOUT ISLAND,20/10/2018,7.2, , ,31.4,24.1,88,42,5.46,27.84
BEDOUT ISLAND,21/10/2018,6.1, , ,30.5,24.2,88,68,7.09,28.03
BEDOUT ISLAND,22/10/2018,6.2, , ,31.0,24.6,90,69,7.38,28.09
BEDOUT ISLAND,23/10/2018,6.8, , ,31.7,25.2,86,64,7.72,28.16
BEDOUT ISLAND,24/10/2018,7.4, , ,29.7,25.2,77,58,9.68,28.19
BEDOUT ISLAND,25/10/2018,7.5, , ,27.8,23.4,83,48,11.22,28.28
BEDOUT ISLAND,26/10/2018,6.9, , ,29.5,22.9,80,58,7.87,28.34
BEDOUT ISLAND,27/10/2018,6.0, , ,29.4,23.7,91,67,8.00,28.32
BEDOUT ISLAND,28/10/2018,6.3, , ,30.4,24.2,92,62,6.64,28.51
BEDOUT ISLAND,29/10/2018,6.0, , ,30.0,23.7,93,67,7.09,28.60
BEDOUT ISLAND,30/10/2018,6.0, , ,30.3,24.0,92,71,7.80,28.63
BEDOUT ISLAND,31/10/2018,6.4, , ,30.4,24.8,88,66,7.29,28.47
Totals:,,196, , ,,,,,, 
