'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEDOUT ISLAND Western Australia for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEDOUT ISLAND,01/07/2022,6.7, , ,23.1,18.5,62,43,14.48,17.17
BEDOUT ISLAND,02/07/2022,6.0, , ,23.2,18.7,70,46,13.28,17.10
BEDOUT ISLAND,03/07/2022,6.9, , ,22.7,18.3,58,40,13.61,17.04
BEDOUT ISLAND,04/07/2022,7.4, , ,22.2,18.8,57,33,14.12,17.04
BEDOUT ISLAND,05/07/2022,5.7, , ,21.7,18.6,65,40,9.87,16.97
BEDOUT ISLAND,06/07/2022,5.8, , ,22.6,18.1,66,31,8.07,17.09
BEDOUT ISLAND,07/07/2022,5.2, , ,23.5,18.4,75,39,7.75,17.20
BEDOUT ISLAND,08/07/2022,5.0, , ,23.2,18.7,74,43,7.50,17.21
BEDOUT ISLAND,09/07/2022,5.1, , ,22.9,19.3,74,42,8.04,17.20
BEDOUT ISLAND,10/07/2022,3.9, , ,23.3,17.8,89,50,5.75,17.29
BEDOUT ISLAND,11/07/2022,4.2, , ,24.3,18.2,91,43,5.81,17.38
BEDOUT ISLAND,12/07/2022,5.1, , ,24.1,20.2,79,42,7.69,17.42
BEDOUT ISLAND,13/07/2022,6.0, , ,23.9,20.5,63,44,9.57,17.44
BEDOUT ISLAND,14/07/2022, , , , ,19.0,90,43,6.73,17.43
BEDOUT ISLAND,15/07/2022, , , ,24.1, ,89,43,5.00,17.56
BEDOUT ISLAND,16/07/2022, , , , ,17.6,85,52,4.99,17.70
BEDOUT ISLAND,17/07/2022, , , , , ,100,38,3.15,17.78
BEDOUT ISLAND,18/07/2022,3.7, , ,25.8,18.5,99,46,3.51,17.92
BEDOUT ISLAND,19/07/2022, , , , ,20.2,100,69,3.47,18.00
BEDOUT ISLAND,20/07/2022, , , ,25.3, ,100,48,4.57,18.02
BEDOUT ISLAND,21/07/2022, , , , ,19.2,95,49,3.78,18.06
BEDOUT ISLAND,22/07/2022, , , ,26.2, ,100,78,4.69,18.09
BEDOUT ISLAND,23/07/2022,3.2, , ,26.8,21.8,99,78,6.44,18.27
BEDOUT ISLAND,24/07/2022,3.7, , ,24.9,20.2,89,60,4.59,18.29
BEDOUT ISLAND,25/07/2022,4.2, , ,24.7,19.6,99,50,7.02,18.39
BEDOUT ISLAND,26/07/2022,4.8, , ,25.7,19.5,82,54,7.50,18.42
BEDOUT ISLAND,27/07/2022, , , , ,21.0,100,57,7.61,18.50
BEDOUT ISLAND,28/07/2022, , , , , ,100,52,5.90,18.66
BEDOUT ISLAND,29/07/2022, , , , , ,94,47,5.57,18.65
BEDOUT ISLAND,30/07/2022, , , , , ,100,44,3.96,18.82
BEDOUT ISLAND,31/07/2022, , , ,25.5, ,99,46,5.50,18.76
Totals:,,92.6, , ,,,,,, 
