'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BICKLEY Western Australia for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BICKLEY,01/08/2010,2.3,0.2, ,17.9,7.0,94,55,3.92,15.45
BICKLEY,02/08/2010,3.3,0.0, ,20.5,8.3,81,32,4.02,15.71
BICKLEY,03/08/2010,3.2,0.0, ,21.1,8.6,71,30,3.18,15.75
BICKLEY,04/08/2010,3.2,0.0, ,21.3,6.5,87,31,3.56,15.75
BICKLEY,05/08/2010,2.6,0.0, ,18.7,10.1,96,33,3.09,15.14
BICKLEY,06/08/2010,1.6,0.0, ,15.0,9.5,98,67,3.23,12.10
BICKLEY,07/08/2010,2.4,0.0, ,16.0,6.1,89,47,3.75,15.96
BICKLEY,08/08/2010,2.4,0.2, ,16.0,6.6,97,47,3.93,15.99
BICKLEY,09/08/2010,2.5,0.0, ,14.7,2.9,92,49,5.52,16.55
BICKLEY,10/08/2010,3.9,0.0, ,17.7,3.6,72,30,6.30,17.09
BICKLEY,11/08/2010,3.0,0.0, ,17.1,7.7,87,35,5.79,6.83
BICKLEY,12/08/2010,1.2,23.2, ,14.3,10.4,98,83,4.28,8.09
BICKLEY,13/08/2010,2.2,17.0, ,15.4,7.9,98,58,4.93,14.72
BICKLEY,14/08/2010,1.8,1.6, ,15.0,8.5,97,64,2.85,14.02
BICKLEY,15/08/2010,2.5,0.0, ,16.5,6.1,88,51,3.58,17.44
BICKLEY,16/08/2010,2.0,0.0, ,15.0,5.6,94,60,4.41,11.83
BICKLEY,17/08/2010,2.1,0.0, ,15.9,6.8,98,59,3.44,15.99
BICKLEY,18/08/2010,2.1,1.6, ,12.5,5.1,91,53,3.77,15.59
BICKLEY,19/08/2010,2.2,0.0, ,14.8,3.3,95,47,2.82,15.35
BICKLEY,20/08/2010,1.9,0.0, ,14.7,6.9,94,61,2.98,12.40
BICKLEY,21/08/2010,1.8,0.4, ,14.8,7.3,98,63,2.45,13.14
BICKLEY,22/08/2010,2.3,10.2, ,13.6,8.0,98,48,3.16,18.07
BICKLEY,23/08/2010,2.3,0.0, ,14.6,4.0,88,53,3.20,15.93
BICKLEY,24/08/2010,2.3,0.0, ,14.3,6.9,97,51,3.79,15.87
BICKLEY,25/08/2010,2.7,0.0, ,14.9,4.1,88,46,4.06,19.09
BICKLEY,26/08/2010, ,0.0, , ,5.0,85,45,3.84,19.18
BICKLEY,27/08/2010,3.4, , ,18.4,4.6,93,37,4.55,19.34
BICKLEY,28/08/2010,4.0,0.0, ,21.8,6.6,88,28,4.22,18.03
BICKLEY,29/08/2010,2.7,0.0, ,19.1,8.9,95,56,3.27,17.73
BICKLEY,30/08/2010, ,0.0, ,16.8,11.4,98,56,3.00, 
BICKLEY,31/08/2010, ,4.2, ,13.5,9.3,98,83,3.32, 
Totals:,,69.9,58.6, ,,,,,, 
