'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BICKLEY Western Australia for June 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BICKLEY,01/06/2016, , , ,17.8, ,59,30,4.63,12.20
BICKLEY,02/06/2016,3.7,0.0, ,18.3,6.4,63,30,5.90,12.15
BICKLEY,03/06/2016,4.0,0.0, ,21.0,9.1,52,25,4.96,11.36
BICKLEY,04/06/2016,2.6,10.2, ,14.3,10.9,57,36,3.89,8.88
BICKLEY,05/06/2016,2.3,0.4, ,15.2,6.4,63,39,3.49,9.00
BICKLEY,06/06/2016,2.2,0.2, ,14.2,5.7,66,38,3.67,6.87
BICKLEY,07/06/2016,2.3,16.4, ,11.7,7.5,65,45,4.83,8.55
BICKLEY,08/06/2016,2.0,0.0, ,12.1,4.9,70,44,3.91,10.49
BICKLEY,09/06/2016,1.8,0.0, ,12.9,5.9,65,43,2.88,8.19
BICKLEY,10/06/2016,2.4,2.6, ,14.9,8.5,51,37,3.29,7.18
BICKLEY,11/06/2016,3.1,1.4, ,16.5,7.5,59,34,5.00,10.65
BICKLEY,12/06/2016,3.5,0.0, ,19.0,9.2,52,28,4.64,9.23
BICKLEY,13/06/2016,2.4,24.0, ,15.7,8.9,53,36,3.14,11.01
BICKLEY,14/06/2016,2.8,0.0, ,16.5,9.6,49,34,3.65,7.92
BICKLEY,15/06/2016,2.4,0.4, ,16.1,8.8,57,35,3.16,10.75
BICKLEY,16/06/2016, ,0.0, , ,7.9,92,43,2.54,9.49
BICKLEY,17/06/2016, , , ,12.9, ,97,70,4.81,10.80
BICKLEY,18/06/2016,1.7,0.4, ,16.0,4.9,98,61,4.57,11.67
BICKLEY,19/06/2016,1.4,0.0, ,17.0,7.1,99,73,4.75,8.10
BICKLEY,20/06/2016,0.8,13.0, ,14.2,11.8,99,91,3.51,5.87
BICKLEY,21/06/2016,1.3,3.8, ,13.9,6.1,97,58,2.70,10.82
BICKLEY,22/06/2016,1.5,1.4, ,15.4,7.8,95,58,3.32,9.14
BICKLEY,23/06/2016,1.2,3.4, ,13.4,7.4,97,62,2.56,8.23
BICKLEY,24/06/2016,1.5,0.0, ,13.8,6.7,87,60,3.37,9.28
BICKLEY,25/06/2016,1.4,7.2, ,13.8,8.3,97,63,3.70,9.28
BICKLEY,26/06/2016,1.6,3.6, ,14.8,5.0,87,53,3.02,11.62
BICKLEY,27/06/2016,2.1,0.0, ,14.5,6.4,79,44,3.81,11.82
BICKLEY,28/06/2016,1.1,0.0, ,15.1,7.6,99,76,4.44,6.32
BICKLEY,29/06/2016,1.5,25.0, ,15.9,10.1,99,66,3.68,11.58
BICKLEY,30/06/2016,1.6,0.4, ,15.5,6.0,93,51,2.77,11.88
Totals:,,56.2,113.8, ,,,,,, 
