'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BICKLEY Western Australia for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BICKLEY,01/06/2021,1.6,0.2, ,17.2,8.1,100,58,2.74,11.81
BICKLEY,02/06/2021,1.4,0.2, ,16.6,8.2,96,63,2.36,10.37
BICKLEY,03/06/2021,1.7,0.0, ,18.2,8.9,86,56,2.40,11.96
BICKLEY,04/06/2021,1.8,0.0, ,17.4,8.0,96,53,2.91,12.07
BICKLEY,05/06/2021,2.1,0.2, ,18.5,9.2,90,40,2.76,12.04
BICKLEY,06/06/2021,1.6,0.0, ,17.5,11.0,99,63,3.60,10.22
BICKLEY,07/06/2021,1.8,1.8, ,15.1,6.9,94,55,4.09,11.65
BICKLEY,08/06/2021,2.1,0.0, ,13.6,6.5,86,61,8.85,10.49
BICKLEY,09/06/2021,1.9,0.0, ,16.0,8.5,99,59,7.94,4.14
BICKLEY,10/06/2021,0.9,19.2, ,16.5,8.3,100,87,5.07,5.78
BICKLEY,11/06/2021,1.1,15.4, ,17.0,11.0,100,73,2.15,8.06
BICKLEY,12/06/2021,1.5,0.0, ,17.9,10.0,99,56,2.39,10.77
BICKLEY,13/06/2021,1.3,0.2, ,17.2,9.8,99,67,2.30,10.32
BICKLEY,14/06/2021,1.6,3.4, ,14.5,10.8,99,63,6.21,9.30
BICKLEY,15/06/2021,1.2,4.4, ,14.8,7.0,100,70,3.00,9.90
BICKLEY,16/06/2021,1.4,2.0, ,16.2,8.6,99,60,2.81,10.39
BICKLEY,17/06/2021,1.2,0.2, ,14.1,8.2,100,73,4.38,9.99
BICKLEY,18/06/2021,1.7,0.4, ,15.6,4.3,99,51,3.70,11.77
BICKLEY,19/06/2021,1.9,0.0, ,15.9,6.4,86,51,3.67,10.15
BICKLEY,20/06/2021,0.8,1.2, ,12.1,7.8,100,83,4.15,6.06
BICKLEY,21/06/2021,1.3,32.0, ,11.1,5.8,99,63,4.73,8.76
BICKLEY,22/06/2021,1.3,5.8, ,12.6,3.6,99,64,3.87,11.16
BICKLEY,23/06/2021,1.4,0.2, ,14.6,5.7,99,60,3.49,11.25
BICKLEY,24/06/2021,1.4,0.2, ,14.3,5.7,99,57,2.84,11.69
BICKLEY,25/06/2021,1.7,0.0, ,15.7,4.6,98,54,3.46,11.81
BICKLEY,26/06/2021,2.3,0.0, ,16.7,3.6,97,42,4.67,11.83
BICKLEY,27/06/2021,1.9,0.0, ,13.0,6.0,100,47,6.02,7.30
BICKLEY,28/06/2021,1.4,15.8, ,16.1,10.2,100,71,5.08,9.29
BICKLEY,29/06/2021,1.7,23.4, ,13.9,9.9,100,51,4.67,9.95
BICKLEY,30/06/2021,1.1,0.2, ,13.8,7.3,99,67,2.30,7.45
Totals:,,46.1,126.4, ,,,,,, 
