'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRIDGETOWN Western Australia for October 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRIDGETOWN,01/10/2015,4.5,0.0, ,25.4,8.8,100,29,2.52,23.17
BRIDGETOWN,02/10/2015,3.4,0.0, ,23.3,10.2,98,58,3.26,18.92
BRIDGETOWN,03/10/2015,3.4,1.6, ,21.0,10.7,100,61,3.01,21.81
BRIDGETOWN,04/10/2015,2.9,0.2, ,20.2,13.4,100,64,3.87,16.59
BRIDGETOWN,05/10/2015,2.4,2.2, ,15.6,11.5,100,48,2.42,13.12
BRIDGETOWN,06/10/2015,3.0,1.0, ,17.5,2.1,100,32,1.01,22.21
BRIDGETOWN,07/10/2015,3.8,0.0, ,22.8,4.8,99,35,1.69,24.01
BRIDGETOWN,08/10/2015,3.7,0.0, ,25.2,2.4,100,43,1.06,24.74
BRIDGETOWN,09/10/2015,3.7,0.0, ,30.6,5.3,100,30,0.40,23.97
BRIDGETOWN,10/10/2015,4.1,0.0, ,26.3,9.6,100,25,1.44,22.11
BRIDGETOWN,11/10/2015,4.5,0.0, ,27.2,11.5,100,39,1.88,24.51
BRIDGETOWN,12/10/2015,4.7,0.0, ,30.3,11.3,100,29,1.37,24.89
BRIDGETOWN,13/10/2015,5.0,0.0, ,25.7,13.8,100,19,2.41,24.48
BRIDGETOWN,14/10/2015,4.2,3.2, ,19.9,12.2,49,27,2.12,21.33
BRIDGETOWN,15/10/2015,3.2,0.8, ,18.6,4.1,74,31,1.33,19.79
BRIDGETOWN,16/10/2015,3.5,0.0, ,21.1,0.6,94,26,0.99,23.86
BRIDGETOWN,17/10/2015,4.5,0.0, ,27.6,3.1,77,17,1.16,26.72
BRIDGETOWN,18/10/2015,2.9,0.0, ,20.0,9.6,54,28,1.50,11.58
BRIDGETOWN,19/10/2015,3.8,11.0, ,20.4,6.8,61,26,1.00,25.21
BRIDGETOWN,20/10/2015,4.4,0.0, ,24.8,4.5,72,20,1.24,26.45
BRIDGETOWN,21/10/2015, ,0.0, , ,8.8,81,16,1.07,27.01
BRIDGETOWN,22/10/2015, , , ,30.0, ,96,31,1.76,25.19
BRIDGETOWN,23/10/2015,2.9,0.0, ,20.3,15.1,89,67,2.30,15.03
BRIDGETOWN,24/10/2015,2.2,0.0, ,19.5,13.4,94,67,2.27,10.16
BRIDGETOWN,25/10/2015,3.6,0.0, ,22.3,12.5,88,49,3.17,15.66
BRIDGETOWN,26/10/2015,3.8,0.0, ,23.7,12.0,93,48,2.74,18.36
BRIDGETOWN,27/10/2015,4.6,0.0, ,26.2,12.1,90,42,2.36,23.04
BRIDGETOWN,28/10/2015,5.0,0.0, ,27.0,15.6,83,41,2.11,24.82
BRIDGETOWN,29/10/2015,4.9,0.0, ,29.6,12.5,96,36,1.46,24.87
BRIDGETOWN,30/10/2015,3.2,0.0, ,24.8,12.4,98,53,2.02,14.47
BRIDGETOWN,31/10/2015,3.5,13.6, ,22.5,14.1,98,52,1.46,19.33
Totals:,,109.3,33.6, ,,,,,, 
