'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BROOME NTC Western Australia for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BROOME NTC,01/09/2015, , , , ,23.5, , , ,23.52
BROOME NTC,02/09/2015, , , , , , , , ,23.21
BROOME NTC,03/09/2015, , , ,25.0, ,25,20,4.32,23.42
BROOME NTC,04/09/2015,7.3, , ,25.4,19.4,27,19,5.07,22.53
BROOME NTC,05/09/2015,7.7, , ,24.7,20.0,24,20,5.70,23.27
BROOME NTC,06/09/2015, , , , ,21.8,23,20,4.90,23.35
BROOME NTC,07/09/2015, , , , , ,100,16,3.73,22.78
BROOME NTC,08/09/2015, , , ,31.9, ,21,13,4.31,24.21
BROOME NTC,09/09/2015,8.4, , ,30.2,21.5,23,14,5.13,21.78
BROOME NTC,10/09/2015,7.7, , ,30.8,23.3,21,15,3.80,25.02
BROOME NTC,11/09/2015,9.2, , ,33.5,18.2,28,12,5.28,25.50
BROOME NTC,12/09/2015,7.7, , ,26.7,18.1,29,18,5.09,25.33
BROOME NTC,13/09/2015,6.6, , ,25.6,19.5,27,19,3.75,24.35
BROOME NTC,14/09/2015,6.9, , ,30.3,21.1,24,14,3.15,24.96
BROOME NTC,15/09/2015, , , , ,23.0, , , ,25.17
BROOME NTC,16/09/2015, , , ,35.0, ,21,11,6.39,25.42
BROOME NTC,17/09/2015,10.3, , ,35.1,24.0,20,12,5.81,23.78
BROOME NTC,18/09/2015,9.3, , ,30.7,25.6,19,14,5.27,24.94
BROOME NTC,19/09/2015,8.6, , ,34.3,22.6,22,12,4.06,25.48
BROOME NTC,20/09/2015,8.6, , ,34.4,24.6,20,12,3.99,25.52
BROOME NTC,21/09/2015,10.9, , ,34.9,24.7,19,12,6.37,23.40
BROOME NTC,22/09/2015,10.6, , ,35.2,24.3,20,11,5.92,24.56
BROOME NTC,23/09/2015,7.3, , ,34.4,24.9,19,11,2.76,26.09
BROOME NTC,24/09/2015,10.1, , ,34.2,23.2,21,12,5.46,26.38
BROOME NTC,25/09/2015,9.3, , ,33.6,22.2,22,12,4.78,26.38
BROOME NTC,26/09/2015,9.4, , ,34.0,22.1,23,12,4.83,27.17
BROOME NTC,27/09/2015,9.1, , ,33.2,21.6,23,12,4.70,26.95
BROOME NTC,28/09/2015,8.3, , ,30.6,20.8,25,14,4.39,26.59
BROOME NTC,29/09/2015,7.7, , ,30.2,21.1,24,14,3.68,26.26
BROOME NTC,30/09/2015,9.2, , ,35.6,22.3,22,11,4.25,27.45
Totals:,,190.2, , ,,,,,, 
