'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BROOME NTC Western Australia for August 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 September 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BROOME NTC,01/08/2016,8.2, , ,29.8,19.4,26,15,5.92,19.76
BROOME NTC,02/08/2016,9.5, , ,27.8,17.1,31,17,9.64,19.75
BROOME NTC,03/08/2016,8.4, , ,31.3,17.8,30,14,5.93,19.91
BROOME NTC,04/08/2016,4.9, , ,30.2,18.5,29,15,2.22,20.02
BROOME NTC,05/08/2016,7.0, , ,28.7,17.7,30,17,4.80,20.11
BROOME NTC,06/08/2016,6.4, , ,26.7,18.3,29,18,4.27,20.21
BROOME NTC,07/08/2016,5.1, , ,25.5,20.2,25,19,2.72,19.32
BROOME NTC,08/08/2016,5.4, , ,25.7,20.3,26,19,3.24,16.59
BROOME NTC,09/08/2016,6.5, , ,29.8,21.2,24,15,3.60,20.47
BROOME NTC,10/08/2016,7.5, , ,30.8,21.6,23,14,4.52,20.54
BROOME NTC,11/08/2016,8.0, , ,32.0,22.1,23,13,4.77,20.55
BROOME NTC,12/08/2016,7.8, , ,31.9,21.6,23,13,4.56,20.64
BROOME NTC,13/08/2016,8.2, , ,32.2,21.3,24,13,4.99,20.71
BROOME NTC,14/08/2016,7.5, , ,32.3,21.8,23,13,4.15,20.84
BROOME NTC,15/08/2016,5.8, , ,26.7,20.7,24,18,3.14,20.98
BROOME NTC,16/08/2016,6.9, , ,28.5,22.1,22,16,4.07,21.14
BROOME NTC,17/08/2016,6.3, , ,26.6,20.8,24,18,3.65,21.27
BROOME NTC,18/08/2016,6.4, , ,27.5,21.7,22,17,3.61,21.41
BROOME NTC,19/08/2016, , , , ,22.6, , , ,21.49
BROOME NTC,20/08/2016, , , , , , , , ,21.63
BROOME NTC,21/08/2016, , , ,29.6, ,24,15,4.90,21.67
BROOME NTC,22/08/2016,6.6, , ,24.8,21.7,23,20,4.16,21.71
BROOME NTC,23/08/2016,8.1, , ,23.9,18.4,29,20,7.59,21.82
BROOME NTC,24/08/2016,8.2, , ,26.9,16.9,31,17,6.83,21.92
BROOME NTC,25/08/2016,9.0, , ,27.9,18.0,29,17,7.62,21.94
BROOME NTC,26/08/2016,9.5, , ,30.4,19.3,27,14,7.02,22.04
BROOME NTC,27/08/2016,6.4, , ,26.2,21.2,24,18,3.69,21.62
BROOME NTC,28/08/2016,6.1, , ,26.7,22.6,22,18,3.10,21.74
BROOME NTC,29/08/2016,4.9, , ,22.5,22.1,24,20,3.37,6.11
BROOME NTC,30/08/2016,4.6, , ,23.3,19.4,27,22,2.69,13.40
BROOME NTC,31/08/2016,5.9, , ,25.2,20.4,23,19,3.08,22.30
Totals:,,195.1, , ,,,,,, 
