'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON Western Australia for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON,01/05/2010,1.6,0.4, ,21.9,12.7,99,37,0.00,15.58
BUSSELTON,02/05/2010,1.6,0.0, ,20.6,7.4,98,45,0.00,16.75
BUSSELTON,03/05/2010,1.7,0.0, ,20.7,11.8,98,45,0.00,16.72
BUSSELTON,04/05/2010,1.5,0.0, ,21.2,8.7,84,42,0.00,16.72
BUSSELTON,05/05/2010,1.6,0.0, ,21.6,5.6,98,47,0.00,16.80
BUSSELTON,06/05/2010,1.6,0.0, ,23.5,9.0,98,53,0.00,16.25
BUSSELTON,07/05/2010,1.7,0.0, ,23.2,11.2,99,61,0.00,16.02
BUSSELTON,08/05/2010,1.7,0.2, ,23.5,13.5,99,60,0.00,15.46
BUSSELTON,09/05/2010,1.4,0.0, ,19.8,12.3,100,50,0.00,14.50
BUSSELTON,10/05/2010,1.2,1.0, ,18.1,11.2,98,50,0.00,13.09
BUSSELTON,11/05/2010,1.3,0.0, ,19.3,3.8,98,46,0.00,15.79
BUSSELTON,12/05/2010,1.1,0.0, ,21.8,6.0,99,55,0.00,11.61
BUSSELTON,13/05/2010,1.2,12.8, ,16.9,11.3,99,58,0.00,12.86
BUSSELTON,14/05/2010,1.0,0.6, ,18.1,7.6,98,46,0.00,12.57
BUSSELTON,15/05/2010,1.2,0.0, ,18.0,8.2,99,62,0.00,13.41
BUSSELTON,16/05/2010,1.1,0.6, ,18.8,10.2,100,77,0.00,11.16
BUSSELTON,17/05/2010,1.2,11.8, ,19.5,11.3,100,61,0.00,12.77
BUSSELTON,18/05/2010,1.2,0.0, ,21.1,10.3,98,39,0.00,14.87
BUSSELTON,19/05/2010,1.3,0.0, ,22.7,7.0,99,52,0.00,14.67
BUSSELTON,20/05/2010,1.3,0.0, ,22.8,7.9,99,48,0.00,14.84
BUSSELTON,21/05/2010,1.1,0.0, ,23.9,12.1,98,43,0.00,12.44
BUSSELTON,22/05/2010,1.1,10.2, ,20.3,12.9,99,77,0.00,9.46
BUSSELTON,23/05/2010,0.9,15.4, ,17.3,12.3,85,50,0.00,10.20
BUSSELTON,24/05/2010,0.9,0.0, ,17.8,9.5,90,61,0.00,10.10
BUSSELTON,25/05/2010,0.9,0.2, ,18.0,12.5,98,77,0.00,7.88
BUSSELTON,26/05/2010,1.1,8.4, ,19.5,13.8,98,65,0.00,11.69
BUSSELTON,27/05/2010,1.0,20.2, ,18.4,9.3,99,73,0.00,11.96
BUSSELTON,28/05/2010,1.0,1.2, ,19.7,9.3,100,59,0.00,12.66
BUSSELTON,29/05/2010,1.0,0.0, ,18.6,8.2,99,75,0.00,11.42
BUSSELTON,30/05/2010,0.9,1.0, ,19.5,7.5,99,66,0.00,11.01
BUSSELTON,31/05/2010,1.0,1.6, ,19.9,9.6,100,67,0.00,12.85
Totals:,,38.4,85.6, ,,,,,, 
