'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON Western Australia for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON,01/04/2011,3.0,0.0, ,27.9,16.5,78,33,0.00,22.22
BUSSELTON,02/04/2011,3.0,0.0, ,26.5,16.1,76,38,0.00,22.33
BUSSELTON,03/04/2011,2.9,0.0, ,25.9,13.6,79,39,0.00,22.30
BUSSELTON,04/04/2011,2.7,0.0, ,27.4,12.0,70,43,0.00,21.10
BUSSELTON,05/04/2011,2.8,0.0, ,27.6,11.8,98,34,0.00,21.43
BUSSELTON,06/04/2011,2.8,0.0, ,28.1,14.6,99,46,0.00,19.91
BUSSELTON,07/04/2011,2.3,8.4, ,20.3,13.1,98,52,0.00,18.13
BUSSELTON,08/04/2011,2.1,2.6, ,22.2,7.4,98,37,0.00,17.98
BUSSELTON,09/04/2011,2.3,0.0, ,24.3,9.1,88,34,0.00,20.41
BUSSELTON,10/04/2011,2.5,0.0, ,25.4,14.5,98,42,0.00,19.35
BUSSELTON,11/04/2011,2.0,14.8, ,23.3,14.3,99,55,0.00,14.16
BUSSELTON,12/04/2011,2.0,1.2, ,24.4,13.5,97,44,0.00,15.17
BUSSELTON,13/04/2011,1.8,0.0, ,25.6,10.7,98,46,0.00,12.81
BUSSELTON,14/04/2011,2.5,0.2, ,23.9,11.6,98,56,0.00,19.68
BUSSELTON,15/04/2011,2.5,0.0, ,25.6,10.2,98,48,0.00,19.89
BUSSELTON,16/04/2011,2.3,0.0, ,27.0,12.6,98,52,0.00,17.49
BUSSELTON,17/04/2011,1.8,0.0, ,25.0,18.2,98,51,0.00,11.42
BUSSELTON,18/04/2011,2.1,0.2, ,23.7,12.3,89,41,0.00,18.29
BUSSELTON,19/04/2011,2.0,0.0, ,24.0,7.9,97,38,0.00,18.51
BUSSELTON,20/04/2011,1.9,0.0, ,22.7,10.7,90,51,0.00,16.37
BUSSELTON,21/04/2011,2.0,0.0, ,25.8,11.6,98,44,0.00,16.72
BUSSELTON,22/04/2011,1.8,0.0, ,27.4,12.9,84,45,0.00,14.64
BUSSELTON,23/04/2011,2.1,0.0, ,25.7,12.5,98,76,0.00,15.45
BUSSELTON,24/04/2011,2.0,19.4, ,24.1,18.7,98,61,0.00,14.62
BUSSELTON,25/04/2011,1.6,0.8, ,23.2,14.9,99,64,0.00,12.00
BUSSELTON,26/04/2011,1.7,0.6, ,23.3,12.9,99,67,0.00,13.55
BUSSELTON,27/04/2011,1.5,6.0, ,20.5,14.8,98,57,0.00,11.49
BUSSELTON,28/04/2011,1.5,3.8, ,20.2,6.8,98,56,0.00,15.44
BUSSELTON,29/04/2011,1.7,0.2, ,21.2,10.1,98,55,0.00,16.42
BUSSELTON,30/04/2011,1.7,0.0, ,23.2,9.9,98,41,0.00,16.67
Totals:,,64.9,58.2, ,,,,,, 
