'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON AERO Western Australia for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON AERO,01/11/2011,7.5,0.0, ,29.7,12.5,80,25,5.03,28.80
BUSSELTON AERO,02/11/2011,7.3,0.0, ,31.8,15.5,76,27,4.29,26.82
BUSSELTON AERO,03/11/2011,3.7,0.0, ,27.3,19.6,89,57,3.29,13.60
BUSSELTON AERO,04/11/2011,4.4,13.2, ,22.9,15.6,91,54,3.93,22.72
BUSSELTON AERO,05/11/2011,4.2,15.8, ,22.3,11.7,92,52,2.70,23.96
BUSSELTON AERO,06/11/2011,5.1,0.2, ,22.7,11.5,89,45,4.24,27.90
BUSSELTON AERO,07/11/2011,4.4,2.0, ,21.2,11.1,88,56,7.57,22.23
BUSSELTON AERO,08/11/2011,4.8,9.2, ,18.8,11.9,83,49,6.83,26.41
BUSSELTON AERO,09/11/2011,4.6,4.6, ,21.7,6.1,91,39,3.44,25.75
BUSSELTON AERO,10/11/2011,3.9,0.0, ,21.3,10.2,89,58,3.06,22.72
BUSSELTON AERO,11/11/2011,4.8,2.2, ,22.9,10.8,92,44,3.11,26.66
BUSSELTON AERO,12/11/2011,4.7,0.0, ,22.7,6.8,91,47,3.58,26.70
BUSSELTON AERO,13/11/2011,4.4,0.0, ,21.5,15.9,81,52,4.47,19.78
BUSSELTON AERO,14/11/2011,5.5,0.6, ,23.4,15.6,88,42,4.62,27.22
BUSSELTON AERO,15/11/2011,5.6,0.6, ,22.6,6.2,91,32,3.39,32.18
BUSSELTON AERO,16/11/2011,5.3,0.0, ,22.3,9.9,81,48,4.87,29.29
BUSSELTON AERO,17/11/2011,4.1,0.0, ,21.6,17.8,88,66,5.17,20.92
BUSSELTON AERO,18/11/2011,5.5,2.2, ,22.5,6.7,93,31,3.51,30.78
BUSSELTON AERO,19/11/2011,6.1,0.0, ,24.0,6.5,90,30,4.40,32.11
BUSSELTON AERO,20/11/2011,6.5,0.0, ,26.2,8.3,84,33,4.56,31.75
BUSSELTON AERO,21/11/2011, ,0.0, , ,9.2, , , ,32.10
BUSSELTON AERO,22/11/2011, ,0.0, ,30.3, ,91,28,3.86,32.83
BUSSELTON AERO,23/11/2011,8.9,0.0, ,31.7,17.2,70,20,4.88,32.97
BUSSELTON AERO,24/11/2011,8.7,0.0, ,32.6,13.6,94,22,5.80,30.69
BUSSELTON AERO,25/11/2011,5.3,0.0, ,26.7,14.1,99,43,3.22,25.98
BUSSELTON AERO,26/11/2011,5.9,0.0, ,23.7,10.5,88,32,4.87,27.92
BUSSELTON AERO,27/11/2011,5.9,0.0, ,23.0,9.9,81,32,4.35,30.03
BUSSELTON AERO,28/11/2011,4.9,0.0, ,21.5,7.6,91,39,4.52,25.62
BUSSELTON AERO,29/11/2011,6.0,0.4, ,22.1,7.6,78,32,5.18,30.47
BUSSELTON AERO,30/11/2011,7.4,0.0, ,26.2,6.9,76,23,4.93,33.87
Totals:,,155.4,51, ,,,,,, 
