'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON AERO Western Australia for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON AERO,01/08/2014,2.1,0.0, ,15.6,2.2,90,47,3.44,13.13
BUSSELTON AERO,02/08/2014,2.2,0.4, ,17.7,6.1,91,46,3.35,12.83
BUSSELTON AERO,03/08/2014,1.7,0.2, ,17.5,2.4,96,49,1.87,13.38
BUSSELTON AERO,04/08/2014,2.1,0.0, ,19.1,2.9,97,45,2.42,13.61
BUSSELTON AERO,05/08/2014,2.1,0.0, ,18.8,2.7,95,48,2.56,13.76
BUSSELTON AERO,06/08/2014,2.3,0.0, ,19.4,2.0,97,48,3.36,13.18
BUSSELTON AERO,07/08/2014,1.8,8.0, ,20.5,11.4,99,67,3.41,8.89
BUSSELTON AERO,08/08/2014,1.8,0.2, ,18.4,6.8,99,53,1.88,12.72
BUSSELTON AERO,09/08/2014,2.2,0.0, ,19.8,5.5,99,47,2.72,13.78
BUSSELTON AERO,10/08/2014,2.6,0.2, ,21.9,8.8,91,56,4.09,13.53
BUSSELTON AERO,11/08/2014,2.9,0.0, ,21.4,9.2,83,54,4.70,13.74
BUSSELTON AERO,12/08/2014,4.0,0.0, ,19.6,11.3,57,45,6.70,12.20
BUSSELTON AERO,13/08/2014,2.9,0.0, ,20.0,10.6,71,44,3.85,10.55
BUSSELTON AERO,14/08/2014,2.2,0.0, ,18.0,10.9,87,47,3.90,4.89
BUSSELTON AERO,15/08/2014,2.2,0.8, ,18.9,6.0,93,54,2.98,13.08
BUSSELTON AERO,16/08/2014,1.9,0.0, ,18.0,5.8,99,63,2.54,14.29
BUSSELTON AERO,17/08/2014,2.0,0.2, ,19.0,12.0,99,61,5.48,6.50
BUSSELTON AERO,18/08/2014,2.0,15.2, ,18.1,11.7,96,66,5.04,10.37
BUSSELTON AERO,19/08/2014,2.0,3.4, ,20.1,6.2,99,59,2.25,12.09
BUSSELTON AERO,20/08/2014,2.2,0.2, ,19.0,8.1,99,63,4.06,13.76
BUSSELTON AERO,21/08/2014,2.8,19.2, ,19.1,13.5,99,48,6.18,10.78
BUSSELTON AERO,22/08/2014,2.4,3.6, ,18.3,7.0,92,44,2.65,14.37
BUSSELTON AERO,23/08/2014,2.2,0.2, ,18.6,5.7,94,55,3.73,10.59
BUSSELTON AERO,24/08/2014,2.4,0.0, ,20.3,7.2,92,66,4.47,14.65
BUSSELTON AERO,25/08/2014,1.8,0.0, ,19.1,14.5,98,71,6.74,5.41
BUSSELTON AERO,26/08/2014,2.9,13.6, ,18.3,11.9,94,41,3.84,15.88
BUSSELTON AERO,27/08/2014,2.1,0.2, ,18.7,7.4,92,64,3.63,10.65
BUSSELTON AERO,28/08/2014,1.7,0.0, ,19.9,11.3,94,76,6.71,4.93
BUSSELTON AERO,29/08/2014,1.2,45.2, ,17.1,14.4,97,83,4.02,5.36
BUSSELTON AERO,30/08/2014,1.7,12.8, ,15.9,11.3,98,59,2.71,7.88
BUSSELTON AERO,31/08/2014,2.4,0.8, ,17.4,6.3,99,47,2.46,16.64
Totals:,,68.8,124.4, ,,,,,, 
