'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON AERO Western Australia for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON AERO,01/07/2017,1.2,18.8, ,12.7,5.5,99,64,3.70,6.28
BUSSELTON AERO,02/07/2017,1.3,2.2, ,14.1,1.3,98,56,2.76,11.17
BUSSELTON AERO,03/07/2017,1.3,1.6, ,14.2,3.4,100,57,2.83,7.95
BUSSELTON AERO,04/07/2017,1.0,3.2, ,15.9,2.5,99,66,1.55,8.77
BUSSELTON AERO,05/07/2017,1.8,4.2, ,13.3,5.3,99,51,5.89,9.87
BUSSELTON AERO,06/07/2017,1.2,0.8, ,14.7,4.4,100,62,2.37,8.72
BUSSELTON AERO,07/07/2017,1.4,20.6, ,16.5,6.6,99,67,3.40,10.74
BUSSELTON AERO,08/07/2017,1.1,0.2, ,15.6,1.8,100,62,1.65,10.21
BUSSELTON AERO,09/07/2017,1.1,0.0, ,15.2,1.1,99,66,2.20,10.89
BUSSELTON AERO,10/07/2017,1.7,4.2, ,14.7,6.1,98,57,5.75,5.42
BUSSELTON AERO,11/07/2017,2.0,2.4, ,18.4,10.9,100,57,5.73,8.05
BUSSELTON AERO,12/07/2017,2.0,1.8, ,17.7,12.0,93,57,4.84,9.43
BUSSELTON AERO,13/07/2017,1.2,1.0, ,16.3,7.9,98,65,2.14,7.91
BUSSELTON AERO,14/07/2017,1.2,0.2, ,17.3,3.2,100,70,2.47,8.38
BUSSELTON AERO,15/07/2017,1.5,0.0, ,17.2,9.0,100,65,4.90,2.92
BUSSELTON AERO,16/07/2017,1.8,7.0, ,16.9,11.9,90,52,3.10,9.19
BUSSELTON AERO,17/07/2017,1.5,0.0, ,16.6,8.2,94,56,2.24,12.00
BUSSELTON AERO,18/07/2017,2.5,0.0, ,19.9,8.0,100,55,6.97,7.49
BUSSELTON AERO,19/07/2017,2.7,11.8, ,17.9,12.2,95,51,8.35,10.15
BUSSELTON AERO,20/07/2017,2.4,17.8, ,18.5,8.6,86,54,5.16,11.06
BUSSELTON AERO,21/07/2017,2.0,1.4, ,18.4,12.8,92,61,5.14,8.68
BUSSELTON AERO,22/07/2017,1.7,4.4, ,16.8,9.6,98,56,3.09,10.07
BUSSELTON AERO,23/07/2017,1.8,3.8, ,17.1,7.6,100,55,3.59,10.96
BUSSELTON AERO,24/07/2017,1.3,0.0, ,16.3,2.8,99,61,1.99,9.69
BUSSELTON AERO,25/07/2017,2.1,0.4, ,18.9,6.1,100,60,5.32,11.38
BUSSELTON AERO,26/07/2017,2.1,14.6, ,18.1,10.0,98,57,4.93,10.38
BUSSELTON AERO,27/07/2017,2.0,1.8, ,19.1,5.0,96,70,8.48,8.64
BUSSELTON AERO,28/07/2017,2.8,9.8, ,16.1,12.7,87,49,7.40,11.72
BUSSELTON AERO,29/07/2017,2.0,5.2, ,14.6,6.3,93,54,4.83,11.38
BUSSELTON AERO,30/07/2017,1.7,6.2, ,15.9,3.8,97,57,3.55,10.51
BUSSELTON AERO,31/07/2017,1.7,18.8, ,13.5,7.8,99,60,7.55,4.85
Totals:,,53.1,164.2, ,,,,,, 
