'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BUSSELTON AERO Western Australia for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BUSSELTON AERO,01/11/2017,5.7,0.0, ,25.3,10.7,90,43,5.42,27.82
BUSSELTON AERO,02/11/2017, ,0.0, , ,12.8,74,52,6.32,16.62
BUSSELTON AERO,03/11/2017, , , ,24.5, ,80,43,4.90,27.50
BUSSELTON AERO,04/11/2017,6.3,0.0, ,27.2,11.0,84,32,4.74,26.28
BUSSELTON AERO,05/11/2017,6.7,0.0, ,27.4,12.4,78,32,5.10,27.79
BUSSELTON AERO,06/11/2017,7.4,0.0, ,30.0,12.2,75,26,4.80,28.31
BUSSELTON AERO,07/11/2017,8.0,0.0, ,32.0,13.6,73,25,4.95,28.39
BUSSELTON AERO,08/11/2017,7.9,0.0, ,30.2,16.7,57,31,5.53,26.66
BUSSELTON AERO,09/11/2017,7.3,0.0, ,29.1,20.7,76,30,4.76,27.98
BUSSELTON AERO,10/11/2017,7.5,0.0, ,33.2,14.8,95,22,3.72,28.48
BUSSELTON AERO,11/11/2017,7.5,0.0, ,32.7,15.7,87,30,4.31,28.34
BUSSELTON AERO,12/11/2017,6.0,0.0, ,26.1,17.5,91,53,7.57,28.25
BUSSELTON AERO,13/11/2017,4.0,0.0, ,22.0,15.1,84,57,7.17,13.72
BUSSELTON AERO,14/11/2017,7.0,0.0, ,26.7,9.1,72,30,5.64,28.57
BUSSELTON AERO,15/11/2017,7.1,0.0, ,28.1,8.0,78,23,5.16,26.27
BUSSELTON AERO,16/11/2017,6.4,0.0, ,31.5,15.2,98,34,5.75,18.14
BUSSELTON AERO,17/11/2017,3.6,0.4, ,23.0,18.6,100,60,4.28,17.03
BUSSELTON AERO,18/11/2017,4.2,5.8, ,24.4,13.3,97,53,3.39,20.62
BUSSELTON AERO,19/11/2017,4.6,0.0, ,22.2,13.6,95,43,3.52,23.75
BUSSELTON AERO,20/11/2017,4.1,0.0, ,22.6,9.2,89,50,3.29,20.26
BUSSELTON AERO,21/11/2017,6.0,0.8, ,24.4,8.9,89,32,5.08,28.34
BUSSELTON AERO,22/11/2017,6.9,0.0, ,27.4,7.5,81,21,4.41,28.61
BUSSELTON AERO,23/11/2017,7.1,0.0, ,28.6,10.3,73,26,4.24,29.32
BUSSELTON AERO,24/11/2017,7.0,0.0, ,29.3,12.8,81,36,4.90,28.91
BUSSELTON AERO,25/11/2017,6.2,0.0, ,27.2,12.2,88,41,5.42,26.82
BUSSELTON AERO,26/11/2017,7.3,0.0, ,30.0,12.2,83,36,5.45,28.90
BUSSELTON AERO,27/11/2017,6.1,0.0, ,27.2,13.4,82,49,5.65,27.30
BUSSELTON AERO,28/11/2017,4.2,0.2, ,22.6,9.4,96,40,3.74,18.70
BUSSELTON AERO,29/11/2017,4.8,0.0, ,22.3,8.2,93,39,4.45,23.47
BUSSELTON AERO,30/11/2017,5.0,0.2, ,21.8,11.3,85,41,4.64,24.31
Totals:,,171.9,7.4, ,,,,,, 
