'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE LEEUWIN Western Australia for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE LEEUWIN,01/09/2011,3.3,0.6, ,21.4,12.5,93,59,8.47,12.68
CAPE LEEUWIN,02/09/2011,3.1,10.8, ,15.3,12.6,93,54,12.84,14.26
CAPE LEEUWIN,03/09/2011,3.3,2.2, ,16.8,10.5,87,58,13.85,14.70
CAPE LEEUWIN,04/09/2011,3.3,0.8, ,17.7,13.6,87,57,10.05,13.55
CAPE LEEUWIN,05/09/2011,3.7,2.2, ,17.8,14.4,75,57,9.58,14.45
CAPE LEEUWIN,06/09/2011,2.9,0.4, ,18.7,13.2,89,62,7.10,14.09
CAPE LEEUWIN,07/09/2011,4.1,0.2, ,16.9,13.4,72,53,9.40,18.93
CAPE LEEUWIN,08/09/2011,3.6,0.0, ,17.5,13.6,78,59,9.30,17.35
CAPE LEEUWIN,09/09/2011,3.5,0.0, ,17.3,11.6,80,60,8.31,20.23
CAPE LEEUWIN,10/09/2011,3.2,0.0, ,17.4,9.2,88,57,5.70,20.41
CAPE LEEUWIN,11/09/2011,4.0,0.0, ,19.7,10.7,90,42,5.82,20.69
CAPE LEEUWIN,12/09/2011,4.1,0.0, ,20.0,14.1,88,52,10.40,17.65
CAPE LEEUWIN,13/09/2011,3.5,0.0, ,17.2,13.0,87,45,4.93,19.51
CAPE LEEUWIN,14/09/2011,3.6,1.6, ,18.4,10.4,88,55,7.88,20.43
CAPE LEEUWIN,15/09/2011,3.9,3.4, ,18.2,14.6,83,58,10.54,18.87
CAPE LEEUWIN,16/09/2011,4.0,1.4, ,18.3,15.2,79,59,14.12,13.42
CAPE LEEUWIN,17/09/2011,3.9,0.0, ,18.6,14.2,87,52,11.51,15.00
CAPE LEEUWIN,18/09/2011,3.3,16.0, ,16.2,11.5,91,53,15.48,9.91
CAPE LEEUWIN,19/09/2011,3.5,1.6, ,17.6,12.1,83,65,13.30,16.80
CAPE LEEUWIN,20/09/2011,2.8,0.2, ,18.9,15.1,96,67,12.86,11.97
CAPE LEEUWIN,21/09/2011,3.5,12.6, ,17.0,12.7,94,52,13.94,14.77
CAPE LEEUWIN,22/09/2011,4.0,1.2, ,16.7,11.2,67,43,5.41,19.40
CAPE LEEUWIN,23/09/2011,3.8,0.2, ,17.9,10.0,71,50,5.11,19.98
CAPE LEEUWIN,24/09/2011,4.1,0.0, ,18.7,11.5,86,48,7.26,21.00
CAPE LEEUWIN,25/09/2011,3.7,0.0, ,19.0,14.5,89,59,9.77,18.91
CAPE LEEUWIN,26/09/2011,4.2,1.8, ,15.5,11.6,78,47,11.67,20.36
CAPE LEEUWIN,27/09/2011,3.5,5.6, ,15.6,9.8,87,55,12.49,16.66
CAPE LEEUWIN,28/09/2011,3.7,3.6, ,17.5,8.8,100,42,7.48,19.39
CAPE LEEUWIN,29/09/2011,3.9,0.2, ,19.4,12.1,100,37,4.29,21.05
CAPE LEEUWIN,30/09/2011,4.0,0.0, ,18.6,13.7,83,62,8.78,24.11
Totals:,,109,66.6, ,,,,,, 
