'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE LEEUWIN Western Australia for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE LEEUWIN,01/04/2012,4.1,0.8, ,22.4,17.9,100,56,15.95,16.14
CAPE LEEUWIN,02/04/2012,3.6,2.6, ,22.1,19.0,92,63,13.67,10.24
CAPE LEEUWIN,03/04/2012,3.9,0.2, ,23.0,19.1,88,66,14.84,12.98
CAPE LEEUWIN,04/04/2012,2.8,3.4, ,21.4,19.5,94,66,11.72,5.40
CAPE LEEUWIN,05/04/2012,4.8,2.2, ,19.6,15.8,76,43,10.22,14.41
CAPE LEEUWIN,06/04/2012,4.7,0.2, ,19.9,13.5,63,38,6.89,16.41
CAPE LEEUWIN,07/04/2012,4.9,0.0, ,22.1,12.1,73,45,9.28,16.31
CAPE LEEUWIN,08/04/2012,4.5,0.0, ,24.4,15.2,87,51,7.88,17.91
CAPE LEEUWIN,09/04/2012,3.5,0.0, ,24.6,17.8,89,58,3.97,17.32
CAPE LEEUWIN,10/04/2012,3.7,0.0, ,26.0,18.6,91,47,3.50,16.24
CAPE LEEUWIN,11/04/2012,3.6,0.0, ,24.6,19.8,85,53,5.53,11.19
CAPE LEEUWIN,12/04/2012,3.1,0.0, ,22.6,19.4,85,61,5.53,10.60
CAPE LEEUWIN,13/04/2012,3.6,0.0, ,23.1,17.7,83,56,5.23,14.87
CAPE LEEUWIN,14/04/2012,3.4,0.2, ,22.6,18.0,78,56,4.53,14.24
CAPE LEEUWIN,15/04/2012,3.3,0.0, ,23.0,16.0,86,54,4.85,13.42
CAPE LEEUWIN,16/04/2012,3.7,0.0, ,22.8,18.2,79,57,6.03,14.24
CAPE LEEUWIN,17/04/2012,4.2,0.8, ,22.7,16.0,87,52,9.96,14.89
CAPE LEEUWIN,18/04/2012,3.1,17.0, ,19.6,16.5,95,56,12.11,6.26
CAPE LEEUWIN,19/04/2012,2.3,1.4, ,18.9,13.0,83,54,3.85,6.48
CAPE LEEUWIN,20/04/2012,3.8,2.6, ,19.7,14.2,91,41,8.61,12.18
CAPE LEEUWIN,21/04/2012,3.5,2.0, ,19.9,14.7,89,50,8.91,9.81
CAPE LEEUWIN,22/04/2012,3.7,2.8, ,19.5,15.0,70,49,7.09,9.26
CAPE LEEUWIN,23/04/2012,3.4,0.0, ,19.8,13.2,77,53,6.50,13.99
CAPE LEEUWIN,24/04/2012,4.0,0.0, ,22.5,11.9,76,39,6.07,10.27
CAPE LEEUWIN,25/04/2012,4.6,0.0, ,25.2,14.3,73,35,5.89,10.88
CAPE LEEUWIN,26/04/2012,4.3,0.0, ,26.9,18.9,81,30,5.24,5.85
CAPE LEEUWIN,27/04/2012,3.5,0.0, ,21.3,20.1,85,30,5.50,3.15
CAPE LEEUWIN,28/04/2012,3.2,0.6, ,21.0,18.5,90,43,6.70,3.43
CAPE LEEUWIN,29/04/2012,2.1,16.2, ,21.7,16.4,95,78,10.46,8.71
CAPE LEEUWIN,30/04/2012,3.7,1.0, ,21.3,17.3,82,52,8.15,9.65
Totals:,,110.6,54, ,,,,,, 
