'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE LEEUWIN Western Australia for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE LEEUWIN,01/03/2022,3.6,0.2, ,23.9,20.5,91,66,7.38,14.09
CAPE LEEUWIN,02/03/2022,5.0,1.2, ,22.0,16.5,83,46,8.61,18.53
CAPE LEEUWIN,03/03/2022,5.1,0.4, ,22.9,15.5,76,45,6.03,21.13
CAPE LEEUWIN,04/03/2022,4.9,0.2, ,24.5,17.1,78,53,6.13,20.23
CAPE LEEUWIN,05/03/2022,4.8,0.0, ,23.9,18.0,86,64,9.98,23.30
CAPE LEEUWIN,06/03/2022,4.8,0.0, ,24.7,18.7,83,68,8.98,23.80
CAPE LEEUWIN,07/03/2022,4.3,0.0, ,22.8,18.9,85,71,12.57,21.79
CAPE LEEUWIN,08/03/2022,5.2,0.0, ,25.8,17.1,85,60,9.30,23.38
CAPE LEEUWIN,09/03/2022,4.9,0.0, ,26.2,18.4,91,49,6.67,17.77
CAPE LEEUWIN,10/03/2022,4.0,0.0, ,24.6,18.5,91,70,5.16,21.53
CAPE LEEUWIN,11/03/2022,5.7,0.0, ,26.6,21.0,89,46,7.34,22.82
CAPE LEEUWIN,12/03/2022,5.5,0.0, ,25.5,21.8,86,42,5.86,22.40
CAPE LEEUWIN,13/03/2022,4.4,0.0, ,25.4,19.4,88,67,7.87,20.18
CAPE LEEUWIN,14/03/2022,4.3,0.0, ,25.2,18.6,85,67,5.45,21.72
CAPE LEEUWIN,15/03/2022,4.1,2.2, ,24.2,20.0,89,67,9.69,17.75
CAPE LEEUWIN,16/03/2022,3.8,0.0, ,23.4,20.3,85,70,11.26,13.28
CAPE LEEUWIN,17/03/2022,4.1,0.0, ,25.8,20.1,83,67,4.91,19.20
CAPE LEEUWIN,18/03/2022,3.1,0.0, ,24.7,19.7,91,73,6.40,12.71
CAPE LEEUWIN,19/03/2022,3.4,0.0, ,19.3,17.8,84,64,11.78,8.99
CAPE LEEUWIN,20/03/2022,3.2,0.0, ,23.4,17.1,90,68,8.26,11.30
CAPE LEEUWIN,21/03/2022,4.4,0.6, ,23.2,17.9,73,64,9.15,15.29
CAPE LEEUWIN,22/03/2022,4.5,0.0, ,21.6,17.9,71,51,8.75,10.02
CAPE LEEUWIN,23/03/2022,4.8,0.0, ,22.1,16.5,72,55,9.39,16.87
CAPE LEEUWIN,24/03/2022,5.0,0.0, ,23.4,16.3,80,56,10.72,20.30
CAPE LEEUWIN,25/03/2022,5.7,0.0, ,27.9,16.2,86,41,7.04,19.40
CAPE LEEUWIN,26/03/2022,1.6,5.8, ,20.5,19.0,94,81,8.01,3.04
CAPE LEEUWIN,27/03/2022,4.3,14.2, ,19.9,17.9,82,60,13.50,17.53
CAPE LEEUWIN,28/03/2022,4.7,0.2, ,22.5,16.1,78,61,12.68,18.58
CAPE LEEUWIN,29/03/2022,3.2,0.0, ,21.8,17.9,82,74,11.75,10.38
CAPE LEEUWIN,30/03/2022,4.4,0.0, ,24.9,18.6,82,67,10.94,18.00
CAPE LEEUWIN,31/03/2022,4.2,0.0, ,24.9,18.7,82,69,8.97,18.97
Totals:,,135,25, ,,,,,, 
