'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NATURALISTE Western Australia for July 2010,,,,,,,,,,
Issued at 04:30 GMT on Sunday 01 August 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NATURALISTE,01/07/2010,1.9,0.0, ,16.0,8.2,87,62,6.28,6.07
CAPE NATURALISTE,02/07/2010,2.4,5.4, ,15.4,8.0,89,47,6.57,11.68
CAPE NATURALISTE,03/07/2010,1.9,0.2, ,15.2,6.4,81,55,4.47,12.25
CAPE NATURALISTE,04/07/2010,1.7,1.0, ,16.6,8.2,89,62,3.92,12.24
CAPE NATURALISTE,05/07/2010,1.6,0.0, ,15.7,9.0,83,64,4.03,6.65
CAPE NATURALISTE,06/07/2010,1.7,0.8, ,15.6,11.6,89,66,5.57,6.08
CAPE NATURALISTE,07/07/2010,3.1,7.0, ,18.3,12.2,84,52,9.20,11.93
CAPE NATURALISTE,08/07/2010,2.6,5.4, ,17.2,13.8,89,63,11.84,7.55
CAPE NATURALISTE,09/07/2010,2.6,22.4, ,14.0,7.5,87,55,12.75,7.13
CAPE NATURALISTE,10/07/2010,2.6,9.6, ,16.5,7.8,86,60,10.39,10.62
CAPE NATURALISTE,11/07/2010,3.0,11.0, ,18.1,12.4,87,62,14.99,9.64
CAPE NATURALISTE,12/07/2010,2.8,11.4, ,14.0,7.9,84,57,15.48,9.62
CAPE NATURALISTE,13/07/2010,2.4,3.0, ,16.9,8.9,88,59,7.58,12.19
CAPE NATURALISTE,14/07/2010,1.7,2.8, ,18.4,10.6,89,64,3.06,12.36
CAPE NATURALISTE,15/07/2010,2.8,0.2, ,19.0,12.5,78,59,6.90,12.35
CAPE NATURALISTE,16/07/2010,3.0,0.8, ,17.0,14.5,85,47,8.13,7.86
CAPE NATURALISTE,17/07/2010,2.6,2.4, ,15.8,9.2,79,52,6.72,11.66
CAPE NATURALISTE,18/07/2010,2.6,2.0, ,16.2,10.4,86,51,7.11,9.57
CAPE NATURALISTE,19/07/2010,1.8,1.2, ,16.6,9.6,87,65,4.32,12.87
CAPE NATURALISTE,20/07/2010,2.1,0.2, ,15.4,8.1,87,54,4.65,13.31
CAPE NATURALISTE,21/07/2010,2.0,0.0, ,16.9,7.6,85,63,4.48,13.40
CAPE NATURALISTE,22/07/2010,2.4,0.0, ,18.0,10.2,87,55,5.61,12.86
CAPE NATURALISTE,23/07/2010,2.4,0.0, ,17.3,10.8,81,50,4.16,13.57
CAPE NATURALISTE,24/07/2010,2.6,0.0, ,17.8,9.6,79,59,6.64,10.45
CAPE NATURALISTE,25/07/2010,3.2,0.0, ,20.3,10.6,89,54,9.59,9.76
CAPE NATURALISTE,26/07/2010,2.8,6.4, ,18.0,12.7,86,61,8.90,13.51
CAPE NATURALISTE,27/07/2010,2.1,4.6, ,17.7,12.4,87,70,6.41,11.29
CAPE NATURALISTE,28/07/2010,2.6,6.4, ,17.2,11.6,90,59,9.46,11.17
CAPE NATURALISTE,29/07/2010,3.0,13.0, ,15.3,11.0,84,51,10.19,11.96
CAPE NATURALISTE,30/07/2010, ,2.8, ,18.2,10.6,88,59,6.28, 
CAPE NATURALISTE,31/07/2010, ,0.8, ,19.0,11.9,84,59,5.20, 
Totals:,,70,120.8, ,,,,,, 
