'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NATURALISTE Western Australia for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NATURALISTE,01/10/2018,4.2,0.2, ,20.8,9.8,84,47,6.31,18.48
CAPE NATURALISTE,02/10/2018,4.8,0.2, ,21.5,9.7,88,44,7.39,22.82
CAPE NATURALISTE,03/10/2018,4.4,0.0, ,20.8,8.7,89,51,9.29,21.66
CAPE NATURALISTE,04/10/2018,2.6,6.2, ,20.2,11.2,91,72,8.55,11.12
CAPE NATURALISTE,05/10/2018,3.4,0.0, ,22.1,14.7,91,67,4.90,18.21
CAPE NATURALISTE,06/10/2018,3.1,0.2, ,20.3,11.6,89,62,5.37,14.44
CAPE NATURALISTE,07/10/2018,3.9,0.0, ,21.2,11.2,90,60,6.53,21.35
CAPE NATURALISTE,08/10/2018,4.4,0.0, ,22.4,12.5,83,57,5.75,22.90
CAPE NATURALISTE,09/10/2018,4.9,0.0, ,25.0,12.5,83,48,7.00,17.08
CAPE NATURALISTE,10/10/2018,3.6,0.8, ,21.8,14.7,89,56,6.70,12.96
CAPE NATURALISTE,11/10/2018,4.2,1.2, ,21.6,13.7,90,61,5.42,24.51
CAPE NATURALISTE,12/10/2018,2.5,0.0, ,18.7,15.1,91,68,5.26,9.83
CAPE NATURALISTE,13/10/2018,3.8,6.2, ,19.2,13.6,91,60,7.86,20.44
CAPE NATURALISTE,14/10/2018,3.2,15.2, ,17.6,10.7,90,66,10.84,17.22
CAPE NATURALISTE,15/10/2018,3.7,0.2, ,19.7,10.9,71,51,4.14,16.70
CAPE NATURALISTE,16/10/2018,4.0,0.0, ,20.6,13.7,82,53,3.25,22.35
CAPE NATURALISTE,17/10/2018,4.3,0.0, ,21.4,12.6,87,63,6.29,25.62
CAPE NATURALISTE,18/10/2018,3.8,1.6, ,17.0,11.2,82,55,10.03,16.60
CAPE NATURALISTE,19/10/2018,4.6,0.8, ,18.9,10.7,70,52,7.48,22.64
CAPE NATURALISTE,20/10/2018,3.2,1.6, ,18.1,12.3,89,64,9.00,15.31
CAPE NATURALISTE,21/10/2018,4.1,2.4, ,18.8,13.9,91,51,10.52,17.76
CAPE NATURALISTE,22/10/2018,4.4,0.2, ,19.3,12.2,80,49,7.25,19.81
CAPE NATURALISTE,23/10/2018,3.3,0.0, ,19.1,8.9,83,55,3.56,16.40
CAPE NATURALISTE,24/10/2018,3.5,0.0, ,20.2,12.7,86,64,5.28,18.04
CAPE NATURALISTE,25/10/2018,4.9,0.4, ,22.7,10.8,88,55,7.41,26.35
CAPE NATURALISTE,26/10/2018,5.1,0.0, ,23.1,12.0,85,56,7.28,27.09
CAPE NATURALISTE,27/10/2018,5.2,0.0, ,22.2,9.4,87,49,7.18,27.31
CAPE NATURALISTE,28/10/2018,4.7,0.0, ,21.4,10.4,88,54,6.30,27.20
CAPE NATURALISTE,29/10/2018,4.3,0.0, ,20.6,12.6,86,60,6.49,23.55
CAPE NATURALISTE,30/10/2018,5.6,0.0, ,21.7,8.2,83,39,7.57,26.25
CAPE NATURALISTE,31/10/2018,4.5,0.0, ,20.3,10.0,77,53,8.25,19.74
Totals:,,126.2,37.4, ,,,,,, 
