'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NATURALISTE Western Australia for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NATURALISTE,01/03/2022,8.4,0.0, ,25.0,18.1,32,20,7.72,21.22
CAPE NATURALISTE,02/03/2022,5.9,6.0, ,21.8,13.4,90,24,8.19,21.84
CAPE NATURALISTE,03/03/2022,5.5,0.0, ,22.8,12.1,76,23,6.17,15.76
CAPE NATURALISTE,04/03/2022,6.6,0.0, ,26.0,13.5,84,19,5.95,22.84
CAPE NATURALISTE,05/03/2022,8.9,0.0, ,28.7,14.6,37,17,7.18,24.20
CAPE NATURALISTE,06/03/2022,9.1,0.0, ,29.4,16.4,33,15,6.89,24.01
CAPE NATURALISTE,07/03/2022,9.8,0.0, ,32.1,16.8,32,14,6.77,23.84
CAPE NATURALISTE,08/03/2022,9.4,0.0, ,30.1,17.0,31,16,7.12,23.63
CAPE NATURALISTE,09/03/2022,9.1,0.0, ,31.8,16.5,32,14,6.17,20.82
CAPE NATURALISTE,10/03/2022,9.3,0.0, ,32.8,20.5,25,12,5.77,21.14
CAPE NATURALISTE,11/03/2022,10.6,0.0, ,36.3,21.6,23,10,6.04,23.09
CAPE NATURALISTE,12/03/2022,7.1,0.2, ,27.2,20.4,27,17,4.47,20.18
CAPE NATURALISTE,13/03/2022,6.4,0.2, ,27.5,17.2,31,17,3.96,18.81
CAPE NATURALISTE,14/03/2022,7.6,0.0, ,26.7,17.1,31,18,5.73,21.79
CAPE NATURALISTE,15/03/2022,8.5,0.2, ,26.4,19.5,27,18,7.10,19.88
CAPE NATURALISTE,16/03/2022,8.2,0.0, ,26.3,19.2,29,19,7.53,14.32
CAPE NATURALISTE,17/03/2022,6.7,2.4, ,26.1,18.1,29,19,4.52,19.43
CAPE NATURALISTE,18/03/2022,6.9,0.0, ,27.0,17.8,30,18,5.09,15.83
CAPE NATURALISTE,19/03/2022,6.4,0.0, ,21.5,16.6,33,25,7.40,7.76
CAPE NATURALISTE,20/03/2022,7.1,0.0, ,23.2,15.8,34,22,8.02,10.86
CAPE NATURALISTE,21/03/2022,7.1,0.0, ,27.7,14.6,78,17,6.82,19.70
CAPE NATURALISTE,22/03/2022,6.1,0.0, ,24.9,14.0,79,20,6.81,17.39
CAPE NATURALISTE,23/03/2022,6.5,0.0, ,25.2,12.3,74,20,6.70,20.76
CAPE NATURALISTE,24/03/2022,7.0,0.0, ,27.8,12.4,78,17,6.47,20.61
CAPE NATURALISTE,25/03/2022,8.4,0.0, ,31.3,16.4,32,14,6.00,18.04
CAPE NATURALISTE,26/03/2022,6.6,3.8, ,23.9,17.8,32,21,6.47,8.00
CAPE NATURALISTE,27/03/2022,6.6,7.4, ,24.3,15.7,66,21,7.77,16.32
CAPE NATURALISTE,28/03/2022,6.0,0.0, ,22.5,12.3,71,23,8.79,13.55
CAPE NATURALISTE,29/03/2022,8.3,0.0, ,25.4,15.9,34,20,8.91,17.03
CAPE NATURALISTE,30/03/2022,9.1,0.0, ,26.5,18.5,29,18,9.15,17.28
CAPE NATURALISTE,31/03/2022,8.8,0.0, ,27.9,18.2,29,16,7.77,18.89
Totals:,,238,20.2, ,,,,,, 
