'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CARNARVON AIRPORT Western Australia for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CARNARVON AIRPORT,01/02/2010,7.2,0.0,9.8,29.7,22.9,85,59,8.49,32.19
CARNARVON AIRPORT,02/02/2010,7.2,0.0,10.0,27.8,22.0,82,57,9.56,31.85
CARNARVON AIRPORT,03/02/2010,8.6,0.0,9.2,29.6,20.4,76,45,10.41,32.00
CARNARVON AIRPORT,04/02/2010,11.0,0.0,15.2,33.5,21.0,76,13,8.00,31.77
CARNARVON AIRPORT,05/02/2010,6.6,0.0,10.4,27.2,22.3,83,60,6.59,31.73
CARNARVON AIRPORT,06/02/2010,6.9,0.0,9.2,27.0,21.2,71,49,4.84,31.63
CARNARVON AIRPORT,07/02/2010,6.7,0.0,9.6,27.5,18.5,77,50,5.39,30.98
CARNARVON AIRPORT,08/02/2010,6.5,0.0,8.2,27.2,22.0,83,58,5.99,31.25
CARNARVON AIRPORT,09/02/2010,6.9,0.0,9.2,27.9,22.2,79,54,7.67,29.43
CARNARVON AIRPORT,10/02/2010,6.8,0.0,8.8,28.8,21.8,82,61,8.20,30.78
CARNARVON AIRPORT,11/02/2010,6.6,0.0,8.6,28.7,22.1,87,61,8.09,30.70
CARNARVON AIRPORT,12/02/2010,6.7,0.0,10.8,28.0,21.4,83,60,8.49,30.91
CARNARVON AIRPORT,13/02/2010,6.3,0.0,9.2,28.6,22.2,87,61,6.94,29.19
CARNARVON AIRPORT,14/02/2010,6.1,0.0,7.8,27.7,22.6,89,67,6.63,31.00
CARNARVON AIRPORT,15/02/2010,6.3,0.0,8.6,28.6,23.3,86,63,7.35,28.73
CARNARVON AIRPORT,16/02/2010,7.2,0.0,9.4,29.5,22.2,87,48,7.75,29.44
CARNARVON AIRPORT,17/02/2010, ,0.0,7.8,29.0,22.3, , , ,27.70
CARNARVON AIRPORT,18/02/2010,6.6,0.0,6.6,30.3,22.8,89,61,7.19,29.74
CARNARVON AIRPORT,19/02/2010,9.0,0.0,9.4,33.7,24.9,82,42,8.67,29.79
CARNARVON AIRPORT,20/02/2010,9.8,0.0,11.6,34.1,24.2,76,34,8.67,29.70
CARNARVON AIRPORT,21/02/2010,9.4,0.0,11.8,32.6,24.0,80,38,9.93,29.97
CARNARVON AIRPORT,22/02/2010,7.8,0.0,11.6,32.0,22.3,84,50,7.68,29.88
CARNARVON AIRPORT,23/02/2010,8.9,0.0,9.8,34.0,24.9,75,36,6.47,29.73
CARNARVON AIRPORT,24/02/2010,6.7,0.0,9.8,32.3,22.9,92,53,4.27,29.57
CARNARVON AIRPORT,25/02/2010,5.8,0.0,8.6,29.5,21.7,100,63,4.01,29.50
CARNARVON AIRPORT,26/02/2010,5.6,0.0,6.6,28.2,23.8,91,68,5.70,27.79
CARNARVON AIRPORT,27/02/2010,5.6,0.0,7.2,28.7,23.4,91,69,5.84,27.57
CARNARVON AIRPORT,28/02/2010,6.1,0.0,6.6,30.6,24.2,92,64,5.58,28.55
Totals:,,194.9,0,261.4,,,,,, 
