'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLLIE EAST Western Australia for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLLIE EAST,01/04/2017,3.9,0.0, ,27.7,9.1,90,26,1.90,19.16
COLLIE EAST,02/04/2017,3.3,0.0, ,29.6,7.4,92,21,1.02,19.02
COLLIE EAST,03/04/2017,3.6,0.0, ,29.0,6.5,93,25,1.58,16.95
COLLIE EAST,04/04/2017,3.0,0.0, ,27.5,7.0,93,32,1.06,17.10
COLLIE EAST,05/04/2017,3.1,0.0, ,29.2,8.0,92,15,0.94,17.71
COLLIE EAST,06/04/2017,2.5,0.0, ,22.9,10.4,92,48,1.83,12.81
COLLIE EAST,07/04/2017,2.6,0.0, ,20.3,5.3,90,33,1.46,16.65
COLLIE EAST,08/04/2017,2.4,0.0, ,22.5,0.8,91,39,0.82,17.64
COLLIE EAST,09/04/2017,2.7,0.0, ,24.4,3.9,93,32,0.99,17.79
COLLIE EAST,10/04/2017,2.7,0.0, ,27.1,3.7,93,22,0.83,17.61
COLLIE EAST,11/04/2017,3.0,0.0, ,27.3,3.3,90,25,1.23,17.41
COLLIE EAST,12/04/2017,2.0,0.0, ,22.7,5.0,92,53,1.14,11.56
COLLIE EAST,13/04/2017,2.5,0.0, ,24.4,7.2,93,38,1.17,15.19
COLLIE EAST,14/04/2017,2.7,0.0, ,27.9,6.6,92,34,0.89,16.91
COLLIE EAST,15/04/2017,2.7,0.0, ,23.6,12.4,92,52,2.66,12.29
COLLIE EAST,16/04/2017,3.1,0.0, ,24.2,12.5,84,45,2.45,15.89
COLLIE EAST,17/04/2017,1.4,0.0, ,19.1,9.5,93,62,1.59,5.52
COLLIE EAST,18/04/2017,1.8,0.0, ,22.8,13.8,92,59,1.32,8.57
COLLIE EAST,19/04/2017,2.2,0.0, ,25.1,9.3,95,43,0.78,14.37
COLLIE EAST,20/04/2017,2.4,0.0, ,26.5,9.3,95,42,0.96,15.12
COLLIE EAST,21/04/2017,2.1,0.0, ,26.8,7.1,94,36,0.67,13.92
COLLIE EAST,22/04/2017,2.3,0.0, ,23.5,11.5,90,54,2.28,10.08
COLLIE EAST,23/04/2017,2.8,0.0, ,24.0,15.0,87,43,2.68,11.21
COLLIE EAST,24/04/2017,2.5,0.0, ,24.5,10.3,93,41,1.65,14.24
COLLIE EAST,25/04/2017,1.9,0.0, ,23.3,3.6,93,37,0.69,15.06
COLLIE EAST,26/04/2017,1.8,0.0, ,23.9,5.5,95,33,0.49,13.43
COLLIE EAST,27/04/2017,2.0,0.0, ,25.2,4.3,91,28,0.63,14.92
COLLIE EAST,28/04/2017,1.9,0.0, ,26.2,5.7,92,30,0.56,14.82
COLLIE EAST,29/04/2017,1.9,0.0, ,26.3,5.8,93,22,0.54,14.69
COLLIE EAST,30/04/2017,1.4,0.0, ,21.1,5.4,90,65,0.91,8.16
Totals:,,74.2,0, ,,,,,, 
