'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CUNDERDIN AIRFIELD Western Australia for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CUNDERDIN AIRFIELD,01/10/2011,5.3,0.0, ,28.3,11.5,71,26,3.91,15.40
CUNDERDIN AIRFIELD,02/10/2011,4.3,0.0, ,25.7,10.1,94,42,3.84,18.35
CUNDERDIN AIRFIELD,03/10/2011,3.0,9.8, ,20.7,12.0,96,67,4.86,16.51
CUNDERDIN AIRFIELD,04/10/2011,3.8,0.8, ,22.4,9.0,95,49,3.07,21.56
CUNDERDIN AIRFIELD,05/10/2011,4.0,0.2, ,23.8,6.6,96,41,2.01,23.50
CUNDERDIN AIRFIELD,06/10/2011, ,0.0, ,26.1,7.8, , , ,24.95
CUNDERDIN AIRFIELD,07/10/2011,5.0,0.0, ,26.8,6.3,95,37,3.05,25.25
CUNDERDIN AIRFIELD,08/10/2011,4.4,0.0, ,25.6,6.7,95,37,2.56,22.20
CUNDERDIN AIRFIELD,09/10/2011,6.2,0.0, ,27.0,11.7,88,32,6.16,23.54
CUNDERDIN AIRFIELD,10/10/2011,6.2,0.0, ,28.7,10.8,93,32,5.69,21.33
CUNDERDIN AIRFIELD,11/10/2011,4.9,13.2, ,27.2,12.2,96,42,2.74,25.23
CUNDERDIN AIRFIELD,12/10/2011,3.1,0.2, ,22.1,13.6,94,54,4.08,11.59
CUNDERDIN AIRFIELD,13/10/2011,4.5,0.0, ,22.7,7.7,95,49,6.22,22.68
CUNDERDIN AIRFIELD,14/10/2011,5.1,1.6, ,25.5,3.6,94,44,3.92,27.56
CUNDERDIN AIRFIELD,15/10/2011,6.2,0.0, ,29.0,8.9,93,27,3.62,27.31
CUNDERDIN AIRFIELD,16/10/2011,10.4,0.0, ,35.6,14.3,64,15,6.94,25.85
CUNDERDIN AIRFIELD,17/10/2011,5.1,0.0, ,26.5,11.4,94,45,4.74,22.82
CUNDERDIN AIRFIELD,18/10/2011,2.8,0.0, ,19.1,10.0,94,47,4.01,8.79
CUNDERDIN AIRFIELD,19/10/2011,5.1,7.8, ,21.4,7.0,93,29,3.66,28.86
CUNDERDIN AIRFIELD,20/10/2011,6.2,0.2, ,24.8,6.8,85,17,4.10,29.17
CUNDERDIN AIRFIELD,21/10/2011,6.6,0.0, ,29.9,5.0,85,19,3.26,28.67
CUNDERDIN AIRFIELD,22/10/2011,6.6,0.0, ,31.0,10.1,91,26,5.16,18.18
CUNDERDIN AIRFIELD,23/10/2011,2.9,0.2, ,20.9,15.2,88,67,5.05,11.71
CUNDERDIN AIRFIELD,24/10/2011,3.8,0.2, ,23.0,11.7,86,51,5.36,12.68
CUNDERDIN AIRFIELD,25/10/2011,3.8,23.8, ,24.9,14.0,97,54,4.82,14.61
CUNDERDIN AIRFIELD,26/10/2011,1.9,0.6, ,20.7,13.9,95,70,3.07,6.88
CUNDERDIN AIRFIELD,27/10/2011,4.0,1.4, ,25.3,13.1,96,49,4.08,15.95
CUNDERDIN AIRFIELD,28/10/2011,5.1,8.6, ,22.5,10.5,90,39,4.77,25.09
CUNDERDIN AIRFIELD,29/10/2011,6.2,0.0, ,24.6,9.0,82,34,5.45,29.38
CUNDERDIN AIRFIELD,30/10/2011,6.8,0.0, ,26.0,10.1,85,26,5.27,30.23
CUNDERDIN AIRFIELD,31/10/2011,7.3,0.0, ,28.4,12.7,82,34,6.61,28.43
Totals:,,150.6,68.6, ,,,,,, 
