'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CUNDERDIN AIRFIELD Western Australia for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CUNDERDIN AIRFIELD,01/03/2015,5.2,0.0, ,33.6,16.8,90,38,5.17,8.00
CUNDERDIN AIRFIELD,02/03/2015,2.5,9.2, ,21.9,16.5,93,68,7.54,5.37
CUNDERDIN AIRFIELD,03/03/2015,6.8,0.0, ,29.9,16.6,85,33,5.96,23.83
CUNDERDIN AIRFIELD,04/03/2015,7.2,0.0, ,31.0,15.7,87,27,5.45,25.24
CUNDERDIN AIRFIELD,05/03/2015,7.3,0.0, ,31.3,15.8,79,26,5.22,25.20
CUNDERDIN AIRFIELD,06/03/2015,6.6,0.0, ,31.2,14.7,79,25,3.87,24.65
CUNDERDIN AIRFIELD,07/03/2015,6.2,0.0, ,32.0,16.0,76,25,3.03,24.50
CUNDERDIN AIRFIELD,08/03/2015,7.3,0.0, ,33.6,16.3,72,18,3.98,24.20
CUNDERDIN AIRFIELD,09/03/2015,6.7,0.0, ,33.8,17.0,82,21,3.30,24.41
CUNDERDIN AIRFIELD,10/03/2015,6.9,0.0, ,35.9,14.6,70,16,3.08,23.30
CUNDERDIN AIRFIELD,11/03/2015,8.2,0.0, ,36.4,17.6,76,15,4.48,23.71
CUNDERDIN AIRFIELD,12/03/2015,8.8,0.0, ,39.6,18.5,62,11,4.05,23.77
CUNDERDIN AIRFIELD,13/03/2015,6.1,0.0, ,36.0,18.6,93,16,4.38,7.89
CUNDERDIN AIRFIELD,14/03/2015,5.4,2.8, ,31.0,21.0,97,40,7.47,10.86
CUNDERDIN AIRFIELD,15/03/2015,6.2,3.8, ,30.4,19.8,96,39,6.97,20.04
CUNDERDIN AIRFIELD,16/03/2015,5.6,0.0, ,29.9,16.1,96,38,5.60,18.81
CUNDERDIN AIRFIELD,17/03/2015,6.6,0.0, ,32.1,15.4,96,31,5.45,22.02
CUNDERDIN AIRFIELD,18/03/2015,4.7,0.0, ,28.1,17.6,96,45,6.41,13.58
CUNDERDIN AIRFIELD,19/03/2015,3.4,1.4, ,25.9,12.6,93,39,1.77,15.85
CUNDERDIN AIRFIELD,20/03/2015,6.3,0.0, ,32.2,13.4,77,28,3.88,22.53
CUNDERDIN AIRFIELD,21/03/2015,6.7,0.0, ,29.7,16.7,74,37,6.80,21.40
CUNDERDIN AIRFIELD,22/03/2015,5.6,0.0, ,23.9,16.0,75,30,7.25,15.13
CUNDERDIN AIRFIELD,23/03/2015,6.1,0.0, ,23.3,9.4,67,22,6.36,22.40
CUNDERDIN AIRFIELD,24/03/2015,5.8,0.0, ,27.1,10.4,72,21,4.32,20.62
CUNDERDIN AIRFIELD,25/03/2015,6.6,0.0, ,28.0,12.1,71,21,5.60,21.38
CUNDERDIN AIRFIELD,26/03/2015,6.5,0.0, ,30.2,13.2,81,22,5.09,19.89
CUNDERDIN AIRFIELD,27/03/2015,4.6,7.4, ,27.5,15.6,92,45,4.11,19.54
CUNDERDIN AIRFIELD,28/03/2015,4.3,0.0, ,28.6,12.0,97,31,2.32,19.82
CUNDERDIN AIRFIELD,29/03/2015,5.1,0.0, ,31.2,12.6,89,24,2.60,21.13
CUNDERDIN AIRFIELD,30/03/2015,6.0,0.0, ,32.9,14.2,93,23,4.91,11.97
CUNDERDIN AIRFIELD,31/03/2015,4.3,1.0, ,29.5,18.0,95,31,2.71,17.21
Totals:,,185.6,25.6, ,,,,,, 
