'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CUNDERDIN AIRFIELD Western Australia for October 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CUNDERDIN AIRFIELD,01/10/2019,4.6,0.0, ,26.3,11.2,87,32,2.54,22.26
CUNDERDIN AIRFIELD,02/10/2019,5.1,0.0, ,26.6,6.0,94,26,3.52,21.09
CUNDERDIN AIRFIELD,03/10/2019,5.6,0.0, ,29.2,4.1,93,15,3.14,20.79
CUNDERDIN AIRFIELD,04/10/2019,5.7,0.0, ,23.8,14.5,95,28,9.09,16.41
CUNDERDIN AIRFIELD,05/10/2019,3.4,1.8, ,22.2,10.7,99,41,3.74,13.13
CUNDERDIN AIRFIELD,06/10/2019,4.0,0.0, ,22.2,2.9,97,32,2.92,20.17
CUNDERDIN AIRFIELD,07/10/2019,5.9,0.0, ,25.6,7.6,83,18,4.42,23.01
CUNDERDIN AIRFIELD,08/10/2019,7.4,0.0, ,33.7,10.5,82,14,4.03,22.71
CUNDERDIN AIRFIELD,09/10/2019,8.0,0.0, ,35.7,7.3,77,6,3.69,23.00
CUNDERDIN AIRFIELD,10/10/2019,6.4,0.0, ,30.6,7.0,89,21,3.80,22.97
CUNDERDIN AIRFIELD,11/10/2019,4.4,0.0, ,26.7,6.9,99,43,3.55,18.62
CUNDERDIN AIRFIELD,12/10/2019,4.0,8.2, ,23.4,12.6,98,32,3.47,15.78
CUNDERDIN AIRFIELD,13/10/2019,4.6,0.0, ,23.5,4.8,96,29,3.10,23.52
CUNDERDIN AIRFIELD,14/10/2019,4.4,0.0, ,24.3,7.6,99,29,3.48,18.10
CUNDERDIN AIRFIELD,15/10/2019,4.9,0.0, ,21.6,5.4,96,25,4.19,23.68
CUNDERDIN AIRFIELD,16/10/2019,4.2,0.0, ,22.5,4.6,93,23,2.11,22.33
CUNDERDIN AIRFIELD,17/10/2019,5.1,0.0, ,26.3,2.3,88,16,2.66,22.28
CUNDERDIN AIRFIELD,18/10/2019,6.5,0.0, ,27.0,10.0,86,20,5.17,22.70
CUNDERDIN AIRFIELD,19/10/2019,8.8,0.0, ,33.2,9.9,72,15,5.85,23.32
CUNDERDIN AIRFIELD,20/10/2019,7.2,0.0, ,31.5,9.3,92,19,4.52,24.05
CUNDERDIN AIRFIELD,21/10/2019,5.2,0.0, ,29.6,10.0,97,22,2.63,20.16
CUNDERDIN AIRFIELD,22/10/2019,7.2,0.0, ,31.8,12.5,82,15,4.04,24.14
CUNDERDIN AIRFIELD,23/10/2019,6.2,0.0, ,27.5,9.9,97,29,5.40,23.86
CUNDERDIN AIRFIELD,24/10/2019,6.2,0.0, ,25.8,6.8,94,17,4.58,24.33
CUNDERDIN AIRFIELD,25/10/2019,5.2,0.0, ,26.5,3.0,93,25,2.67,24.55
CUNDERDIN AIRFIELD,26/10/2019,6.4,0.0, ,31.2,7.4,81,18,3.04,24.62
CUNDERDIN AIRFIELD,27/10/2019,8.4,0.0, ,36.8,13.7,70,7,3.72,24.64
CUNDERDIN AIRFIELD,28/10/2019,7.9,0.0, ,32.4,9.5,66,14,4.47,23.36
CUNDERDIN AIRFIELD,29/10/2019,6.8,0.0, ,30.1,14.2,73,18,4.17,21.39
CUNDERDIN AIRFIELD,30/10/2019,6.9,0.0, ,28.5,10.4,98,26,7.12,20.31
CUNDERDIN AIRFIELD,31/10/2019,4.5,9.6, ,18.4,11.2,95,37,8.96,18.83
Totals:,,181.1,19.6, ,,,,,, 
