'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CUNDERDIN AIRFIELD Western Australia for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CUNDERDIN AIRFIELD,01/05/2022,2.7,0.0, ,25.9,4.7,92,26,1.41,15.38
CUNDERDIN AIRFIELD,02/05/2022,3.0,0.0, ,25.0,6.7,90,31,2.15,15.21
CUNDERDIN AIRFIELD,03/05/2022,3.1,0.0, ,20.7,9.1,96,39,4.37,13.26
CUNDERDIN AIRFIELD,04/05/2022,3.6,0.0, ,18.8,9.6,89,32,5.99,14.52
CUNDERDIN AIRFIELD,05/05/2022,4.1,0.0, ,19.9,7.7,68,28,5.39,14.86
CUNDERDIN AIRFIELD,06/05/2022,3.7,0.0, ,21.6,3.5,84,24,3.99,14.74
CUNDERDIN AIRFIELD,07/05/2022,3.4,0.0, ,25.1,3.9,76,18,2.39,14.59
CUNDERDIN AIRFIELD,08/05/2022,3.1,0.0, ,27.6,5.0,70,18,1.76,14.01
CUNDERDIN AIRFIELD,09/05/2022,2.7,0.0, ,27.8,4.8,87,22,1.41,14.37
CUNDERDIN AIRFIELD,10/05/2022,4.8,0.0, ,28.9,6.1,83,18,3.83,14.10
CUNDERDIN AIRFIELD,11/05/2022,2.2,0.0, ,22.8,7.2,96,44,2.07,11.79
CUNDERDIN AIRFIELD,12/05/2022,1.3,2.6, ,18.9,13.4,98,78,4.22,5.68
CUNDERDIN AIRFIELD,13/05/2022,2.6,11.6, ,19.1,8.6,97,51,5.25,11.80
CUNDERDIN AIRFIELD,14/05/2022,2.7,0.2, ,21.0,9.7,97,49,4.63,12.66
CUNDERDIN AIRFIELD,15/05/2022,1.4,0.4, ,17.8,9.1,100,49,1.13,9.81
CUNDERDIN AIRFIELD,16/05/2022,2.3,0.0, ,20.5,4.3,98,37,2.42,13.68
CUNDERDIN AIRFIELD,17/05/2022,3.8,0.0, ,26.4,5.4,95,27,3.77,12.93
CUNDERDIN AIRFIELD,18/05/2022,2.4,0.2, ,23.3,9.5,98,50,3.09,11.54
CUNDERDIN AIRFIELD,19/05/2022,1.6,0.2, ,21.6,7.7,100,55,1.49,10.32
CUNDERDIN AIRFIELD,20/05/2022,1.9,0.0, ,23.2,10.8,100,45,1.62,10.69
CUNDERDIN AIRFIELD,21/05/2022,3.2,0.2, ,26.0,8.2,99,31,3.17,12.78
CUNDERDIN AIRFIELD,22/05/2022,4.1,0.0, ,25.5,10.6,96,39,6.53,11.17
CUNDERDIN AIRFIELD,23/05/2022,2.2,1.4, ,18.3,13.0,93,65,8.30,5.83
CUNDERDIN AIRFIELD,24/05/2022,2.7,4.4, ,21.3,12.2,98,55,6.67,11.03
CUNDERDIN AIRFIELD,25/05/2022,1.8,0.4, ,19.8,8.5,100,50,2.07,12.14
CUNDERDIN AIRFIELD,26/05/2022,2.2,0.2, ,21.3,4.1,100,40,2.39,12.90
CUNDERDIN AIRFIELD,27/05/2022,2.5,0.0, ,24.1,9.6,86,37,2.54,10.57
CUNDERDIN AIRFIELD,28/05/2022,3.0,0.0, ,23.3,9.9,85,37,3.49,12.76
CUNDERDIN AIRFIELD,29/05/2022,2.7,0.0, ,17.1,4.1,92,42,5.63,11.73
CUNDERDIN AIRFIELD,30/05/2022,1.8,0.0, ,16.5,1.4,95,54,3.28,11.10
CUNDERDIN AIRFIELD,31/05/2022,1.8,0.0, ,16.7,9.2,91,52,3.40,8.16
Totals:,,84.4,21.8, ,,,,,, 
