'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CUNDERDIN AIRFIELD Western Australia for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CUNDERDIN AIRFIELD,01/07/2022,1.7,0.0, ,17.2,1.1,98,49,2.49,12.20
CUNDERDIN AIRFIELD,02/07/2022,1.8,0.2, ,17.0,-0.2,98,45,2.60,12.23
CUNDERDIN AIRFIELD,03/07/2022,2.2,0.0, ,17.6,-0.3,97,35,3.04,12.27
CUNDERDIN AIRFIELD,04/07/2022,2.7,0.0, ,17.8,1.0,92,29,4.05,12.31
CUNDERDIN AIRFIELD,05/07/2022,3.1,0.0, ,19.7,1.6,98,24,4.25,8.51
CUNDERDIN AIRFIELD,06/07/2022,1.5,2.4, ,17.2,9.6,99,64,2.93,9.99
CUNDERDIN AIRFIELD,07/07/2022,1.4,0.0, ,17.8,7.5,100,65,2.55,10.01
CUNDERDIN AIRFIELD,08/07/2022,3.7,0.2, ,23.2,8.0,100,18,4.49,12.45
CUNDERDIN AIRFIELD,09/07/2022,5.1,0.0, ,23.9,9.8,100,14,7.38,10.36
CUNDERDIN AIRFIELD,10/07/2022,1.8,7.8, ,16.6,7.7,99,57,4.02,11.17
CUNDERDIN AIRFIELD,11/07/2022,1.3,1.6, ,16.2,2.1,100,51,1.25,12.43
CUNDERDIN AIRFIELD,12/07/2022,1.4,0.0, ,18.5,-0.4,100,35,1.07,12.70
CUNDERDIN AIRFIELD,13/07/2022,2.8,0.2, ,22.5,0.2,99,38,3.45,12.30
CUNDERDIN AIRFIELD,14/07/2022,1.7,0.0, ,20.5,8.2,100,71,5.50,7.62
CUNDERDIN AIRFIELD,15/07/2022,2.1,23.8, ,19.2,9.3,99,56,3.96,12.56
CUNDERDIN AIRFIELD,16/07/2022,1.4,0.0, ,18.7,4.2,100,45,1.11,12.27
CUNDERDIN AIRFIELD,17/07/2022,1.0,0.0, ,13.6,4.9,98,76,2.59,5.72
CUNDERDIN AIRFIELD,18/07/2022,1.2,1.6, ,16.6,5.4,100,76,1.96,9.79
CUNDERDIN AIRFIELD,19/07/2022,0.9,0.2, ,13.0,1.9,100,78,1.67,8.18
CUNDERDIN AIRFIELD,20/07/2022,1.9,0.2, ,20.2,7.1,100,55,3.38,8.02
CUNDERDIN AIRFIELD,21/07/2022,1.9,4.6, ,17.2,11.7,98,64,6.33,9.94
CUNDERDIN AIRFIELD,22/07/2022,1.4,0.2, ,18.3,4.6,100,67,2.05,11.33
CUNDERDIN AIRFIELD,23/07/2022,1.6,0.2, ,17.2,8.2,99,73,6.00,9.09
CUNDERDIN AIRFIELD,24/07/2022,1.7,7.2, ,14.8,2.5,98,54,2.92,13.23
CUNDERDIN AIRFIELD,25/07/2022,2.0,0.0, ,16.5,4.5,97,53,3.80,13.63
CUNDERDIN AIRFIELD,26/07/2022,2.4,0.0, ,18.4,3.4,94,45,3.70,12.81
CUNDERDIN AIRFIELD,27/07/2022,2.2,0.0, ,19.6,4.0,97,37,2.29,13.90
CUNDERDIN AIRFIELD,28/07/2022,2.4,0.0, ,20.9,3.0,96,49,3.35,12.82
CUNDERDIN AIRFIELD,29/07/2022,1.6,0.0, ,17.8,10.3,99,72,5.45,7.95
CUNDERDIN AIRFIELD,30/07/2022,1.9,5.0, ,15.0,4.8,97,58,4.48,11.73
CUNDERDIN AIRFIELD,31/07/2022,1.8,0.0, ,16.7,2.1,99,49,2.28,11.48
Totals:,,61.6,55.4, ,,,,,, 
