'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/03/2014,7.5,0.0, ,38.0,22.5,87,23,2.91,27.09
CURTIN AERO,02/03/2014,7.1,0.0, ,37.7,21.7,86,26,2.66,26.46
CURTIN AERO,03/03/2014,8.2,0.0, ,38.4,23.1,82,16,3.35,27.28
CURTIN AERO,04/03/2014,8.5,0.0, ,38.3,22.1,70,17,3.62,27.33
CURTIN AERO,05/03/2014,7.3,0.0, ,37.7,24.5,71,32,3.54,22.74
CURTIN AERO,06/03/2014,6.9,0.0, ,37.7,25.4,96,36,3.47,24.00
CURTIN AERO,07/03/2014,5.7,17.0, ,35.8,23.4,99,48,1.98,24.16
CURTIN AERO,08/03/2014,6.0,0.6, ,36.1,22.9,99,44,2.28,24.52
CURTIN AERO,09/03/2014,6.0,2.4, ,37.0,22.4,99,41,2.32,23.74
CURTIN AERO,10/03/2014,4.5,7.0, ,33.7,20.9,100,51,4.11,13.59
CURTIN AERO,11/03/2014,6.5,0.2, ,37.5,25.4,100,40,2.38,25.53
CURTIN AERO,12/03/2014,6.5,1.4, ,38.1,25.0,99,35,2.44,24.88
CURTIN AERO,13/03/2014,6.6,0.0, ,37.4,23.4,100,34,2.61,25.64
CURTIN AERO,14/03/2014,5.6,0.0, ,36.7,25.2,100,40,2.48,20.90
CURTIN AERO,15/03/2014,5.8,0.8, ,37.6,24.0,99,39,2.81,20.12
CURTIN AERO,16/03/2014,6.2,4.2, ,38.3,23.2,99,38,2.12,24.37
CURTIN AERO,17/03/2014,7.5,0.4, ,39.4,25.4,100,35,4.17,24.33
CURTIN AERO,18/03/2014,7.1,2.4, ,38.0,23.6,96,39,4.40,23.19
CURTIN AERO,19/03/2014,7.1,4.6, ,38.9,20.8,83,30,3.15,24.10
CURTIN AERO,20/03/2014,6.8,0.0, ,39.3,25.1,100,24,2.52,24.45
CURTIN AERO,21/03/2014,6.7,0.0, ,39.8,24.8,100,24,2.24,24.99
CURTIN AERO,22/03/2014,5.9,0.0, ,37.4,23.5,98,47,3.61,20.46
CURTIN AERO,23/03/2014,6.6,3.2, ,38.6,24.6,96,34,3.07,22.96
CURTIN AERO,24/03/2014,6.6,0.0, ,39.5,24.9,87,35,2.46,23.75
CURTIN AERO,25/03/2014,7.0,0.2, ,38.5,24.1,86,32,3.23,23.98
CURTIN AERO,26/03/2014,5.3,0.8, ,36.6,23.3,94,45,2.87,18.65
CURTIN AERO,27/03/2014,6.1,7.0, ,37.3,23.2,99,27,2.26,23.55
CURTIN AERO,28/03/2014,7.0,0.0, ,37.2,21.1,94,19,2.88,25.85
CURTIN AERO,29/03/2014,5.8,0.0, ,35.7,21.9,100,35,3.01,21.36
CURTIN AERO,30/03/2014,5.8,0.0, ,36.9,20.2,100,32,2.04,23.82
CURTIN AERO,31/03/2014,6.6,0.0, ,37.9,23.9,81,32,2.90,23.16
Totals:,,202.8,52.2, ,,,,,, 
