'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/10/2017,9.4,0.0, ,37.7,22.4,33,17,4.48,26.31
CURTIN AERO,02/10/2017,8.1,0.0, ,40.9,21.1,46,15,2.82,26.14
CURTIN AERO,03/10/2017,7.8,0.0, ,37.6,22.2,88,23,3.65,26.57
CURTIN AERO,04/10/2017,6.9,0.0, ,38.8,21.0,98,23,2.33,26.49
CURTIN AERO,05/10/2017,7.9,0.0, ,38.5,22.8,86,26,3.66,26.37
CURTIN AERO,06/10/2017,8.3,0.0, ,38.5,23.0,79,23,3.89,26.78
CURTIN AERO,07/10/2017,7.0,0.0, ,35.7,21.3,99,30,3.40,26.42
CURTIN AERO,08/10/2017,7.1,0.0, ,37.7,19.9,96,29,3.11,25.29
CURTIN AERO,09/10/2017,7.3,0.0, ,38.5,23.8,85,30,3.10,25.30
CURTIN AERO,10/10/2017,7.8,0.0, ,38.5,24.1,80,29,3.58,26.04
CURTIN AERO,11/10/2017,9.2,0.0, ,40.8,23.9,58,23,4.27,25.10
CURTIN AERO,12/10/2017,9.6,0.0, ,41.6,26.8,100,24,5.76,25.27
CURTIN AERO,13/10/2017,7.5,26.8, ,38.6,23.0,98,28,3.08,27.41
CURTIN AERO,14/10/2017,8.2,0.0, ,40.5,25.2,87,25,3.34,26.92
CURTIN AERO,15/10/2017,8.1,0.0, ,39.3,27.5,79,24,3.54,25.31
CURTIN AERO,16/10/2017,7.5,0.0, ,39.5,24.9,96,21,2.74,26.38
CURTIN AERO,17/10/2017,8.6,0.0, ,40.3,26.6,71,18,3.83,23.64
CURTIN AERO,18/10/2017,9.7,0.0, ,41.9,24.5,83,15,4.46,26.11
CURTIN AERO,19/10/2017,10.6,0.0, ,44.0,25.1,61,10,4.22,27.72
CURTIN AERO,20/10/2017,9.0,0.0, ,42.3,26.2,90,18,3.88,25.82
CURTIN AERO,21/10/2017,7.4,0.0, ,40.6,25.0,97,25,2.66,25.42
CURTIN AERO,22/10/2017,7.5,3.2, ,40.0,22.3,100,21,2.70,26.53
CURTIN AERO,23/10/2017,8.3,0.0, ,39.5,20.7,89,18,3.30,28.11
CURTIN AERO,24/10/2017,8.3,0.0, ,38.9,22.8,80,30,3.67,28.17
CURTIN AERO,25/10/2017,8.5,0.0, ,41.1,24.5,97,22,3.35,28.14
CURTIN AERO,26/10/2017,8.6,0.0, ,39.8,23.7,92,25,3.90,28.09
CURTIN AERO,27/10/2017,8.1,0.0, ,39.6,21.3,100,26,3.42,27.85
CURTIN AERO,28/10/2017,8.5,0.0, ,41.5,21.1,100,11,2.95,28.40
CURTIN AERO,29/10/2017,9.3,0.0, ,42.4,23.2,90,9,3.59,27.43
CURTIN AERO,30/10/2017,10.1,0.0, ,43.8,18.9,90,7,3.76,28.53
CURTIN AERO,31/10/2017,8.7,0.0, ,42.5,23.4,100,10,2.94,28.58
Totals:,,258.9,30, ,,,,,, 
