'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for April 2018,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 May 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/04/2018,4.6,0.2, ,33.7,21.9,98,54,2.26,19.16
CURTIN AERO,02/04/2018,7.1,0.2, ,39.5,24.9,100,26,3.10,24.22
CURTIN AERO,03/04/2018,6.9,0.0, ,38.5,24.8,89,31,3.19,23.94
CURTIN AERO,04/04/2018,8.6,0.0, ,39.6,26.2,59,15,4.01,24.00
CURTIN AERO,05/04/2018,9.4,0.0, ,39.5,25.6,38,16,4.54,23.87
CURTIN AERO,06/04/2018,7.1,0.0, ,39.6,17.5,75,13,2.72,23.77
CURTIN AERO,07/04/2018,6.6,0.0, ,36.7,21.0,100,38,3.87,23.53
CURTIN AERO,08/04/2018,5.9,0.0, ,36.5,21.5,96,30,2.42,23.32
CURTIN AERO,09/04/2018,6.5,0.0, ,37.4,22.6,100,21,2.89,23.27
CURTIN AERO,10/04/2018,6.0,0.0, ,37.8,22.8,100,24,2.23,23.04
CURTIN AERO,11/04/2018,5.9,0.0, ,37.7,21.8,100,29,2.27,23.19
CURTIN AERO,12/04/2018,6.1,0.2, ,37.7,23.7,100,34,2.71,23.09
CURTIN AERO,13/04/2018,5.9,0.2, ,38.3,22.1,100,27,2.22,22.96
CURTIN AERO,14/04/2018,6.2,0.0, ,36.9,19.9,98,26,2.88,22.82
CURTIN AERO,15/04/2018,6.2,0.0, ,38.2,22.5,96,33,2.89,22.38
CURTIN AERO,16/04/2018,5.2,0.0, ,36.6,24.1,90,37,2.54,18.43
CURTIN AERO,17/04/2018,6.0,0.0, ,37.6,22.3,100,22,2.46,22.50
CURTIN AERO,18/04/2018,5.9,0.0, ,37.3,21.4,100,24,2.42,22.34
CURTIN AERO,19/04/2018,5.8,0.0, ,37.8,20.7,100,25,2.36,22.25
CURTIN AERO,20/04/2018,5.9,0.0, ,38.0,21.5,100,20,2.29,22.14
CURTIN AERO,21/04/2018,5.6,0.0, ,37.5,22.8,98,36,2.49,21.55
CURTIN AERO,22/04/2018,6.0,0.0, ,39.2,23.6,100,22,2.30,21.93
CURTIN AERO,23/04/2018,6.3,0.0, ,38.1,22.0,88,21,2.84,21.62
CURTIN AERO,24/04/2018,6.7,0.0, ,37.9,19.0,78,21,3.14,21.67
CURTIN AERO,25/04/2018,5.7,0.0, ,37.1,16.2,96,25,2.41,21.59
CURTIN AERO,26/04/2018,5.3,0.0, ,36.5,19.3,100,27,2.18,21.41
CURTIN AERO,27/04/2018,5.9,0.0, ,37.2,19.7,87,22,2.64,21.38
CURTIN AERO,28/04/2018,7.0,0.0, ,37.6,20.5,91,15,3.69,21.27
CURTIN AERO,29/04/2018,6.8,0.0, ,36.0,15.6,87,22,3.89,21.15
CURTIN AERO,30/04/2018,7.2,0.0, ,34.3,22.8,52,13,3.92,20.67
Totals:,,190.3,0.8, ,,,,,, 
