'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/10/2018,7.4,0.0, ,38.0,19.0,67,19,2.97,24.74
CURTIN AERO,02/10/2018,8.1,0.0, ,39.2,19.0,72,15,3.28,25.44
CURTIN AERO,03/10/2018,8.2,0.0, ,39.2,21.9,67,19,3.44,26.14
CURTIN AERO,04/10/2018, ,0.0, , ,22.0,95,22,3.40,26.29
CURTIN AERO,05/10/2018, , , ,39.1, ,78,17,3.21,26.43
CURTIN AERO,06/10/2018,8.4,0.0, ,40.3,19.2,91,18,3.52,26.39
CURTIN AERO,07/10/2018,9.1,0.0, ,41.2,19.1,59,13,3.66,26.39
CURTIN AERO,08/10/2018,9.0,0.0, ,41.9,22.4,72,12,3.60,25.76
CURTIN AERO,09/10/2018,9.0,0.0, ,42.2,20.3,83,12,3.55,26.58
CURTIN AERO,10/10/2018,8.0,0.0, ,37.9,24.1,97,28,4.18,26.91
CURTIN AERO,11/10/2018,8.0,0.0, ,38.8,23.1,99,25,3.74,26.68
CURTIN AERO,12/10/2018,8.2,0.0, ,39.0,22.6,99,19,3.66,27.18
CURTIN AERO,13/10/2018,8.4,0.0, ,40.5,22.4,91,15,3.56,25.47
CURTIN AERO,14/10/2018,10.8,0.0, ,40.7,21.8,79,13,5.67,27.09
CURTIN AERO,15/10/2018,8.5,0.0, ,38.6,20.9,94,17,3.92,27.36
CURTIN AERO,16/10/2018,9.5,0.0, ,39.6,18.2,96,8,4.36,27.44
CURTIN AERO,17/10/2018,9.6,0.0, ,43.0,20.7,69,7,3.52,27.62
CURTIN AERO,18/10/2018,7.6,0.0, ,36.5,21.3,99,20,3.27,27.59
CURTIN AERO,19/10/2018,7.0,0.0, ,38.9,19.5,99,20,2.35,25.89
CURTIN AERO,20/10/2018,8.2,0.0, ,39.7,23.1,90,19,3.66,25.16
CURTIN AERO,21/10/2018,9.7,0.0, ,42.9,20.6,81,9,3.75,27.85
CURTIN AERO,22/10/2018,8.9,0.0, ,42.6,22.1,91,9,3.16,27.54
CURTIN AERO,23/10/2018,8.2,0.0, ,40.9,21.4,100,22,3.14,27.90
CURTIN AERO,24/10/2018,8.3,0.0, ,39.8,22.5,100,22,3.42,28.02
CURTIN AERO,25/10/2018,7.8,0.0, ,37.2,19.7,91,32,3.85,28.09
CURTIN AERO,26/10/2018,8.2,0.0, ,37.4,20.6,92,22,3.80,27.80
CURTIN AERO,27/10/2018,8.5,0.0, ,39.0,20.2,93,13,3.43,28.12
CURTIN AERO,28/10/2018,9.0,0.0, ,40.4,21.0,98,16,3.86,28.07
CURTIN AERO,29/10/2018,9.4,0.0, ,41.7,23.3,85,14,3.97,26.99
CURTIN AERO,30/10/2018,8.7,0.0, ,42.2,23.1,84,20,3.16,27.89
CURTIN AERO,31/10/2018,8.6, , ,40.7,22.5,99,22,3.50,28.27
Totals:,,248.3,0, ,,,,,, 
