'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for December 2018,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 January 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/12/2018,7.9,4.4, ,38.6,23.2,99,30,3.04,29.19
CURTIN AERO,02/12/2018,8.3,0.0, ,38.8,24.8,89,33,3.52,29.57
CURTIN AERO,03/12/2018,8.7,0.0, ,42.0,25.4,93,25,3.25,28.77
CURTIN AERO,04/12/2018,3.0,2.0, ,37.0,23.5,90,39,0.00,13.72
CURTIN AERO,05/12/2018,4.8,0.0, ,41.5,27.3,93,28,0.00,22.62
CURTIN AERO,06/12/2018,5.2,0.0, ,43.0,25.3,81,22,0.00,25.99
CURTIN AERO,07/12/2018,7.6,0.0, ,45.0,27.0,81,17,1.73,27.04
CURTIN AERO,08/12/2018,9.1, , ,42.2,25.5,93,30,3.79,29.69
CURTIN AERO,09/12/2018,8.0,0.0, ,38.4,27.2,91,47,4.41,28.42
CURTIN AERO,10/12/2018,9.5,0.0, ,43.2,27.0,91,25,3.82,29.26
CURTIN AERO,11/12/2018,8.3,0.0, ,39.6,27.7,88,43,4.13,28.47
CURTIN AERO,12/12/2018,9.6,0.0, ,41.7,26.7,79,28,4.41,28.38
CURTIN AERO,13/12/2018,7.8,0.0, ,38.5,26.2,91,42,4.14,26.71
CURTIN AERO,14/12/2018,7.9,0.0, ,37.6,24.3,92,45,4.12,29.07
CURTIN AERO,15/12/2018,8.4,0.0, ,39.3,26.7,86,40,3.85,29.40
CURTIN AERO,16/12/2018,8.9,0.0, ,39.4,23.8,94,32,4.42,29.67
CURTIN AERO,17/12/2018,8.9,0.0, ,38.3,24.8,81,29,4.40,28.93
CURTIN AERO,18/12/2018,8.4,0.0, ,37.4,21.6,87,27,3.82,29.57
CURTIN AERO,19/12/2018,8.0,0.0, ,37.5,21.8,87,33,3.60,28.86
CURTIN AERO,20/12/2018,10.1,0.0, ,42.6,24.3,86,18,4.28,29.28
CURTIN AERO,21/12/2018,12.2,0.0, ,46.7,25.7,85,11,5.13,29.58
CURTIN AERO,22/12/2018,8.0,0.0, ,39.6,28.4,71,34,3.76,23.94
CURTIN AERO,23/12/2018,8.5,0.0, ,42.8,28.2,97,27,4.92,20.11
CURTIN AERO,24/12/2018,8.2,26.0, ,42.2,24.0,89,22,2.88,26.76
CURTIN AERO,25/12/2018,9.7,0.0, ,43.3,26.1,84,17,3.56,29.65
CURTIN AERO,26/12/2018,9.7,0.0, ,44.4,25.1,81,19,3.56,28.32
CURTIN AERO,27/12/2018,8.1,0.0, ,38.6,26.2,92,38,4.36,26.55
CURTIN AERO,28/12/2018,7.2,0.0, ,37.3,26.9,89,41,3.98,24.01
CURTIN AERO,29/12/2018,9.3,0.0, ,42.3,25.9,78,24,3.67,28.81
CURTIN AERO,30/12/2018,6.3,21.4, ,36.8,24.0,99,38,3.93,19.33
CURTIN AERO,31/12/2018,5.8,0.0, ,36.6,26.3,95,43,3.14,19.01
Totals:,,251.4,53.8, ,,,,,, 
