'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for September 2019,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/09/2019,7.2,0.0, ,35.5,13.5,87,7,3.41,22.88
CURTIN AERO,02/09/2019,7.2,0.0, ,36.4,12.6,54,5,3.04,22.99
CURTIN AERO,03/09/2019,7.4,0.0, ,36.3,10.0,71,7,3.26,23.09
CURTIN AERO,04/09/2019,7.4,0.0, ,36.5,12.8,91,8,3.49,23.17
CURTIN AERO,05/09/2019,6.6,0.0, ,35.0,12.3,93,15,3.13,22.96
CURTIN AERO,06/09/2019,6.7,0.0, ,35.8,13.4,96,17,3.16,23.35
CURTIN AERO,07/09/2019,6.8,0.0, ,35.5,14.5,71,17,3.11,23.45
CURTIN AERO,08/09/2019,7.2,0.0, ,37.7,17.7,79,13,3.11,23.53
CURTIN AERO,09/09/2019,7.0,0.0, ,37.7,17.1,68,16,2.85,23.61
CURTIN AERO,10/09/2019,11.0,0.0, ,36.8,19.2,40,2,6.26,23.69
CURTIN AERO,11/09/2019,11.3,0.0, ,35.4,20.7,8,3,6.43,23.78
CURTIN AERO,12/09/2019,9.4,0.0, ,34.9,17.5,11,3,4.72,23.91
CURTIN AERO,13/09/2019,8.6,0.0, ,35.9,15.7,46,3,4.14,24.00
CURTIN AERO,14/09/2019,7.9,0.0, ,36.4,13.7,42,6,3.39,24.10
CURTIN AERO,15/09/2019,7.5,0.0, ,36.7,14.6,43,8,3.06,24.21
CURTIN AERO,16/09/2019,7.5,0.0, ,37.5,13.6,73,9,3.10,24.08
CURTIN AERO,17/09/2019,7.2,0.0, ,37.1,15.0,95,9,3.01,24.21
CURTIN AERO,18/09/2019,7.9,0.0, ,37.9,18.6,91,11,3.62,24.50
CURTIN AERO,19/09/2019,7.5,0.0, ,37.6,17.3,99,14,3.39,24.63
CURTIN AERO,20/09/2019,6.9,0.0, ,36.2,16.3,96,16,3.06,24.57
CURTIN AERO,21/09/2019,8.4,0.0, ,35.9,21.2,62,11,4.20,24.79
CURTIN AERO,22/09/2019,8.7,0.0, ,37.9,21.1,79,10,4.34,24.91
CURTIN AERO,23/09/2019,6.9,0.0, ,35.0,16.5,99,18,4.03,19.77
CURTIN AERO,24/09/2019,7.8,0.0, ,35.5,18.1,65,20,4.03,24.08
CURTIN AERO,25/09/2019,8.2,0.0, ,37.8,21.6,45,14,3.51,25.19
CURTIN AERO,26/09/2019,8.8,0.0, ,37.7,21.0,45,16,4.09,25.31
CURTIN AERO,27/09/2019,8.1,0.0, ,39.2,17.1,65,12,3.21,25.40
CURTIN AERO,28/09/2019,9.1,0.0, ,39.7,20.1,44,11,3.91,25.33
CURTIN AERO,29/09/2019,8.9,0.0, ,40.2,16.8,48,10,3.60,25.60
CURTIN AERO,30/09/2019,8.4,0.0, ,40.7,19.8,63,11,3.23,25.52
Totals:,,239.5,0, ,,,,,, 
