'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/12/2020,8.5,0.0, ,40.8,25.8,98,27,3.93,26.54
CURTIN AERO,02/12/2020,7.9,3.2, ,40.4,25.2,93,29,3.21,26.28
CURTIN AERO,03/12/2020,5.6,0.0, ,36.3,25.7,91,44,3.68,16.66
CURTIN AERO,04/12/2020,8.5,0.0, ,40.3,25.0,92,30,3.72,27.96
CURTIN AERO,05/12/2020,8.6,8.0, ,40.2,24.6,93,28,3.81,27.99
CURTIN AERO,06/12/2020,5.5,0.4, ,35.7,25.8,100,43,3.70,17.21
CURTIN AERO,07/12/2020,5.2,10.0, ,34.3,23.9,100,48,3.74,17.60
CURTIN AERO,08/12/2020,1.4,65.0, ,27.0,23.3,100,90,4.65,4.87
CURTIN AERO,09/12/2020,0.5,57.8, ,25.2,22.8,100,98,5.73,0.93
CURTIN AERO,10/12/2020,1.8,62.4, ,29.9,23.7,100,92,3.37,7.77
CURTIN AERO,11/12/2020,3.1,2.6, ,31.4,24.4,100,68,4.21,9.87
CURTIN AERO,12/12/2020,4.9,15.0, ,33.3,24.3,100,59,3.33,19.05
CURTIN AERO,13/12/2020,6.3,0.0, ,35.2,22.5,100,36,1.88,26.70
CURTIN AERO,14/12/2020,7.0,0.0, ,36.9,24.5,99,38,3.25,25.72
CURTIN AERO,15/12/2020,8.1,0.0, ,38.3,25.3,92,34,3.60,29.02
CURTIN AERO,16/12/2020,8.3,0.0, ,38.5,26.3,90,38,3.84,29.69
CURTIN AERO,17/12/2020,8.0,0.0, ,38.0,26.6,94,45,4.30,29.20
CURTIN AERO,18/12/2020,8.5,0.0, ,39.2,26.3,85,35,4.15,27.72
CURTIN AERO,19/12/2020,4.6,0.8, ,36.6,26.5,100,46,2.69,14.28
CURTIN AERO,20/12/2020,1.6,31.6, ,29.7,24.2,100,90,2.92,6.07
CURTIN AERO,21/12/2020,4.7,31.6, ,32.6,24.8,100,54,4.34,15.47
CURTIN AERO,22/12/2020,6.7,0.4, ,33.5,22.6,95,45,4.25,26.20
CURTIN AERO,23/12/2020,6.2,0.0, ,32.0,22.5,93,50,5.08,23.62
CURTIN AERO,24/12/2020,4.8,0.0, ,32.1,24.0,86,57,2.96,18.18
CURTIN AERO,25/12/2020,6.1,0.0, ,35.1,24.5,100,54,3.09,25.01
CURTIN AERO,26/12/2020,6.4,0.0, ,35.8,24.6,100,47,2.70,26.05
CURTIN AERO,27/12/2020,7.1,0.0, ,37.3,25.7,98,39,2.93,26.59
CURTIN AERO,28/12/2020,6.1,0.0, ,37.0,26.6,100,45,3.05,21.50
CURTIN AERO,29/12/2020,5.1,48.4, ,33.9,24.2,100,55,2.12,21.13
CURTIN AERO,30/12/2020,7.5,5.8, ,37.1,25.2,100,39,2.83,29.72
CURTIN AERO,31/12/2020,7.0,0.0, ,37.7,26.5,100,39,3.16,25.27
Totals:,,181.6,343, ,,,,,, 
