'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CURTIN AERO Western Australia for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CURTIN AERO,01/03/2022,1.8,62.6, ,28.5,23.5,100,92,7.62,9.18
CURTIN AERO,02/03/2022,5.9,14.0, ,29.9,24.5,100,16,6.07,10.93
CURTIN AERO,03/03/2022,8.5,79.8, ,31.8,23.3,21,13,4.49,21.23
CURTIN AERO,04/03/2022,6.8,0.0, ,35.0,25.5,100,12,2.46,26.39
CURTIN AERO,05/03/2022,6.4,4.4, ,34.8,23.6,100,49,2.92,27.22
CURTIN AERO,06/03/2022,7.1,0.0, ,38.3,24.8,100,40,3.19,26.62
CURTIN AERO,07/03/2022,7.2,0.0, ,39.9,25.2,100,41,2.79,26.97
CURTIN AERO,08/03/2022,3.6,4.0, ,31.4,22.4,100,67,3.43,14.33
CURTIN AERO,09/03/2022,6.1,0.0, ,34.3,25.5,100,54,2.72,26.26
CURTIN AERO,10/03/2022,6.5,0.0, ,37.5,25.3,100,37,2.67,24.62
CURTIN AERO,11/03/2022,7.1,0.0, ,38.7,25.5,100,30,2.56,26.66
CURTIN AERO,12/03/2022,6.5,0.0, ,38.0,24.2,100,43,3.43,22.93
CURTIN AERO,13/03/2022,6.3,12.2, ,37.0,25.0,100,48,2.26,26.04
CURTIN AERO,14/03/2022,6.6,0.0, ,37.7,24.8,100,40,2.50,26.36
CURTIN AERO,15/03/2022,6.6,0.0, ,38.2,25.0,100,42,2.43,25.92
CURTIN AERO,16/03/2022,6.6,0.0, ,38.8,25.8,100,45,2.82,24.81
CURTIN AERO,17/03/2022,7.9,0.0, ,39.2,25.6,100,27,3.92,25.65
CURTIN AERO,18/03/2022,5.5,8.4, ,34.4,22.6,100,46,4.16,18.58
CURTIN AERO,19/03/2022,6.6,0.0, ,36.6,24.3,95,37,3.12,24.42
CURTIN AERO,20/03/2022,6.7,0.0, ,38.2,25.2,99,33,2.43,25.74
CURTIN AERO,21/03/2022,6.8,0.0, ,39.5,23.6,100,29,2.48,25.23
CURTIN AERO,22/03/2022,6.7,0.0, ,39.4,24.4,100,27,2.34,25.30
CURTIN AERO,23/03/2022,6.9,0.0, ,38.9,24.0,98,35,3.07,24.81
CURTIN AERO,24/03/2022,6.7,0.0, ,37.3,27.0,100,47,3.78,25.00
CURTIN AERO,25/03/2022,6.9,7.4, ,37.5,21.0,100,34,3.53,24.84
CURTIN AERO,26/03/2022,6.2,0.0, ,37.1,24.8,100,46,2.67,24.64
CURTIN AERO,27/03/2022,5.5,0.0, ,37.0,24.1,100,49,3.21,19.65
CURTIN AERO,28/03/2022,5.8,10.8, ,36.5,22.4,100,48,2.55,23.57
CURTIN AERO,29/03/2022,5.9,0.0, ,37.1,24.1,100,42,2.08,24.18
CURTIN AERO,30/03/2022,4.7,0.0, ,34.3,25.9,100,57,2.74,18.86
CURTIN AERO,31/03/2022,6.2,0.0, ,38.0,22.7,100,28,2.20,24.50
Totals:,,194.6,203.6, ,,,,,, 
