'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DALWALLINU Western Australia for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DALWALLINU,01/01/2010,11.2,0.0, ,34.3,13.7,72,11,7.14,33.46
DALWALLINU,02/01/2010,12.4,0.0, ,37.7,17.3,51,11,6.85,33.44
DALWALLINU,03/01/2010,12.6,0.0, ,40.8,21.6,21,7,5.38,33.05
DALWALLINU,04/01/2010,13.6,0.0, ,42.5,20.3,35,4,6.23,29.22
DALWALLINU,05/01/2010,14.9,0.0, ,44.6,18.7,61,4,6.90,32.15
DALWALLINU,06/01/2010,11.5,0.0, ,41.4,21.5,82,14,5.68,31.07
DALWALLINU,07/01/2010,11.2,0.0, ,36.7,15.9,97,8,6.61,32.39
DALWALLINU,08/01/2010,11.1,0.0, ,38.9,16.2,94,11,5.64,32.21
DALWALLINU,09/01/2010,13.9,0.0, ,43.9,21.4,63,10,6.73,31.85
DALWALLINU,10/01/2010,10.3,0.0, ,34.1,15.9,89,21,7.96,31.62
DALWALLINU,11/01/2010,9.4,0.0, ,30.1,14.1,82,16,7.12,32.92
DALWALLINU,12/01/2010,10.4,0.0, ,33.0,14.4,69,13,6.71,32.76
DALWALLINU,13/01/2010,10.8,0.0, ,38.7,16.8,38,8,4.45,32.81
DALWALLINU,14/01/2010,11.5,0.0, ,40.8,18.6,33,6,4.55,32.41
DALWALLINU,15/01/2010,12.2,0.0, ,36.0,19.8,59,16,8.54,31.64
DALWALLINU,16/01/2010,13.2,0.0, ,38.0,15.9,63,11,8.29,32.62
DALWALLINU,17/01/2010,12.6,0.0, ,41.6,22.4,28,7,5.30,32.96
DALWALLINU,18/01/2010,13.1,0.0, ,43.8,23.9,18,5,5.28,32.23
DALWALLINU,19/01/2010,10.9,0.0, ,43.8,23.1,26,4,3.73,31.40
DALWALLINU,20/01/2010,9.5,0.0, ,34.1,20.8,76,25,6.50,29.87
DALWALLINU,21/01/2010,9.7,0.0, ,30.1,17.4,74,20,9.10,29.07
DALWALLINU,22/01/2010,10.6,0.0, ,33.4,16.1,55,9,6.33,31.32
DALWALLINU,23/01/2010,13.4,0.0, ,41.0,18.0,37,11,7.11,28.65
DALWALLINU,24/01/2010,8.8,0.0, ,34.6,20.2,82,32,5.68,30.12
DALWALLINU,25/01/2010,8.3,0.0, ,34.4,18.3,85,17,4.03,29.46
DALWALLINU,26/01/2010,10.2,0.0, ,37.0,18.5,75,15,5.49,30.14
DALWALLINU,27/01/2010,11.8,0.0, ,39.1,20.8,67,20,7.32,29.89
DALWALLINU,28/01/2010,12.4,0.0, ,39.5,20.1,69,20,8.17,29.75
DALWALLINU,29/01/2010,12.4,0.0, ,42.3,25.0,41,12,5.81,29.28
DALWALLINU,30/01/2010,12.0,0.0, ,39.0,20.1,77,14,7.41,30.30
DALWALLINU,31/01/2010,10.5,0.0, ,33.5,17.0,70,23,8.54,30.81
Totals:,,356.4,0, ,,,,,, 
