'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DALWALLINU Western Australia for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DALWALLINU,01/10/2017,5.7,0.0, ,25.7,6.8,83,20,4.11,23.32
DALWALLINU,02/10/2017,6.8,0.0, ,30.0,9.4,88,14,4.27,24.09
DALWALLINU,03/10/2017,5.2,0.0, ,22.2,8.2,91,37,8.26,20.62
DALWALLINU,04/10/2017,5.6,0.0, ,19.6,6.4,75,31,9.03,24.37
DALWALLINU,05/10/2017,5.6,0.0, ,21.3,6.9,80,25,6.32,24.52
DALWALLINU,06/10/2017,5.8,0.0, ,24.8,5.8,88,20,4.67,24.34
DALWALLINU,07/10/2017,2.8,0.2, ,16.1,8.0,93,47,4.40,12.38
DALWALLINU,08/10/2017,3.7,0.0, ,20.1,5.5,86,39,2.54,20.87
DALWALLINU,09/10/2017,6.3,0.0, ,27.4,5.8,82,16,3.98,25.08
DALWALLINU,10/10/2017,4.1,0.0, ,21.1,7.8,90,39,4.98,16.69
DALWALLINU,11/10/2017,4.7,0.0, ,21.3,4.8,96,26,3.53,25.30
DALWALLINU,12/10/2017,6.9,0.0, ,27.9,5.7,91,17,5.04,25.46
DALWALLINU,13/10/2017,8.3,0.0, ,34.7,11.7,89,20,6.08,19.49
DALWALLINU,14/10/2017,6.1,11.6, ,28.6,14.3,89,36,4.76,24.99
DALWALLINU,15/10/2017,6.6,0.0, ,31.9,13.2,96,22,3.69,24.42
DALWALLINU,16/10/2017,4.5,0.0, ,20.4,13.9,90,35,7.54,13.73
DALWALLINU,17/10/2017,4.7,0.8, ,22.1,11.3,93,38,5.76,19.80
DALWALLINU,18/10/2017,4.9,0.6, ,21.0,10.4,94,35,4.69,25.74
DALWALLINU,19/10/2017,6.9,0.2, ,27.2,6.1,88,18,5.28,26.19
DALWALLINU,20/10/2017,8.7,0.0, ,31.0,13.7,47,13,5.54,26.10
DALWALLINU,21/10/2017,5.6,0.0, ,28.3,13.7,51,25,4.83,7.58
DALWALLINU,22/10/2017,7.0,0.4, ,30.1,15.8,84,31,5.02,26.53
DALWALLINU,23/10/2017,5.4,0.0, ,27.8,14.7,92,43,4.46,22.62
DALWALLINU,24/10/2017,6.2,0.0, ,27.0,11.1,95,24,4.58,25.36
DALWALLINU,25/10/2017,5.9,0.0, ,27.6,5.8,95,26,3.42,26.87
DALWALLINU,26/10/2017,5.7,0.0, ,24.9,8.8,96,35,6.36,23.13
DALWALLINU,27/10/2017,5.2,0.0, ,21.8,7.5,85,30,4.17,25.99
DALWALLINU,28/10/2017,5.9,0.0, ,24.7,9.7,88,34,5.42,26.77
DALWALLINU,29/10/2017,6.2,0.0, ,25.2,12.3,93,22,4.76,26.99
DALWALLINU,30/10/2017,7.3,0.0, ,30.5,8.0,85,11,3.77,27.26
DALWALLINU,31/10/2017,8.8,0.0, ,35.3,12.2,61,9,4.14,27.27
Totals:,,183.1,13.8, ,,,,,, 
