'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DALWALLINU Western Australia for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DALWALLINU,01/10/2021,2.1,1.4, ,19.0,13.3,94,78,4.34,10.72
DALWALLINU,02/10/2021,3.7,6.4, ,19.6,7.5,93,44,4.84,17.44
DALWALLINU,03/10/2021,4.0,0.2, ,20.7,8.9,94,36,3.80,20.02
DALWALLINU,04/10/2021,4.5,0.0, ,22.6,3.4,94,31,3.44,22.61
DALWALLINU,05/10/2021,3.4,0.0, ,20.1,3.6,94,47,3.78,17.29
DALWALLINU,06/10/2021,4.6,0.0, ,21.2,4.0,95,28,4.05,23.43
DALWALLINU,07/10/2021,5.4,0.0, ,24.8,3.6,91,20,3.76,23.58
DALWALLINU,08/10/2021,4.1,0.0, ,21.7,10.0,95,34,4.43,15.67
DALWALLINU,09/10/2021,4.6,0.0, ,20.4,6.4,92,29,4.62,22.56
DALWALLINU,10/10/2021,5.4,0.0, ,25.3,4.1,86,19,3.55,22.96
DALWALLINU,11/10/2021,5.4,0.0, ,24.1,9.1,82,33,5.76,20.52
DALWALLINU,12/10/2021,4.3,0.0, ,19.7,4.3,87,35,4.33,22.64
DALWALLINU,13/10/2021,5.4,0.0, ,23.6,3.5,91,23,4.50,23.75
DALWALLINU,14/10/2021,6.3,0.0, ,27.9,6.0,88,18,4.28,23.17
DALWALLINU,15/10/2021,8.8,0.0, ,34.7,8.3,54,10,5.00,19.40
DALWALLINU,16/10/2021,6.0,0.0, ,26.8,15.2,85,28,4.85,22.86
DALWALLINU,17/10/2021,5.5,0.0, ,26.7,9.1,93,28,3.75,23.74
DALWALLINU,18/10/2021,6.0,0.0, ,29.9,8.0,93,19,3.18,23.69
DALWALLINU,19/10/2021,3.1,3.6, ,19.3,14.3,94,58,7.08,12.13
DALWALLINU,20/10/2021,3.7,9.6, ,20.6,10.2,93,47,5.86,14.09
DALWALLINU,21/10/2021,4.5,1.8, ,23.1,12.7,94,40,4.36,20.43
DALWALLINU,22/10/2021,4.8,0.0, ,22.9,8.1,94,36,4.07,23.52
DALWALLINU,23/10/2021,6.1,0.0, ,28.7,8.0,92,23,3.77,24.18
DALWALLINU,24/10/2021,8.9,0.0, ,35.2,12.0,87,12,5.26,24.39
DALWALLINU,25/10/2021,3.5,0.0, ,22.3,11.8,93,52,4.29,14.58
DALWALLINU,26/10/2021,3.9,3.0, ,18.8,6.0,94,36,4.07,19.10
DALWALLINU,27/10/2021,3.9,5.2, ,18.1,7.3,94,45,6.54,19.17
DALWALLINU,28/10/2021,4.3,4.0, ,20.0,5.4,93,32,4.04,21.58
DALWALLINU,29/10/2021,5.5,0.0, ,22.5,5.0,87,26,4.93,25.44
DALWALLINU,30/10/2021,6.4,0.0, ,27.5,5.5,81,17,3.82,25.86
DALWALLINU,31/10/2021,8.6,0.0, ,33.5,9.6,85,10,4.81,25.66
Totals:,,156.7,35.2, ,,,,,, 
