'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DERBY AERO Western Australia for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DERBY AERO,01/03/2010,7.7,0.2, ,35.0,26.0,81,36,3.73,29.28
DERBY AERO,02/03/2010,8.4,0.0, ,37.2,25.4,90,23,3.88,29.17
DERBY AERO,03/03/2010,7.8,0.0, ,37.9,25.3,89,27,3.38,27.45
DERBY AERO,04/03/2010,7.7,0.0, ,36.9,25.3,100,41,4.43,29.00
DERBY AERO,05/03/2010,7.0,0.0, ,36.2,26.4,93,51,3.57,27.86
DERBY AERO,06/03/2010,7.7,0.0, ,36.7,26.0,92,47,4.84,28.36
DERBY AERO,07/03/2010,7.7,0.0, ,38.2,24.9,93,32,3.06,28.86
DERBY AERO,08/03/2010,8.5,0.0, ,40.7,23.1,92,14,2.98,29.43
DERBY AERO,09/03/2010,8.8,0.0, ,39.7,23.4,89,27,4.18,28.83
DERBY AERO,10/03/2010,9.8,0.0, ,37.4,28.1,84,18,6.08,27.52
DERBY AERO,11/03/2010,8.3,0.0, ,38.0,25.7,77,27,4.08,26.35
DERBY AERO,12/03/2010,8.8,0.0, ,38.9,25.5,78,18,3.82,28.66
DERBY AERO,13/03/2010,8.5,0.0, ,39.0,23.9,82,22,3.90,27.56
DERBY AERO,14/03/2010,8.3,0.0, ,37.4,25.7,100,22,4.68,26.93
DERBY AERO,15/03/2010,7.0,1.8, ,35.5,23.2,100,41,4.28,26.44
DERBY AERO,16/03/2010,6.9,0.0, ,36.1,25.7,89,39,3.20,26.38
DERBY AERO,17/03/2010,6.4,1.0, ,37.2,25.9,88,40,2.87,23.02
DERBY AERO,18/03/2010,6.6,0.0, ,37.2,27.1,86,33,2.79,23.53
DERBY AERO,19/03/2010,8.1,0.0, ,38.9,25.9,89,29,3.84,27.10
DERBY AERO,20/03/2010,7.5,0.0, ,38.2,25.6,90,29,3.40,26.33
DERBY AERO,21/03/2010,7.5,0.0, ,37.8,26.0,99,33,3.78,26.85
DERBY AERO,22/03/2010,7.5,0.0, ,38.9,26.2,100,30,3.27,26.66
DERBY AERO,23/03/2010,8.0,0.0, ,40.7,26.3,90,20,3.13,26.59
DERBY AERO,24/03/2010,8.3,0.0, ,40.8,25.7,100,25,4.39,24.68
DERBY AERO,25/03/2010,6.8,10.6, ,36.9,25.3,100,43,3.54,25.75
DERBY AERO,26/03/2010,6.5,5.2, ,36.9,25.4,93,43,3.03,24.68
DERBY AERO,27/03/2010,7.3,6.8, ,38.2,25.8,94,29,3.25,26.28
DERBY AERO,28/03/2010,8.1,0.2, ,39.5,27.5,91,23,3.75,26.46
DERBY AERO,29/03/2010,7.5,0.0, ,38.9,28.5,90,44,4.15,25.88
DERBY AERO,30/03/2010,7.7,0.0, ,39.7,28.7,100,34,4.18,25.24
DERBY AERO,31/03/2010,6.8,33.4, ,37.2,21.7,89,36,3.27,25.28
Totals:,,239.5,59.2, ,,,,,, 
