'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DERBY AERO Western Australia for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DERBY AERO,01/04/2021,8.5,0.0, ,37.2,25.2,61,21,4.68,23.48
DERBY AERO,02/04/2021,7.8,0.0, ,36.5,21.6,58,26,4.10,23.80
DERBY AERO,03/04/2021,7.7,0.0, ,36.7,24.9,58,24,3.77,23.82
DERBY AERO,04/04/2021,7.3,0.0, ,36.6,22.4,72,24,3.60,23.90
DERBY AERO,05/04/2021,8.0,0.0, ,36.6,23.0,69,21,4.34,23.87
DERBY AERO,06/04/2021,7.4,0.0, ,37.0,22.6,90,24,4.01,23.87
DERBY AERO,07/04/2021,5.7,0.0, ,34.9,24.2,100,49,3.29,23.11
DERBY AERO,08/04/2021,6.2,0.0, ,35.0,23.8,98,34,3.33,23.57
DERBY AERO,09/04/2021,5.3,0.0, ,35.2,25.8,97,49,3.32,19.82
DERBY AERO,10/04/2021,5.9,0.0, ,36.5,24.3,100,45,2.94,23.05
DERBY AERO,11/04/2021,6.3,0.0, ,37.1,25.5,100,33,3.13,22.80
DERBY AERO,12/04/2021,6.1,0.0, ,36.3,25.5,100,37,3.16,23.02
DERBY AERO,13/04/2021,6.3,0.0, ,36.7,25.6,100,37,3.35,22.87
DERBY AERO,14/04/2021,6.6,0.8, ,37.3,25.4,99,32,3.49,22.84
DERBY AERO,15/04/2021,6.3,0.0, ,37.7,24.5,91,26,2.70,22.46
DERBY AERO,16/04/2021,5.2,0.0, ,34.6,22.6,95,50,2.75,21.53
DERBY AERO,17/04/2021,7.2,0.0, ,37.3,19.5,87,21,3.81,22.60
DERBY AERO,18/04/2021,7.8,0.0, ,33.1,21.0,55,15,4.74,22.24
DERBY AERO,19/04/2021,6.5,0.0, ,32.7,14.6,76,18,3.66,22.24
DERBY AERO,20/04/2021,5.3,0.0, ,33.8,14.1,82,19,2.14,22.11
DERBY AERO,21/04/2021,6.7,0.0, ,35.2,18.0,80,18,3.53,21.83
DERBY AERO,22/04/2021,7.5,0.0, ,35.4,17.7,80,17,4.54,21.39
DERBY AERO,23/04/2021,6.6,0.0, ,36.3,18.0,73,20,3.35,21.26
DERBY AERO,24/04/2021,6.5,0.0, ,35.4,18.0,78,19,3.34,21.29
DERBY AERO,25/04/2021,7.1,0.0, ,33.6,16.9,59,13,4.02,21.07
DERBY AERO,26/04/2021,6.8,0.0, ,34.0,16.1,64,18,3.89,20.95
DERBY AERO,27/04/2021, ,0.4, , ,17.6,100,28,3.85,20.39
DERBY AERO,28/04/2021,6.4, , ,37.8,21.7,71,26,3.22,19.67
DERBY AERO,29/04/2021,6.0,0.0, ,37.3,22.9,81,30,2.89,20.50
DERBY AERO,30/04/2021,5.3,0.0, ,34.6,20.1,89,42,3.01,21.04
Totals:,,192.3,1.2, ,,,,,, 
