'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DERBY AERO Western Australia for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DERBY AERO,01/07/2021,6.8,0.0, ,33.1,22.7,61,19,4.75,17.97
DERBY AERO,02/07/2021,6.0,0.0, ,32.5,17.8,46,21,3.79,18.14
DERBY AERO,03/07/2021,6.4,0.0, ,30.5,14.4,46,16,4.43,18.08
DERBY AERO,04/07/2021,5.2,0.0, ,28.8,11.1,48,14,3.28,17.62
DERBY AERO,05/07/2021,5.0,0.0, ,28.7,9.1,55,20,3.29,18.05
DERBY AERO,06/07/2021,4.5,0.0, ,29.8,9.5,60,15,2.37,18.18
DERBY AERO,07/07/2021,4.9,0.0, ,30.5,9.6,68,13,2.80,18.11
DERBY AERO,08/07/2021,6.2,0.0, ,31.0,12.1,81,10,4.28,18.27
DERBY AERO,09/07/2021,5.5,0.0, ,33.1,10.1,73,17,3.13,18.29
DERBY AERO,10/07/2021,4.2,0.0, ,31.4,17.2,93,38,2.68,17.89
DERBY AERO,11/07/2021,4.5,0.0, ,32.8,17.9,74,37,2.53,18.38
DERBY AERO,12/07/2021,5.2,0.0, ,34.7,17.9,78,28,2.98,18.34
DERBY AERO,13/07/2021,4.8,0.0, ,33.9,19.0,79,31,2.67,18.28
DERBY AERO,14/07/2021,5.3,0.0, ,34.1,20.0,83,30,3.28,18.44
DERBY AERO,15/07/2021,5.2,0.0, ,33.7,20.1,83,36,3.44,18.52
DERBY AERO,16/07/2021,6.9,0.0, ,29.5,19.8,48,22,5.42,18.53
DERBY AERO,17/07/2021,6.6,0.0, ,31.0,15.2,38,17,4.41,18.61
DERBY AERO,18/07/2021,5.2,0.0, ,33.1,12.2,57,17,2.61,18.63
DERBY AERO,19/07/2021,4.9,0.0, ,33.1,13.4,69,20,2.42,18.68
DERBY AERO,20/07/2021,4.3,0.0, ,31.9,12.2,84,25,2.06,18.71
DERBY AERO,21/07/2021,4.8,0.0, ,31.9,14.6,100,26,2.92,18.75
DERBY AERO,22/07/2021,5.2,0.0, ,34.6,14.1,95,21,2.76,18.94
DERBY AERO,23/07/2021,5.3,0.0, ,34.3,16.0,100,31,3.35,19.07
DERBY AERO,24/07/2021,6.2,0.0, ,32.5,17.1,93,23,4.82,19.15
DERBY AERO,25/07/2021,6.2,0.0, ,33.8,14.6,51,20,3.60,19.15
DERBY AERO,26/07/2021,5.7,0.0, ,32.4,13.6,93,30,4.30,19.14
DERBY AERO,27/07/2021,4.8,0.0, ,31.1,20.1,100,36,3.55,18.84
DERBY AERO,28/07/2021,4.6,0.0, ,32.3,15.5,100,16,2.16,19.55
DERBY AERO,29/07/2021,5.4,0.0, ,33.7,17.3,100,31,3.65,19.54
DERBY AERO,30/07/2021,5.3,0.0, ,34.0,15.0,99,27,3.09,19.84
DERBY AERO,31/07/2021,5.3,0.0, ,33.1,15.7,96,35,3.62,19.89
Totals:,,166.4,0, ,,,,,, 
