'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/08/2009,1.3,0.0,1.2,17.3,1.2,100,87,3.47,15.35
DWELLINGUP,02/08/2009,1.2,0.0,1.4,16.5,3.1,100,93,3.27,15.02
DWELLINGUP,03/08/2009,1.5,0.0,1.4,18.8,2.4,100,80,2.58,15.26
DWELLINGUP,04/08/2009,1.7,0.0,1.5,18.4,2.7,100,74,2.83,15.52
DWELLINGUP,05/08/2009,0.9,0.0,1.7,17.8,5.9,100,97,5.84,12.11
DWELLINGUP,06/08/2009,1.6,17.8,1.8,17.6,11.3,100,83,4.99,14.21
DWELLINGUP,07/08/2009,1.4,0.0,2.0,17.0,4.7,100,91,2.65,15.95
DWELLINGUP,08/08/2009,1.0,5.0,1.2,18.3,6.9,100,99,3.02,10.32
DWELLINGUP,09/08/2009,1.1,2.0,2.0,17.2,8.7,100,99,4.15,13.17
DWELLINGUP,10/08/2009,0.9,0.2,1.2,18.1,10.8,100,99,5.71,10.45
DWELLINGUP,11/08/2009,1.1,9.2,1.2,15.4,7.7,100,94,3.50,11.94
DWELLINGUP,12/08/2009,1.1,19.6,2.0,16.3,10.7,100,96,6.36,13.89
DWELLINGUP,13/08/2009,0.8,9.2,1.8,14.9,11.7,100,99,7.15,9.44
DWELLINGUP,14/08/2009,0.8,49.8, ,16.1,12.1,100,99,7.91,9.41
DWELLINGUP,15/08/2009,1.1,43.0, ,11.7,6.1,100,89,6.12,12.73
DWELLINGUP,16/08/2009,1.0,8.6,2.8,14.6,6.6,100,99,4.12,12.02
DWELLINGUP,17/08/2009,1.1,11.2,0.6,16.0,9.6,100,99,4.15,12.57
DWELLINGUP,18/08/2009,0.9,2.2,0.6,16.0,8.9,100,98,6.35,10.71
DWELLINGUP,19/08/2009,1.4,4.4,1.2,16.6,7.0,100,89,4.40,14.78
DWELLINGUP,20/08/2009,0.8,3.6,2.5,15.7,11.8,100,99,5.28,7.83
DWELLINGUP,21/08/2009,1.5,8.2,1.9,14.0,4.9,99,80,4.39,13.05
DWELLINGUP,22/08/2009,1.0,9.0,1.4,15.4,7.9,100,96,7.21,12.95
DWELLINGUP,23/08/2009,1.0,6.6,1.6,12.3,9.3,100,98,6.00,12.88
DWELLINGUP,24/08/2009,1.3,2.6,1.4,16.0,8.7,100,99,3.74,14.60
DWELLINGUP,25/08/2009,1.8,0.6,1.2,17.5,8.8,100,89,3.62,17.81
DWELLINGUP,26/08/2009,1.7,0.0,2.0,17.0,2.3,100,91,3.50,18.65
DWELLINGUP,27/08/2009,1.6,0.0,1.6,15.4,3.9,100,85,3.39,15.95
DWELLINGUP,28/08/2009,1.1,4.0,1.6,12.3,4.9,100,94,3.96,11.88
DWELLINGUP,29/08/2009,1.7,0.0,1.6,14.0,0.3,100,81,3.89,18.64
DWELLINGUP,30/08/2009,1.3,0.0,1.7,14.2,4.6,100,98,2.48,14.07
DWELLINGUP,31/08/2009,2.7,0.0,0.4,16.9,1.0,100,47,3.46,18.63
Totals:,,39.4,216.8,44.5,,,,,, 
