'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/06/2014,0.8,2.0, ,18.1,8.7,93,63,0.00,8.68
DWELLINGUP,02/06/2014,0.8,3.0, ,18.5,7.3,95,74,0.00,8.19
DWELLINGUP,03/06/2014,0.9,1.0, ,18.5,10.3,95,64,0.00,9.59
DWELLINGUP,04/06/2014,0.8,0.4, ,18.8,5.6,95,56,0.00,10.96
DWELLINGUP,05/06/2014,0.8,0.0, ,22.4,5.7,94,42,0.00,11.59
DWELLINGUP,06/06/2014,0.7,0.2, ,21.6,4.3,94,34,0.00,11.71
DWELLINGUP,07/06/2014,0.7,0.2, ,17.0,8.6,79,50,0.00,7.33
DWELLINGUP,08/06/2014,0.7,0.0, ,17.1,9.2,90,49,0.00,3.92
DWELLINGUP,09/06/2014,0.8,1.2, ,19.8,13.1,93,53,0.00,7.19
DWELLINGUP,10/06/2014,0.7,15.0, ,14.5,12.2,93,68,0.00,6.10
DWELLINGUP,11/06/2014,0.7,1.8, ,15.5,3.5,94,64,0.00,9.32
DWELLINGUP,12/06/2014,0.7,0.2, ,15.8,5.9,95,59,0.00,9.74
DWELLINGUP,13/06/2014,0.7,0.2, ,14.9,2.9,94,54,0.00,11.18
DWELLINGUP,14/06/2014,0.7,0.0, ,15.9,0.0,94,52,0.00,11.41
DWELLINGUP,15/06/2014,0.7,0.2, ,18.8,0.9,94,47,0.00,11.29
DWELLINGUP,16/06/2014,0.6,0.2, ,18.0,1.1,94,40,0.00,11.15
DWELLINGUP,17/06/2014,0.6,0.0, ,15.3,6.8,92,40,0.00,2.81
DWELLINGUP,18/06/2014,0.7,49.2, ,14.7,8.7,93,60,0.00,7.95
DWELLINGUP,19/06/2014,0.7,9.0, ,16.9,8.1,94,86,0.00,5.45
DWELLINGUP,20/06/2014,0.7,10.2, ,16.1,8.2,95,89,0.00,5.75
DWELLINGUP,21/06/2014,0.7,15.0, ,17.0,10.3,92,55,0.00,4.56
DWELLINGUP,22/06/2014,0.7,35.4, ,13.4,5.1,93,61,0.00,9.87
DWELLINGUP,23/06/2014,0.7,0.2, ,14.1,0.3,94,62,0.00,10.53
DWELLINGUP,24/06/2014,0.7,0.2, ,15.2,1.0,94,57,0.00,11.18
DWELLINGUP,25/06/2014,0.6,0.2, ,17.4,0.4,94,45,0.00,11.25
DWELLINGUP,26/06/2014,0.7,0.2, ,16.9,4.3,94,67,0.00,7.27
DWELLINGUP,27/06/2014,0.7,4.8, ,15.2,4.0,94,52,0.00,10.33
DWELLINGUP,28/06/2014,0.6,0.2, ,13.1,-0.8,94,54,0.00,11.30
DWELLINGUP,29/06/2014,0.6,0.0, ,13.7,2.5,92,53,0.00,8.31
DWELLINGUP,30/06/2014,0.7,0.0, ,19.9,7.8,74,42,0.00,9.84
Totals:,,21.2,150.2, ,,,,,, 
