'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/05/2017,3.3,0.0, ,21.3,9.0,89,35,4.19,14.14
DWELLINGUP,02/05/2017,3.3,0.0, ,23.3,5.9,89,38,3.89,12.34
DWELLINGUP,03/05/2017,4.4,0.0, ,26.4,9.2,87,26,4.52,13.91
DWELLINGUP,04/05/2017,2.5,0.0, ,22.6,14.4,93,53,3.38,10.51
DWELLINGUP,05/05/2017,2.3,9.0, ,22.0,14.1,94,58,2.60,12.77
DWELLINGUP,06/05/2017,2.8,0.2, ,23.3,9.3,95,43,3.19,13.04
DWELLINGUP,07/05/2017,3.6,0.0, ,26.9,7.7,94,31,3.21,13.96
DWELLINGUP,08/05/2017,2.5,0.0, ,23.8,10.7,89,56,3.26,10.80
DWELLINGUP,09/05/2017,2.2,10.6, ,18.3,14.1,93,51,3.55,9.91
DWELLINGUP,10/05/2017,2.4,0.0, ,18.9,4.6,94,44,3.55,12.77
DWELLINGUP,11/05/2017,2.5,0.0, ,18.9,6.2,94,42,3.75,13.37
DWELLINGUP,12/05/2017,2.3,0.0, ,19.6,7.2,94,43,3.10,11.82
DWELLINGUP,13/05/2017,2.2,0.0, ,21.0,6.5,93,40,2.26,12.62
DWELLINGUP,14/05/2017,3.4,0.0, ,22.4,10.1,91,33,4.89,10.40
DWELLINGUP,15/05/2017,2.1,38.8, ,17.3,13.0,93,56,4.96,8.15
DWELLINGUP,16/05/2017,2.0,5.0, ,18.6,10.7,94,54,3.42,10.92
DWELLINGUP,17/05/2017,2.0,0.2, ,18.1,8.6,95,61,4.02,12.51
DWELLINGUP,18/05/2017,3.0,0.0, ,21.8,7.6,92,38,4.16,10.99
DWELLINGUP,19/05/2017,2.3,37.8, ,20.6,14.8,94,61,4.84,10.51
DWELLINGUP,20/05/2017,1.4,1.6, ,14.1,8.0,93,62,2.96,7.37
DWELLINGUP,21/05/2017,1.3,33.4, ,12.9,10.8,93,75,4.26,8.57
DWELLINGUP,22/05/2017,1.4,5.0, ,16.2,5.5,95,62,2.27,9.63
DWELLINGUP,23/05/2017,1.2,3.0, ,17.5,8.9,96,75,2.29,7.35
DWELLINGUP,24/05/2017,1.7,0.2, ,19.5,9.7,95,55,2.47,8.86
DWELLINGUP,25/05/2017,2.0,0.0, ,19.5,4.4,95,52,3.15,11.56
DWELLINGUP,26/05/2017,1.8,6.6, ,16.9,10.2,93,54,3.54,9.22
DWELLINGUP,27/05/2017,1.8,0.2, ,16.3,5.4,95,52,3.37,10.59
DWELLINGUP,28/05/2017,1.7,0.0, ,16.1,2.8,95,57,3.32,11.53
DWELLINGUP,29/05/2017,2.1,0.0, ,18.6,3.1,94,51,3.73,12.06
DWELLINGUP,30/05/2017,2.4,0.2, ,21.6,5.0,92,42,3.13,11.23
DWELLINGUP,31/05/2017,2.4,0.0, ,22.3,5.0,94,40,2.86,11.47
Totals:,,72.3,151.8, ,,,,,, 
