'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/02/2018,7.1,0.0, ,29.9,14.2,77,31,4.51,28.14
DWELLINGUP,02/02/2018,5.7,0.0, ,29.8,20.1,71,36,3.56,18.88
DWELLINGUP,03/02/2018,5.4,0.0, ,31.5,20.2,86,35,3.64,16.75
DWELLINGUP,04/02/2018,6.1,0.0, ,27.5,16.6,91,31,3.16,28.63
DWELLINGUP,05/02/2018,7.1,0.0, ,32.5,14.3,89,33,3.95,28.36
DWELLINGUP,06/02/2018,6.5,0.0, ,29.3,15.6,88,35,3.98,27.73
DWELLINGUP,07/02/2018,5.4,0.0, ,26.0,14.8,76,38,4.73,19.14
DWELLINGUP,08/02/2018,6.2,0.0, ,29.3,13.0,73,41,3.92,26.03
DWELLINGUP,09/02/2018,5.9,0.0, ,25.8,14.2,84,39,4.12,28.21
DWELLINGUP,10/02/2018,6.9,0.0, ,29.0,12.0,79,27,4.31,28.03
DWELLINGUP,11/02/2018,7.8,0.0, ,31.6,12.9,73,20,4.43,27.94
DWELLINGUP,12/02/2018,7.3,0.0, ,31.1,13.6,78,25,4.25,27.78
DWELLINGUP,13/02/2018,5.9,0.0, ,26.8,12.5,87,34,4.18,26.36
DWELLINGUP,14/02/2018,6.7,0.0, ,29.7,13.7,80,28,4.00,27.40
DWELLINGUP,15/02/2018,8.8,0.0, ,35.4,14.7,76,14,4.62,27.30
DWELLINGUP,16/02/2018,7.0,0.0, ,34.8,17.6,80,28,4.71,17.96
DWELLINGUP,17/02/2018,5.5,0.0, ,28.3,17.2,91,41,2.94,25.86
DWELLINGUP,18/02/2018,4.9,0.0, ,27.7,15.6,94,50,2.63,24.66
DWELLINGUP,19/02/2018,5.8,0.0, ,27.3,16.6,89,44,4.87,25.99
DWELLINGUP,20/02/2018,6.0,0.0, ,25.9,14.9,80,30,5.37,22.36
DWELLINGUP,21/02/2018,6.3,0.0, ,29.0,11.6,83,31,4.11,26.28
DWELLINGUP,22/02/2018,5.8,0.0, ,30.0,14.1,89,40,3.74,24.71
DWELLINGUP,23/02/2018,4.7,0.0, ,25.5,15.0,87,47,5.45,16.99
DWELLINGUP,24/02/2018,8.3,0.0, ,29.2,12.6,74,17,6.89,25.72
DWELLINGUP,25/02/2018,3.8,2.4, ,26.9,16.0,90,40,3.25,11.13
DWELLINGUP,26/02/2018,3.9,7.8, ,22.2,16.2,92,44,4.09,16.26
DWELLINGUP,27/02/2018,5.1,0.0, ,23.1,8.7,85,32,3.79,25.29
DWELLINGUP,28/02/2018,5.8,0.0, ,27.0,10.5,87,27,3.93,25.16
Totals:,,171.7,10.2, ,,,,,, 
