'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for November 2019,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 December 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/11/2019,3.0,15.6, ,15.9,7.3,90,58,5.45,16.16
DWELLINGUP,02/11/2019,3.7,17.6, ,18.9,9.3,93,49,3.67,20.03
DWELLINGUP,03/11/2019,3.3,0.2, ,19.3,7.3,94,50,3.09,17.84
DWELLINGUP,04/11/2019,5.4,0.2, ,24.6,7.1,95,36,3.69,28.40
DWELLINGUP,05/11/2019,4.5,0.0, ,22.9,6.4,95,48,3.62,25.48
DWELLINGUP,06/11/2019,5.6,0.2, ,24.3,6.9,91,32,3.88,28.69
DWELLINGUP,07/11/2019,6.9,0.0, ,27.5,9.8,82,23,4.60,28.84
DWELLINGUP,08/11/2019,8.0,0.0, ,29.4,10.4,83,15,5.39,29.00
DWELLINGUP,09/11/2019,9.7,0.0, ,37.1,13.4,67,10,4.77,27.26
DWELLINGUP,10/11/2019,4.8,0.0, ,24.0,17.7,88,57,4.22,24.18
DWELLINGUP,11/11/2019,7.1,0.0, ,26.6,11.3,80,24,5.30,29.15
DWELLINGUP,12/11/2019,8.0,0.0, ,27.6,10.2,65,23,6.42,29.46
DWELLINGUP,13/11/2019,8.1,0.0, ,32.7,11.5,69,20,4.22,29.57
DWELLINGUP,14/11/2019,9.1,0.0, ,35.5,14.2,74,11,4.29,29.66
DWELLINGUP,15/11/2019,9.7,0.0, ,35.6,14.2,72,15,5.20,29.66
DWELLINGUP,16/11/2019,9.2,0.0, ,38.0,15.2,69,17,3.91,29.83
DWELLINGUP,17/11/2019,6.7,0.0, ,30.7,13.7,87,31,3.17,29.90
DWELLINGUP,18/11/2019,7.6,0.0, ,32.2,14.4,79,23,4.26,27.31
DWELLINGUP,19/11/2019,5.4,0.0, ,24.4,14.5,73,41,3.96,23.23
DWELLINGUP,20/11/2019,5.1,1.2, ,19.2,10.9,84,37,5.10,26.97
DWELLINGUP,21/11/2019,5.1,0.8, ,21.0,4.7,89,32,3.26,30.29
DWELLINGUP,22/11/2019,6.2,0.0, ,26.5,10.5,80,30,3.59,28.98
DWELLINGUP,23/11/2019,7.3,0.0, ,29.0,12.2,83,25,4.41,30.47
DWELLINGUP,24/11/2019,7.1,0.0, ,27.6,12.7,72,20,4.54,27.26
DWELLINGUP,25/11/2019,7.8,0.0, ,28.7,14.2,78,15,4.53,30.75
DWELLINGUP,26/11/2019,8.2,0.0, ,31.2,11.0,70,11,3.98,30.86
DWELLINGUP,27/11/2019,8.9,0.0, ,30.5,13.2,74,14,5.80,30.71
DWELLINGUP,28/11/2019,8.0,0.0, ,27.0,13.4,73,20,6.38,30.40
DWELLINGUP,29/11/2019,7.5,0.0, ,25.2,9.3,68,22,6.21,30.46
DWELLINGUP,30/11/2019,8.5,0.0, ,27.1,10.6,62,18,6.82,31.11
Totals:,,205.5,35.8, ,,,,,, 
