'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE Western Australia for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE,01/11/2013,2.1,0.2,5.6,18.4,16.0,96,74,4.53,9.75
ESPERANCE,02/11/2013,3.8,0.0,2.2,18.3,14.6,92,55,6.48,19.48
ESPERANCE,03/11/2013,6.3,0.2,5.6,24.4,14.1,76,37,5.21,29.54
ESPERANCE,04/11/2013,7.0,0.0,7.2,30.1,14.5,80,34,4.85,26.98
ESPERANCE,05/11/2013,4.2,0.0,7.4,19.3,19.1,87,32,5.86,12.40
ESPERANCE,06/11/2013,2.7,0.0,4.0,18.8,14.5,96,65,4.18,13.02
ESPERANCE,07/11/2013,4.0,7.4,2.8,18.3,13.0,97,51,6.09,22.81
ESPERANCE,08/11/2013,5.0,0.0,6.4,18.8,10.9,85,42,5.04,30.26
ESPERANCE,09/11/2013,5.8,0.0,8.0,21.6,8.8,92,40,5.49,33.51
ESPERANCE,10/11/2013,7.0,0.0,7.2,25.0,9.5,86,32,5.66,34.23
ESPERANCE,11/11/2013,9.3,0.0,8.0,29.1,12.7,68,16,6.76,33.60
ESPERANCE,12/11/2013,9.9,0.0,9.2,31.6,13.9,70,14,6.81,32.10
ESPERANCE,13/11/2013,5.6,0.6,10.2,27.7,14.6,82,25,4.37,15.64
ESPERANCE,14/11/2013,5.4,0.0,3.6,22.0,13.7,89,59,6.84,32.91
ESPERANCE,15/11/2013,5.6,0.0,8.4,21.1,12.5,81,47,6.66,31.47
ESPERANCE,16/11/2013,7.6,0.0,7.8,26.8,9.3,86,25,5.05,35.08
ESPERANCE,17/11/2013,11.3,0.0,8.8,37.1,14.9,89,7,6.35,31.66
ESPERANCE,18/11/2013,3.8,0.2,12.8,17.2,14.7,91,44,7.84,14.04
ESPERANCE,19/11/2013,4.5,0.0,6.6,17.5,13.3,84,35,7.16,18.20
ESPERANCE,20/11/2013,5.2,0.0,6.4,18.9,11.7,80,38,6.12,26.05
ESPERANCE,21/11/2013,6.3,0.0,6.8,23.2,9.0,85,30,6.03,29.45
ESPERANCE,22/11/2013,6.8,0.0,6.4,25.3,10.6,80,32,5.54,31.34
ESPERANCE,23/11/2013,7.7,0.0,5.6,28.1,14.2,83,34,6.17,33.59
ESPERANCE,24/11/2013,7.0,0.0,9.2,27.2,16.4,91,37,5.75,32.04
ESPERANCE,25/11/2013,6.4,0.0,8.6,20.8,15.7,78,39,5.22,34.90
ESPERANCE,26/11/2013,5.3,0.0,8.0,20.6,11.2,92,52,4.97,33.48
ESPERANCE,27/11/2013,1.8,0.0,7.4,20.2,14.1,89,76,4.45,4.03
ESPERANCE,28/11/2013,6.8,0.2,0.8,24.9,14.3,88,39,6.77,32.81
ESPERANCE,29/11/2013,8.1,0.0,8.0,30.7,14.4,96,25,6.68,28.24
ESPERANCE,30/11/2013,7.2,8.8,6.0,26.8,16.5,96,24,5.99,29.70
Totals:,,179.5,17.6,205,,,,,, 
